,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
23,gpt-4-turbo-2024-04-09+cot,0.756875000001625,0.013021481233931893,0.007775607335897691,0.01516637870316136,2.6675,0.36246527777777776,1098.5052383192847
25,gpt-4o+cot,0.7556250000013749,0.01343885450218026,0.007086396396413391,0.015192755649251764,2.69625,0.3554861111111111,1096.056500110753
21,gpt-4-0613+cot,0.755,0.012386989141837494,0.008819367891181318,0.015205878797359922,10.0,0.35163194444444446,1097.5245517895296
1,claude-3-opus-20240229+cot,0.73375,0.015626937379889894,0.0,0.015626937379889894,1.0,0.35163194444444446,1091.188057445589
20,gpt-4-0613,0.698125,0.015659820575879852,0.004266512041469003,0.01623062246091474,10.0,0.3117361111111111,1077.2703015080865
22,gpt-4-turbo-2024-04-09,0.685,0.01584199324583045,0.0043301270188139404,0.016423116330343643,3.0,0.2997916666666667,1072.5337102413728
24,gpt-4o,0.6512500000003749,0.016315512972089177,0.0042081270575456626,0.016849459839260672,3.0,0.281875,1061.2805132958647
0,claude-3-opus-20240229,0.6425,0.016944532672812197,0.0,0.016944532672812197,1.0,0.28149305555555554,1056.6349756509444
19,gpt-3.5-turbo-0613+cot,0.503125,0.01384412033929025,0.010992184723702563,0.017677324259308874,10.0,0.17322916666666666,996.8746689886099
5,codellama-34b+cot,0.5011249999999999,0.015038959171722956,0.009291292967074066,0.01767762478300606,10.0,0.17743055555555556,999.1068481453908
11,codetulu-2-34b,0.4925,0.016265137180485136,0.006919176251549024,0.017675680679962513,10.0,0.15909722222222222,998.6603350339955
18,gpt-3.5-turbo-0613,0.490375,0.01678521892078712,0.005535397456371132,0.0176743938854703,10.0,0.17350694444444445,1000.0
3,codellama-13b+cot,0.47425000000000006,0.01548636244813481,0.008476069254082343,0.017654211165469842,10.0,0.16149305555555554,991.5206264388238
4,codellama-34b,0.47212499999999996,0.016179094704857563,0.0070544755297612316,0.017650176499648666,10.0,0.1453472222222222,990.1826112365686
32,phind,0.47200000000000003,0.016550717507105243,0.00613137423421536,0.017649929178328166,10.0,0.15631944444444446,991.5206264388238
13,deepseek-base-33b,0.465125,0.016149544667536295,0.007083210783253594,0.017634615617266796,10.0,0.14017361111111112,987.9528418441882
16,deepseek-instruct-33b,0.465,0.01638596960817394,0.006516805198868538,0.017634306053825877,10.0,0.15145833333333333,990.1826112365686
9,codellama-python-34b,0.438625,0.01607776451247965,0.007021173334991808,0.017543984345602625,10.0,0.1384375,983.047704674763
36,wizard-34b,0.42674999999999996,0.016442492112663458,0.005952940449895329,0.017486939322677367,10.0,0.13295138888888888,975.018078362764
2,codellama-13b,0.42487499999999995,0.015758677545046413,0.00755707450009592,0.01747699324737382,10.0,0.11947916666666666,973.2325341286867
14,deepseek-base-6.7b,0.418625,0.015971287102758813,0.0070100374464049766,0.017441979151425164,10.0,0.1140625,967.4247528623363
26,magicoder-ds-7b,0.4171250000000001,0.016272839118259295,0.006253748875674495,0.017433148538595948,10.0,0.12114583333333333,971.446367181187
7,codellama-7b+cot,0.4040000000000001,0.014541277454199131,0.009462095433887782,0.017348775172904857,10.0,0.1213888888888889,961.1593445063412
8,codellama-python-13b,0.397375,0.015586677379055166,0.007509369147937795,0.01730130448026246,10.0,0.10833333333333334,962.9508269690647
28,mixtral-8x7b,0.39299999999999996,0.015539305003763843,0.007531185165696034,0.01726814263318438,10.0,0.11027777777777778,959.3666341201409
17,deepseek-instruct-6.7b,0.37375,0.01600042724038955,0.006046693311223913,0.01710485813665229,10.0,0.10375,954.8788909504971
10,codellama-python-7b,0.373,0.015798378081309485,0.006538348415311011,0.0170979165397425,10.0,0.10347222222222222,955.777167038529
35,wizard-13b,0.36474999999999996,0.015919030965325747,0.0060182015586053616,0.01701864556523227,10.0,0.10010416666666666,953.0811676644772
6,codellama-7b,0.35950000000000004,0.015515506356545377,0.0068624886156554024,0.016965396768127763,10.0,0.08986111111111111,947.6778014046482
27,mistral-7b,0.3505,0.015397838728211172,0.006889756889760335,0.016868971145271427,10.0,0.09545138888888889,949.4807151875435
31,phi-2,0.316125,0.014872478121306818,0.0070033474139157195,0.01643890143740603,10.0,0.08652777777777777,933.6330873958152
33,starcoderbase-16b,0.31325000000000003,0.014828158917242555,0.007002231787080459,0.01639833975971348,10.0,0.07444444444444444,932.2661786753597
34,starcoderbase-7b,0.297375,0.014786210187832107,0.006522796562824875,0.01616102987803531,10.0,0.07,927.698499197913
12,deepseek-base-1.3b,0.27775,0.014670546066012678,0.005960809508783182,0.015835282500637617,10.0,0.06583333333333333,918.9673311833465
15,deepseek-instruct-1.3b,0.271625,0.01474713359330382,0.0054615130687383695,0.015725968148853346,10.0,0.07475694444444445,921.7324610799063
30,phi-1.5,0.23175,0.013172743521187984,0.007002231787080459,0.01491819097193088,10.0,0.06809027777777778,902.2000022456356
29,phi-1,0.131,0.011192296457832056,0.004126893504804794,0.011928903973123434,10.0,0.035659722222222225,867.4835868052712
