,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,claude-3-opus-20240229,claude-3-opus-20240229+cot,171.0,-73.0,800.0,0.6425,0.73375,0.5184067923971416,0.016345871038277525,0.016024334522063623,0.0,0.016024334522063623,2.2682561847150196e-08,CRUXEval-input-T0.2
1,claude-3-opus-20240229,codellama-13b,310.7,174.10000000000002,800.0,0.6425,0.42487499999999995,0.31138565893510584,0.022033355395853806,0.019213499790999816,0.00755707450009592,0.020646257511199216,4.888367408093268e-24,CRUXEval-input-T0.2
2,claude-3-opus-20240229,codellama-13b+cot,297.2,134.59999999999997,800.0,0.6425,0.47425000000000006,0.32353753986110456,0.02154936193950995,0.018898311349826998,0.008476069254082341,0.020712071887549057,6.534124936660379e-15,CRUXEval-input-T0.2
3,claude-3-opus-20240229,codellama-34b,259.3,136.3,800.0,0.6425,0.47212499999999996,0.41907088549462673,0.020128493485603933,0.017863540360710976,0.007054475529761231,0.019206032886016574,1.4640582873027306e-17,CRUXEval-input-T0.2
4,claude-3-opus-20240229,codellama-34b+cot,278.9,113.1,800.0,0.6425,0.5011249999999999,0.3704810081365108,0.020875374248142235,0.018013037270786677,0.009291292967074065,0.020268143395948974,6.2198450819635715e-12,CRUXEval-input-T0.2
5,claude-3-opus-20240229,codellama-7b,356.4,226.39999999999998,800.0,0.6425,0.35950000000000004,0.22475613253742627,0.02359819908382841,0.020240306321792665,0.006862488615655402,0.021372031957677774,2.915247592132639e-35,CRUXEval-input-T0.2
6,claude-3-opus-20240229,codellama-7b+cot,332.2,190.8,800.0,0.6425,0.4040000000000001,0.28437552336705585,0.022782943181248554,0.018932206355837134,0.009462095433887782,0.021165058173792013,1.141854926406761e-26,CRUXEval-input-T0.2
7,claude-3-opus-20240229,codellama-python-13b,313.3,196.1,800.0,0.6425,0.397375,0.3256779012210307,0.02212535310452694,0.01892175448970708,0.007509369147937794,0.020357392219259075,5.6191011298076214e-30,CRUXEval-input-T0.2
8,claude-3-opus-20240229,codellama-python-34b,263.1,163.10000000000002,800.0,0.6425,0.438625,0.4327183412148524,0.020275446974111325,0.017602289779138112,0.007021173334991808,0.018950922945037533,3.9464368206143197e-25,CRUXEval-input-T0.2
9,claude-3-opus-20240229,codellama-python-7b,349.59999999999997,215.59999999999997,800.0,0.6425,0.373,0.23159421158526095,0.02337199178504049,0.020315319035151772,0.006538348415311011,0.021341560099955203,1.6616849757806992e-32,CRUXEval-input-T0.2
10,claude-3-opus-20240229,codetulu-2-34b,241.20000000000002,120.00000000000003,800.0,0.6425,0.4925,0.45499308788660164,0.019413268658317176,0.01734574875870165,0.006919176251549023,0.0186748493969831,8.163132608364069e-15,CRUXEval-input-T0.2
11,claude-3-opus-20240229,deepseek-base-1.3b,386.8,291.8,800.0,0.6425,0.27775,0.20073886765904447,0.02458403953787904,0.02006341314121304,0.005960809508783182,0.020930164759862736,1.1388600386122218e-55,CRUXEval-input-T0.2
12,claude-3-opus-20240229,deepseek-base-33b,263.5,141.89999999999998,800.0,0.6425,0.465125,0.41240337305556574,0.020290853850934907,0.017950473857777403,0.007083210783253594,0.019297445082672213,8.144756102822307e-19,CRUXEval-input-T0.2
13,claude-3-opus-20240229,deepseek-base-6.7b,312.29999999999995,179.1,800.0,0.6425,0.418625,0.3067353028132288,0.022090014712534713,0.01939531143005314,0.007010037446404976,0.020623257028625473,5.494836618439906e-25,CRUXEval-input-T0.2
