,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
19,gpt-4-0613+cot,0.77225,0.012397325190338438,0.00813364924249872,0.014827336978533941,10.0,0.44233333333333336,1121.771641407324
18,gpt-4-0613,0.68,0.01571623364550171,0.005,0.01649242250247064,10.0,0.35058333333333336,1080.8315841505682
17,gpt-3.5-turbo-0613+cot,0.56475,0.013858996964968279,0.01073254396683284,0.01752881333333777,10.0,0.24679166666666666,1033.9163999790348
14,deepseek-instruct-33b,0.484,0.015563137537142053,0.008364732512160805,0.01766861624462991,10.0,0.1705,1002.6812879720378
16,gpt-3.5-turbo-0613,0.47475,0.015841497620963745,0.007794228634059948,0.01765511390150174,10.0,0.171375,1000.0
11,deepseek-base-33b,0.4545,0.015085371639439314,0.009074345706440768,0.01760432297760979,10.0,0.143125,991.0902251282616
9,codetulu-2-34b,0.43762500000000004,0.015216021957750653,0.008724068718207119,0.017539575229142523,10.0,0.12495833333333334,981.3284426093788
3,codellama-34b+cot,0.42762500000000003,0.012753644546511008,0.011970667274634276,0.01749149290994768,10.0,0.12216666666666667,975.5734989230241
20,magicoder-ds-7b,0.417,0.014995249247678413,0.008889952193347274,0.01743240516968327,10.0,0.11041666666666666,972.4774606525776
30,wizard-34b,0.41387500000000005,0.015485678237285895,0.007963785218098238,0.017413446111231117,10.0,0.12245833333333334,979.99966796034
15,deepseek-instruct-6.7b,0.4046249999999999,0.015440049764128027,0.007920503456220446,0.017353083637173826,10.0,0.11204166666666666,972.9196585405504
7,codellama-python-34b,0.39712500000000006,0.01522248478300274,0.00821869058913888,0.01729944848741572,10.0,0.10808333333333334,971.5931460205475
2,codellama-34b,0.39325000000000004,0.01461931246245869,0.009194087774216647,0.017270076631995587,10.0,0.10070833333333333,968.9407542730715
26,phind,0.388625,0.0150128324016073,0.008462232270506406,0.017233528707689263,10.0,0.10108333333333333,965.8470380261944
12,deepseek-base-6.7b,0.3827499999999999,0.014495794109844414,0.009229707470987366,0.017184747506873644,10.0,0.09525,964.9632051860942
29,wizard-13b,0.368875,0.01461778601460392,0.00879364116848078,0.017058950523662058,10.0,0.08316666666666667,957.8923098611164
6,codellama-python-13b,0.3635,0.01437957535882058,0.009079509898667439,0.017006166161131087,10.0,0.08508333333333333,958.334309961283
22,mixtral-8x7b,0.362875,0.014158002788838192,0.009409934909445443,0.016999879939833398,10.0,0.0835,955.6820300357739
0,codellama-13b,0.36075,0.014191081596375943,0.009320675941153624,0.016978274260801656,10.0,0.07520833333333334,953.4711612711218
1,codellama-13b+cot,0.34924999999999995,0.011938615785550683,0.011898004034290794,0.01685505997838631,10.0,0.07433333333333333,943.7320565583223
8,codellama-python-7b,0.323875,0.013856067460457528,0.009040706554246743,0.016544636002908918,10.0,0.06429166666666666,941.5150784184118
4,codellama-7b,0.3095,0.01345291557618645,0.009282039107868486,0.01634433196860612,10.0,0.054375,937.5201678787432
27,starcoderbase-16b,0.30725,0.013654094509523507,0.008923284148787373,0.0163113241913402,10.0,0.0525,933.0737573250461
21,mistral-7b,0.301,0.013085010508211294,0.00958025312817986,0.016217236201030064,10.0,0.051083333333333335,930.8471201254634
25,phi-2,0.297375,0.013320829993613385,0.009150648884095596,0.01616102987803531,10.0,0.054625,930.4014953131136
5,codellama-7b+cot,0.291125,0.011249096317871495,0.011463938023210002,0.01606125907171508,10.0,0.040916666666666664,919.6724074462963
28,starcoderbase-7b,0.289,0.013385112999149466,0.008814051281902097,0.016026501489720082,10.0,0.049541666666666664,930.4014953131136
13,deepseek-instruct-1.3b,0.27425,0.013673054591970296,0.007864079730012914,0.015773273974511445,10.0,0.05583333333333333,925.0455902949756
10,deepseek-base-1.3b,0.25925,0.012338427650028993,0.009370832406995657,0.015493524352935325,10.0,0.042583333333333334,916.9785341157473
24,phi-1.5,0.21675,0.011339611848515804,0.009144670579085941,0.01456749109747454,10.0,0.03825,898.4111982458447
23,phi-1,0.193125,0.011575309627338269,0.007797235086875348,0.013956527790562738,10.0,0.041916666666666665,896.1246910115749
