,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,codellama-13b,codellama-13b+cot,192.5,9.200000000000003,800.0,0.36075,0.34924999999999995,0.8019593486666419,0.01734304615688951,0.008495789398284305,0.01511414900019184,0.017338279542676662,0.61354723759346,CRUXEval-output-T0.8
1,codellama-13b,codellama-34b,163.16,-26.0,800.0,0.36075,0.39325000000000004,0.8023088035863912,0.015966762351835768,0.009067024732512865,0.013092220972776163,0.015925363025689556,0.04137242299938582,CRUXEval-output-T0.8
2,codellama-13b,codellama-34b+cot,213.96,-53.50000000000003,800.0,0.36075,0.42762500000000003,0.7334517698783574,0.018284214503226547,0.009927250020461357,0.015171416380812966,0.01813069684178603,0.0003440631827425948,CRUXEval-output-T0.8
3,codellama-13b,codellama-7b,157.92000000000002,41.00000000000001,800.0,0.36075,0.3095,0.8169552747782164,0.015708278072405008,0.00839258880650065,0.013154134331076294,0.015603422601307702,0.0013352491869990629,CRUXEval-output-T0.8
4,codellama-13b,codellama-7b+cot,192.88,55.7,800.0,0.36075,0.291125,0.7858787005510822,0.01736015552925722,0.00877602268791222,0.014774873095901704,0.017184744665509292,6.45610390025894e-05,CRUXEval-output-T0.8
5,codellama-13b,codellama-python-13b,149.92,-2.200000000000017,800.0,0.36075,0.3635,0.8409978248867017,0.015305227865013968,0.008057794169312096,0.013012013679673104,0.015304919041765626,0.869922971028641,CRUXEval-output-T0.8
6,codellama-13b,codellama-python-34b,161.46,-29.099999999999994,800.0,0.36075,0.39712500000000006,0.7797886658926315,0.015883363938410527,0.009808437654323444,0.012426659848889403,0.01583121360536677,0.02702396051785464,CRUXEval-output-T0.8
7,codellama-13b,codellama-python-7b,157.0,29.5,800.0,0.36075,0.323875,0.8095656833717654,0.015662455107677085,0.008660451372113926,0.01298496726988559,0.01560810023573497,0.025128032190317243,CRUXEval-output-T0.8
8,codellama-13b,codetulu-2-34b,174.82,-61.49999999999999,800.0,0.36075,0.43762500000000004,0.7644298780869464,0.016527439305591172,0.010138277366927281,0.012766533397911901,0.016302424450637704,2.9873726008990824e-06,CRUXEval-output-T0.8
9,codellama-13b,deepseek-base-1.3b,184.44,81.19999999999999,800.0,0.36075,0.25925,0.7224663491510752,0.01697608612136496,0.010031061135293715,0.013216939887886303,0.016592458753903836,3.2751286248636186e-09,CRUXEval-output-T0.8
