,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
23,claude-3-5-sonnet-20240620,0.543,0.01575280927326932,0.0,0.015752809273269323,,0.3219423076923077,1057.6550972138148
65,gpt-4-turbo-2024-04-09,0.54,0.015760710643876435,0.0,0.015760710643876435,,0.31096153846153846,1056.515687356788
49,deepseek-ai-deepseek-coder-V2-SFT,0.532,0.015778973350633434,0.0,0.01577897335063343,,0.30501923076923076,1053.4864456745786
15,Qwen-Qwen2-72B-Instruct,0.528,0.015786576576319513,0.0,0.015786576576319516,,0.3019230769230769,1051.9767128885271
95,mistralai-Codestral-22B-v0.1,0.512,0.015806833965092443,0.0,0.01580683396509244,,0.28736538461538463,1045.9688833369696
64,gpt-4-0613,0.51,0.0158082257068907,0.0,0.0158082257068907,,0.29052884615384617,1045.2212747148105
82,meta-llama-Llama-3-70b-chat-hf,0.486,0.015805189021330938,0.0,0.015805189021330938,,0.2756442307692308,1036.3042399970877
46,deepseek-ai-deepseek-coder-V2-Base,0.467,0.01577691351310515,0.0,0.015776913513105152,,0.2533365384615385,1029.3103653949977
94,microsoft-wavecoder-ultra-6.7b,0.46,0.015760710643876435,0.0,0.015760710643876435,,0.25047115384615387,1026.7469058580084
43,deepseek-ai-deepseek-coder-33b-instruct,0.454,0.015744332313566048,0.0,0.015744332313566048,,0.2520480769230769,1024.5549669112122
73,m-a-p-OpenCodeInterpreter-DS-6.7B,0.42,0.01560769041210134,0.0,0.015607690412101338,,0.2206153846153846,1012.2177285983735
42,deepseek-ai-deepseek-coder-33b-base,0.417,0.015592017188292218,0.0,0.015592017188292218,,0.20904807692307692,1011.1353375183271
81,meta-llama-Llama-3-70B,0.409,0.015547314880711715,0.0,0.015547314880711717,,0.21000961538461538,1008.2533436162892
50,deepseek-ai-deepseek-llm-67b-chat,0.407,0.01553547553182715,0.0,0.015535475531827147,,0.21016346153846155,1007.5338074032177
85,microsoft-Phi-3-medium-4k-instruct,0.406,0.015529455882290275,0.0,0.015529455882290275,,0.20311538461538461,1007.1741793808394
3,Phind-Phind-CodeLlama-34B-v2,0.404,0.015517216245190374,0.0,0.015517216245190372,,0.21008653846153846,1006.4551996560224
