,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Doubao-lite-4k,Doubao-pro-4k,266.0,-134.0,1000.0,0.157,0.291,0.274213978892971,0.016309506430300092,0.01574941268746235,0.0,0.015749412687462352,7.464361325862417e-17,DS1000
1,Doubao-lite-4k,ERNIE-Speed-8K,161.0,69.0,1000.0,0.157,0.088,0.2734640625986782,0.012688577540449521,0.012499559992255728,0.0,0.012499559992255728,5.283208926292755e-08,DS1000
2,Doubao-lite-4k,Phind-Phind-CodeLlama-34B-v2,319.0,-247.0,1000.0,0.157,0.404,0.32250309793070325,0.01786057109949175,0.016062098244002867,0.0,0.01606209824400287,1.0128933545485163e-48,DS1000
3,Doubao-lite-4k,Qwen-CodeQwen1.5-7B,225.0,-119.0,1000.0,0.157,0.276,0.37305446338692844,0.015000000000000001,0.01452029614023075,0.0,0.014520296140230747,7.34622184456983e-16,DS1000
4,Doubao-lite-4k,Qwen-Qwen1.5-110B-Chat,311.0,-245.0,1000.0,0.157,0.402,0.3413423792315563,0.0176351920885484,0.01584219050510377,0.0,0.01584219050510377,1.963711315582921e-49,DS1000
5,Doubao-lite-4k,Qwen-Qwen1.5-14B,193.0,-91.0,1000.0,0.157,0.248,0.42686552272988143,0.013892443989449804,0.013591136817794162,0.0,0.01359113681779416,4.026853466792048e-11,DS1000
6,Doubao-lite-4k,Qwen-Qwen1.5-14B-Chat,201.0,-57.0,1000.0,0.157,0.214,0.3445071533824774,0.014177446878757825,0.01406239666628701,0.0,0.014062396666287011,7.051394532266084e-05,DS1000
7,Doubao-lite-4k,Qwen-Qwen1.5-32B,240.0,-128.0,1000.0,0.157,0.285,0.34254849565455325,0.015491933384829668,0.014953795504820844,0.0,0.01495379550482084,4.150423848969127e-17,DS1000
8,Doubao-lite-4k,Qwen-Qwen1.5-32B-Chat,251.0,-171.0,1000.0,0.157,0.328,0.3835152599630791,0.01584297951775486,0.01489157479919434,0.0,0.01489157479919434,3.029542914066364e-29,DS1000
9,Doubao-lite-4k,Qwen-Qwen1.5-72B,260.0,-186.0,1000.0,0.157,0.343,0.38302747264533865,0.0161245154965971,0.015013460627050647,0.0,0.015013460627050647,1.4383939398769558e-33,DS1000
