,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
7,Qwen1.5-110B,0.6523959151610369,0.00943775833661561,0.0,0.009437758336615611,,0.33643315928099443,1089.6203447635964
0,Meta-Llama-3-70B,0.6370777690494894,0.009529581125665603,0.0,0.009529581125665605,,0.32406081049859065,1083.8651622345883
11,Qwen1.5-72B,0.6323644933228594,0.00955571665036357,0.0,0.009555716650363574,,0.32017928931195416,1082.103027384509
9,Qwen1.5-32B,0.6135113904163394,0.009650514442485169,0.0,0.009650514442485169,,0.30958597107342545,1075.0926429505603
3,Mixtral-8x22B-v0.1,0.6119402985074627,0.009657719776654906,0.0,0.009657719776654904,,0.3076452104801072,1074.5110759922695
13,dbrx-base,0.558523173605656,0.009841138747245974,0.0,0.009841138747245974,,0.26886465505290885,1054.9471895489414
14,deepseek-llm-67b-base,0.5549882168106834,0.009849142860533004,0.0,0.009849142860533004,,0.26854119495402246,1053.6652414142513
8,Qwen1.5-14B,0.5471327572663001,0.00986512546244688,0.0,0.00986512546244688,,0.2607781525807495,1050.82134718703
4,Mixtral-8x7B-v0.1,0.5035349567949725,0.009909002787630556,0.0,0.009909002787630555,,0.23543274340372441,1035.1443481212457
22,llama2_70B,0.48860958366064416,0.009906678823724138,0.0,0.009906678823724138,,0.22657224712351554,1029.8117370772684
26,llama_65B,0.4842890809112333,0.009904357373444571,0.0,0.009904357373444571,,0.21780416801441707,1028.2707116091856
12,Qwen1.5-7B,0.48232521602513745,0.009903057245959381,0.0,0.009903057245959381,,0.21987200221801212,1027.5706035286094
1,Meta-Llama-3-8B,0.4744697564807541,0.009896324443772314,0.0,0.009896324443772312,,0.21862437040802182,1024.7722779868268
19,gemma-7b,0.45326001571091906,0.00986585942506142,0.0,0.00986585942506142,,0.20752275772838594,1017.2313502583061
2,Mistral-7B-v0.1,0.4399057344854674,0.009837419128156132,0.0,0.009837419128156132,,0.19384501640404786,1012.4919253125362
10,Qwen1.5-4B,0.42851531814611155,0.009807453845266965,0.0,0.009807453845266965,,0.18918950140936186,1008.4531723172561
25,llama_33B,0.4139827179890024,0.009761512573775713,0.0,0.009761512573775714,,0.18560833602883417,1003.3034775133328
21,llama2_13B,0.38020424194815394,0.009620631477233289,0.0,0.009620631477233289,,0.16627004297398457,991.3362940381494
20,llama2_07B,0.3479968578161822,0.009440245878636568,0.0,0.00944024587863657,,0.16060949124347304,979.9086577726362
15,deepseek-llm-7b-base,0.34328358208955223,0.009409926991470587,0.0,0.009409926991470589,,0.15206090291576174,978.2334689811524
6,Qwen1.5-1.8B,0.3413197172034564,0.009396991208635894,0.0,0.009396991208635894,,0.15937341157987153,977.5351981773632
27,mpt-30b,0.3413197172034564,0.009396991208635894,0.0,0.009396991208635894,,0.15334319116491843,977.5351981773632
24,llama_13B,0.3161822466614297,0.009215305277528051,0.0,0.009215305277528051,,0.14383577468693684,968.5804273441371
34,stablelm-base-alpha-7b-v2,0.3126472898664572,0.009187301296259678,0.0,0.00918730129625968,,0.14448269488470958,967.3182743837345
33,stablelm-3b-4e1t,0.29850746268656714,0.009069010911819103,0.0,0.009069010911819103,,0.13446698396562082,962.2612448192439
16,deepseek-moe-16b-base,0.29654359780047135,0.009051773324371239,0.0,0.009051773324371239,,0.13974631486530198,961.5577385252448
5,Qwen1.5-0.5B,0.29379418695993714,0.009027303497293165,0.0,0.009027303497293165,,0.1393535418880828,960.572332156761
18,gemma-2b,0.27336999214454044,0.008832891281865983,0.0,0.008832891281865983,,0.14971581719883553,953.2325227235465
23,llama_07B,0.24587588373919875,0.008533951728429709,0.0,0.008533951728429709,,0.12706205813040064,943.2889089409508
29,pythia-12b-deduped-v0,0.24469756480754123,0.00852012696302955,0.0,0.00852012696302955,,0.132098793955917,942.8609231263252
31,pythia-2.8b-deduped,0.23487824037706206,0.008401512333804291,0.0,0.008401512333804291,,0.13187930317452984,939.2879764303312
32,pythia-6.9b-deduped-v0,0.23409269442262373,0.0083917557839643,0.0,0.0083917557839643,,0.12941869599371564,939.0016339912879
17,falcon-7b,0.22859387274155538,0.008322324298582866,0.0,0.008322324298582866,,0.12484404602375121,936.9950599849356
30,pythia-1b-deduped,0.22309505106048705,0.008250869392949766,0.0,0.008250869392949766,,0.12460145094958644,934.984579150347
28,pythia-1.4b-deduped-v0,0.2199528672427337,0.008209109271605746,0.0,0.008209109271605746,,0.12054664756711797,933.8339260761769
