,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,820.0,414.0,2546.0,0.6370777690494894,0.4744697564807541,0.38508843289459255,0.011247306412628715,0.010775734201973442,0.0,0.010775734201973442,2.7362357380357586e-49,agi_english
1,Meta-Llama-3-70B,Mistral-7B-v0.1,902.0,502.0,2546.0,0.6370777690494894,0.4399057344854674,0.33977488139213413,0.011796274483645883,0.01113024396894152,0.0,0.01113024396894152,4.82177684264606e-66,agi_english
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,580.0,64.0,2546.0,0.6370777690494894,0.6119402985074627,0.5153295434144393,0.00945922590635687,0.009446097843995941,0.0,0.009446097843995941,0.008841111380734273,agi_english
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,740.0,340.0,2546.0,0.6370777690494894,0.5035349567949725,0.4333726694044116,0.010684580132549444,0.010351601999599207,0.0,0.010351601999599207,6.162102650575997e-37,agi_english
4,Meta-Llama-3-70B,Qwen1.5-0.5B,1272.0,874.0,2546.0,0.6370777690494894,0.29379418695993714,0.12995249123407807,0.01400829104487589,0.012245261508640104,0.0,0.012245261508640104,3.718094119123041e-145,agi_english
5,Meta-Llama-3-70B,Qwen1.5-1.8B,1161.0,753.0,2546.0,0.6370777690494894,0.3413197172034564,0.19187814717822702,0.013383130430008501,0.012031260038523353,0.0,0.012031260038523355,5.885872605279765e-117,agi_english
6,Meta-Llama-3-70B,Qwen1.5-110B,553.0,-39.0,2546.0,0.6370777690494894,0.6523959151610369,0.5262782998680554,0.00923643049199124,0.009231440070886363,0.0,0.009231440070886361,0.10602581592316075,agi_english
7,Meta-Llama-3-70B,Qwen1.5-14B,705.0,229.0,2546.0,0.6370777690494894,0.5471327572663001,0.4390488218221372,0.010428843713552046,0.010275368923693334,0.0,0.010275368923693334,4.565233943444145e-18,agi_english
8,Meta-Llama-3-70B,Qwen1.5-32B,620.0,60.0,2546.0,0.6370777690494894,0.6135113904163394,0.48124479656116675,0.009779968262363497,0.009768809714294458,0.0,0.009768809714294458,0.017741419707717296,agi_english
9,Meta-Llama-3-70B,Qwen1.5-4B,901.0,531.0,2546.0,0.6370777690494894,0.42851531814611155,0.3482000635027601,0.011789733715478111,0.011041415936678697,0.0,0.011041415936678697,2.408932023192943e-74,agi_english
