,benchmark_id,model,example_id,pass1,N,date,hyperparams
277986,arc_challenge,falcon-7b,arc_challenge/0,1.0,,,
277987,arc_challenge,falcon-7b,arc_challenge/1,0.0,,,
277988,arc_challenge,falcon-7b,arc_challenge/2,0.0,,,
277989,arc_challenge,falcon-7b,arc_challenge/3,1.0,,,
277990,arc_challenge,falcon-7b,arc_challenge/4,0.0,,,
277991,arc_challenge,falcon-7b,arc_challenge/5,0.0,,,
277992,arc_challenge,falcon-7b,arc_challenge/6,0.0,,,
277993,arc_challenge,falcon-7b,arc_challenge/7,1.0,,,
277994,arc_challenge,falcon-7b,arc_challenge/8,0.0,,,
277995,arc_challenge,falcon-7b,arc_challenge/9,0.0,,,
277996,arc_challenge,falcon-7b,arc_challenge/10,0.0,,,
277997,arc_challenge,falcon-7b,arc_challenge/11,1.0,,,
277998,arc_challenge,falcon-7b,arc_challenge/12,0.0,,,
277999,arc_challenge,falcon-7b,arc_challenge/13,0.0,,,
278000,arc_challenge,falcon-7b,arc_challenge/14,0.0,,,
278001,arc_challenge,falcon-7b,arc_challenge/15,1.0,,,
278002,arc_challenge,falcon-7b,arc_challenge/16,1.0,,,
278003,arc_challenge,falcon-7b,arc_challenge/17,1.0,,,
278004,arc_challenge,falcon-7b,arc_challenge/18,1.0,,,
278005,arc_challenge,falcon-7b,arc_challenge/19,0.0,,,
278006,arc_challenge,falcon-7b,arc_challenge/20,0.0,,,
278007,arc_challenge,falcon-7b,arc_challenge/21,1.0,,,
278008,arc_challenge,falcon-7b,arc_challenge/22,0.0,,,
278009,arc_challenge,falcon-7b,arc_challenge/23,1.0,,,
278010,arc_challenge,falcon-7b,arc_challenge/24,1.0,,,
278011,arc_challenge,falcon-7b,arc_challenge/25,1.0,,,
278012,arc_challenge,falcon-7b,arc_challenge/26,0.0,,,
278013,arc_challenge,falcon-7b,arc_challenge/27,0.0,,,
278014,arc_challenge,falcon-7b,arc_challenge/28,0.0,,,
278015,arc_challenge,falcon-7b,arc_challenge/29,0.0,,,
278016,arc_challenge,falcon-7b,arc_challenge/30,1.0,,,
278017,arc_challenge,falcon-7b,arc_challenge/31,0.0,,,
278018,arc_challenge,falcon-7b,arc_challenge/32,1.0,,,
278019,arc_challenge,falcon-7b,arc_challenge/33,1.0,,,
278020,arc_challenge,falcon-7b,arc_challenge/34,0.0,,,
278021,arc_challenge,falcon-7b,arc_challenge/35,0.0,,,
278022,arc_challenge,falcon-7b,arc_challenge/36,0.0,,,
278023,arc_challenge,falcon-7b,arc_challenge/37,0.0,,,
278024,arc_challenge,falcon-7b,arc_challenge/38,1.0,,,
278025,arc_challenge,falcon-7b,arc_challenge/39,0.0,,,
278026,arc_challenge,falcon-7b,arc_challenge/40,1.0,,,
278027,arc_challenge,falcon-7b,arc_challenge/41,0.0,,,
278028,arc_challenge,falcon-7b,arc_challenge/42,0.0,,,
278029,arc_challenge,falcon-7b,arc_challenge/43,0.0,,,
278030,arc_challenge,falcon-7b,arc_challenge/44,0.0,,,
278031,arc_challenge,falcon-7b,arc_challenge/45,0.0,,,
278032,arc_challenge,falcon-7b,arc_challenge/46,1.0,,,
278033,arc_challenge,falcon-7b,arc_challenge/47,0.0,,,
278034,arc_challenge,falcon-7b,arc_challenge/48,0.0,,,
278035,arc_challenge,falcon-7b,arc_challenge/49,0.0,,,
278036,arc_challenge,falcon-7b,arc_challenge/50,0.0,,,
278037,arc_challenge,falcon-7b,arc_challenge/51,0.0,,,
278038,arc_challenge,falcon-7b,arc_challenge/52,1.0,,,
278039,arc_challenge,falcon-7b,arc_challenge/53,0.0,,,
278040,arc_challenge,falcon-7b,arc_challenge/54,0.0,,,
278041,arc_challenge,falcon-7b,arc_challenge/55,0.0,,,
278042,arc_challenge,falcon-7b,arc_challenge/56,0.0,,,
278043,arc_challenge,falcon-7b,arc_challenge/57,1.0,,,
278044,arc_challenge,falcon-7b,arc_challenge/58,0.0,,,
278045,arc_challenge,falcon-7b,arc_challenge/59,0.0,,,
278046,arc_challenge,falcon-7b,arc_challenge/60,1.0,,,
278047,arc_challenge,falcon-7b,arc_challenge/61,1.0,,,
278048,arc_challenge,falcon-7b,arc_challenge/62,1.0,,,
278049,arc_challenge,falcon-7b,arc_challenge/63,0.0,,,
278050,arc_challenge,falcon-7b,arc_challenge/64,0.0,,,
278051,arc_challenge,falcon-7b,arc_challenge/65,0.0,,,
278052,arc_challenge,falcon-7b,arc_challenge/66,0.0,,,
278053,arc_challenge,falcon-7b,arc_challenge/67,0.0,,,
278054,arc_challenge,falcon-7b,arc_challenge/68,0.0,,,
278055,arc_challenge,falcon-7b,arc_challenge/69,0.0,,,
278056,arc_challenge,falcon-7b,arc_challenge/70,0.0,,,
278057,arc_challenge,falcon-7b,arc_challenge/71,0.0,,,
278058,arc_challenge,falcon-7b,arc_challenge/72,1.0,,,
278059,arc_challenge,falcon-7b,arc_challenge/73,1.0,,,
278060,arc_challenge,falcon-7b,arc_challenge/74,0.0,,,
278061,arc_challenge,falcon-7b,arc_challenge/75,0.0,,,
278062,arc_challenge,falcon-7b,arc_challenge/76,0.0,,,
278063,arc_challenge,falcon-7b,arc_challenge/77,0.0,,,
278064,arc_challenge,falcon-7b,arc_challenge/78,0.0,,,
278065,arc_challenge,falcon-7b,arc_challenge/79,0.0,,,
278066,arc_challenge,falcon-7b,arc_challenge/80,0.0,,,
278067,arc_challenge,falcon-7b,arc_challenge/81,0.0,,,
278068,arc_challenge,falcon-7b,arc_challenge/82,0.0,,,
278069,arc_challenge,falcon-7b,arc_challenge/83,1.0,,,
278070,arc_challenge,falcon-7b,arc_challenge/84,0.0,,,
278071,arc_challenge,falcon-7b,arc_challenge/85,1.0,,,
278072,arc_challenge,falcon-7b,arc_challenge/86,1.0,,,
278073,arc_challenge,falcon-7b,arc_challenge/87,1.0,,,
278074,arc_challenge,falcon-7b,arc_challenge/88,0.0,,,
278075,arc_challenge,falcon-7b,arc_challenge/89,0.0,,,
278076,arc_challenge,falcon-7b,arc_challenge/90,1.0,,,
278077,arc_challenge,falcon-7b,arc_challenge/91,1.0,,,
278078,arc_challenge,falcon-7b,arc_challenge/92,1.0,,,
278079,arc_challenge,falcon-7b,arc_challenge/93,0.0,,,
278080,arc_challenge,falcon-7b,arc_challenge/94,1.0,,,
278081,arc_challenge,falcon-7b,arc_challenge/95,1.0,,,
278082,arc_challenge,falcon-7b,arc_challenge/96,1.0,,,
278083,arc_challenge,falcon-7b,arc_challenge/97,0.0,,,
278084,arc_challenge,falcon-7b,arc_challenge/98,1.0,,,
278085,arc_challenge,falcon-7b,arc_challenge/99,1.0,,,
278086,arc_challenge,falcon-7b,arc_challenge/100,1.0,,,
278087,arc_challenge,falcon-7b,arc_challenge/101,1.0,,,
278088,arc_challenge,falcon-7b,arc_challenge/102,0.0,,,
278089,arc_challenge,falcon-7b,arc_challenge/103,0.0,,,
278090,arc_challenge,falcon-7b,arc_challenge/104,1.0,,,
278091,arc_challenge,falcon-7b,arc_challenge/105,0.0,,,
278092,arc_challenge,falcon-7b,arc_challenge/106,1.0,,,
278093,arc_challenge,falcon-7b,arc_challenge/107,0.0,,,
278094,arc_challenge,falcon-7b,arc_challenge/108,1.0,,,
278095,arc_challenge,falcon-7b,arc_challenge/109,0.0,,,
