,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
14,dbrx-base,0.6592274678111588,0.013886313807271938,0.0,0.013886313807271936,,0.24827746201136758,1066.1392663701981
1,Meta-Llama-3-70B,0.6497854077253219,0.013976200851538305,0.0,0.013976200851538303,,0.22227119823686348,1062.7140016760823
4,Mixtral-8x22B-v0.1,0.6188841201716738,0.014228864032273731,0.0,0.01422886403227373,,0.19531376870432665,1051.5815372630163
0,DeepSeek-V2,0.6017167381974249,0.01434264044415394,0.0,0.014342640444153938,,0.18394617793759424,1045.4418421467976
5,Mixtral-8x7B-v0.1,0.6017167381974249,0.01434264044415394,0.0,0.014342640444153938,,0.18153346479526736,1045.4418421467976
15,deepseek-llm-67b-base,0.5733905579399141,0.014490305357746784,0.0,0.014490305357746784,,0.16162858137107064,1035.3691139495588
28,llama_65B,0.551931330472103,0.01456974161551365,0.0,0.014569741615513648,,0.1464563275722074,1027.7773577120313
8,Qwen1.5-110B,0.5502145922746781,0.014574906259246626,0.0,0.014574906259246626,,0.15712794339403782,1027.171225296363
24,llama2_70B,0.5459227467811159,0.014587051149077993,0.0,0.014587051149077993,,0.1598886440088157,1025.6565923254045
18,falcon-40b,0.544206008583691,0.014591602876682682,0.0,0.014591602876682682,,0.14311564783667788,1025.0510088411545
3,Mistral-7B-v0.1,0.5416309012875536,0.014598102882741144,0.0,0.014598102882741142,,0.14413641108920078,1024.142911258187
27,llama_33B,0.5381974248927038,0.014606158872982439,0.0,0.014606158872982439,,0.14003015891427908,1022.9326137434124
2,Meta-Llama-3-8B,0.5356223175965665,0.014611743483584882,0.0,0.014611743483584882,,0.14190929126551444,1022.0252492305603
21,gemma-7b,0.5339055793991416,0.014615249008922051,0.0,0.014615249008922051,,0.1414453079689131,1021.4205035523053
12,Qwen1.5-72B,0.5236051502145923,0.014632634374611769,0.0,0.014632634374611769,,0.1362486950469783,1017.794569881006
23,llama2_13B,0.5021459227467812,0.01464883346556211,0.0,0.01464883346556211,,0.14320844449599815,1010.2518215475277
10,Qwen1.5-32B,0.5012875536480687,0.01464891981269027,0.0,0.014648919812690267,,0.12991532304837025,1009.9503546464227
29,mpt-30b,0.4944206008583691,0.014648056318503785,0.0,0.014648056318503785,,0.11639020995244172,1007.53910925493
26,llama_13B,0.4858369098712446,0.014643090238770525,0.0,0.014643090238770523,,0.10998724045934347,1004.5260213387979
17,deepseek-moe-16b-base,0.47639484978540775,0.014632634374611769,0.0,0.014632634374611769,,0.10492982252638905,1001.2123672415358
9,Qwen1.5-14B,0.455793991416309,0.014591602876682683,0.0,0.014591602876682682,,0.10534740749333024,993.9824526138655
25,llama_07B,0.44892703862660943,0.014572345866350506,0.0,0.014572345866350504,,0.09411901171557824,991.571620921945
16,deepseek-llm-7b-base,0.44635193133047213,0.014564401445515015,0.0,0.014564401445515013,,0.0901055561999768,990.6673618570211
19,falcon-7b,0.4412017167381974,0.014547325813141868,0.0,0.014547325813141868,,0.08820322468391138,988.8584524514215
22,llama2_07B,0.4351931330472103,0.014525397913507212,0.0,0.014525397913507213,,0.10158914279085952,986.747289905518
30,mpt-7b,0.4248927038626609,0.014482752627266955,0.0,0.014482752627266952,,0.08546572323396358,983.1258028614128
13,Qwen1.5-7B,0.4206008583690987,0.014463088324067059,0.0,0.014463088324067059,,0.09207748521053243,981.6158206292304
20,gemma-2b,0.4171673819742489,0.0144465496241759,0.0,0.014446549624175898,,0.07896995708154507,980.4073422530026
37,stablelm-base-alpha-7b-v2,0.4068669527896996,0.014392601685472746,0.0,0.014392601685472746,,0.07414453079689132,976.7789774063043
36,stablelm-3b-4e1t,0.39742489270386266,0.014337392133414086,0.0,0.014337392133414084,,0.07235819510497622,973.4486022703774
11,Qwen1.5-4B,0.3948497854077253,0.014321370698635103,0.0,0.014321370698635103,,0.081405869388702,972.5395097648861
32,pythia-12b-deduped-v0,0.3811158798283262,0.014228864032273731,0.0,0.01422886403227373,,0.06727757800719174,967.6844758672402
35,pythia-6.9b-deduped-v0,0.3579399141630901,0.014045265021999613,0.0,0.014045265021999613,,0.06036422688783204,959.4625626777034
7,Qwen1.5-1.8B,0.34334763948497854,0.013911431614560207,0.0,0.013911431614560205,,0.061802575107296136,954.263639449968
34,pythia-2.8b-deduped,0.3278969957081545,0.013753830708330266,0.0,0.013753830708330264,,0.05625797471291034,948.7371742605449
6,Qwen1.5-0.5B,0.2935622317596567,0.013342096657335675,0.0,0.013342096657335675,,0.04660712214360283,936.362067976636
31,pythia-1.4b-deduped-v0,0.27896995708154504,0.013139911357984075,0.0,0.013139911357984075,,0.049089432780419905,931.0572279202747
33,pythia-1b-deduped,0.2721030042918455,0.013038831385640883,0.0,0.013038831385640881,,0.04426400649576615,928.5503094905588
