,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,182.0,-56.0,1165.0,0.6017167381974249,0.6497854077253219,0.6708011445183265,0.011580032243117632,0.01149407680919584,0.0,0.01149407680919584,4.007639265526995e-05,arc_challenge
1,DeepSeek-V2,Meta-Llama-3-8B,215.0,77.0,1165.0,0.6017167381974249,0.5356223175965665,0.6311767876229664,0.012586161629712602,0.012436305835047786,0.0,0.012436305835047786,1.6265467921323027e-07,arc_challenge
2,DeepSeek-V2,Mistral-7B-v0.1,208.0,70.0,1165.0,0.6017167381974249,0.5416309012875536,0.6415775522777191,0.012379575194726143,0.01225377106657197,0.0,0.01225377106657197,1.3790084322234868e-06,arc_challenge
3,DeepSeek-V2,Mixtral-8x22B-v0.1,166.0,-20.0,1165.0,0.6017167381974249,0.6188841201716738,0.700992810753615,0.011059312211781224,0.011047868976048971,0.0,0.011047868976048971,0.14006351827142788,arc_challenge
4,DeepSeek-V2,Mixtral-8x7B-v0.1,172.0,0.0,1165.0,0.6017167381974249,0.6017167381974249,0.6919732893895466,0.011257405191934765,0.011257405191934765,0.0,0.011257405191934765,1.0,arc_challenge
5,DeepSeek-V2,Qwen1.5-0.5B,413.0,359.0,1165.0,0.6017167381974249,0.2935622317596567,0.42050270856365235,0.01744412140163225,0.014926062062565842,0.0,0.014926062062565838,1.672505430462374e-82,arc_challenge
6,DeepSeek-V2,Qwen1.5-1.8B,379.0,301.0,1165.0,0.6017167381974249,0.34334763948497854,0.4442842000810111,0.01671066294758093,0.014897858164534534,0.0,0.014897858164534534,4.376558336405373e-61,arc_challenge
7,DeepSeek-V2,Qwen1.5-110B,222.0,60.0,1165.0,0.6017167381974249,0.5502145922746781,0.6143411206225218,0.012789411524250076,0.012700088502260488,0.0,0.01270008850226049,6.827503379647057e-05,arc_challenge
8,DeepSeek-V2,Qwen1.5-14B,266.0,170.0,1165.0,0.6017167381974249,0.455793991416309,0.575576444519137,0.013999576335021536,0.013330810169216847,0.0,0.013330810169216847,4.6966742260566066e-27,arc_challenge
9,DeepSeek-V2,Qwen1.5-32B,253.0,117.0,1165.0,0.6017167381974249,0.5012875536480687,0.5772134905309075,0.013653196326684004,0.013332375672993809,0.0,0.01333237567299381,1.0951513690686953e-13,arc_challenge
10,DeepSeek-V2,Qwen1.5-4B,335.0,241.0,1165.0,0.6017167381974249,0.3948497854077253,0.48858980716244504,0.015710734092466202,0.014494625670060286,0.0,0.014494625670060286,2.1180661858322374e-43,arc_challenge
11,DeepSeek-V2,Qwen1.5-72B,227.0,91.0,1165.0,0.6017167381974249,0.5236051502145923,0.6142107155929836,0.012932634483535934,0.012728541320448854,0.0,0.012728541320448853,1.4105988880608613e-09,arc_challenge
12,DeepSeek-V2,Qwen1.5-7B,313.0,211.0,1165.0,0.6017167381974249,0.4206008583690987,0.5120344163404321,0.015186099581934877,0.01422886403227373,0.0,0.014228864032273731,2.4046902374183404e-35,arc_challenge
