,benchmark_id,model,example_id,pass1,N,date,hyperparams
322256,gsm8k,falcon-7b,gsm8k/0,0.0,,,
322257,gsm8k,falcon-7b,gsm8k/1,0.0,,,
322258,gsm8k,falcon-7b,gsm8k/2,0.0,,,
322259,gsm8k,falcon-7b,gsm8k/3,1.0,,,
322260,gsm8k,falcon-7b,gsm8k/4,0.0,,,
322261,gsm8k,falcon-7b,gsm8k/5,0.0,,,
322262,gsm8k,falcon-7b,gsm8k/6,0.0,,,
322263,gsm8k,falcon-7b,gsm8k/7,0.0,,,
322264,gsm8k,falcon-7b,gsm8k/8,0.0,,,
322265,gsm8k,falcon-7b,gsm8k/9,0.0,,,
322266,gsm8k,falcon-7b,gsm8k/10,0.0,,,
322267,gsm8k,falcon-7b,gsm8k/11,0.0,,,
322268,gsm8k,falcon-7b,gsm8k/12,0.0,,,
322269,gsm8k,falcon-7b,gsm8k/13,0.0,,,
322270,gsm8k,falcon-7b,gsm8k/14,0.0,,,
322271,gsm8k,falcon-7b,gsm8k/15,0.0,,,
322272,gsm8k,falcon-7b,gsm8k/16,0.0,,,
322273,gsm8k,falcon-7b,gsm8k/17,0.0,,,
322274,gsm8k,falcon-7b,gsm8k/18,0.0,,,
322275,gsm8k,falcon-7b,gsm8k/19,0.0,,,
322276,gsm8k,falcon-7b,gsm8k/20,0.0,,,
322277,gsm8k,falcon-7b,gsm8k/21,0.0,,,
322278,gsm8k,falcon-7b,gsm8k/22,0.0,,,
322279,gsm8k,falcon-7b,gsm8k/23,0.0,,,
322280,gsm8k,falcon-7b,gsm8k/24,0.0,,,
322281,gsm8k,falcon-7b,gsm8k/25,0.0,,,
322282,gsm8k,falcon-7b,gsm8k/26,0.0,,,
322283,gsm8k,falcon-7b,gsm8k/27,0.0,,,
322284,gsm8k,falcon-7b,gsm8k/28,1.0,,,
322285,gsm8k,falcon-7b,gsm8k/29,0.0,,,
322286,gsm8k,falcon-7b,gsm8k/30,0.0,,,
322287,gsm8k,falcon-7b,gsm8k/31,0.0,,,
322288,gsm8k,falcon-7b,gsm8k/32,0.0,,,
322289,gsm8k,falcon-7b,gsm8k/33,0.0,,,
322290,gsm8k,falcon-7b,gsm8k/34,0.0,,,
322291,gsm8k,falcon-7b,gsm8k/35,0.0,,,
322292,gsm8k,falcon-7b,gsm8k/36,0.0,,,
322293,gsm8k,falcon-7b,gsm8k/37,0.0,,,
322294,gsm8k,falcon-7b,gsm8k/38,0.0,,,
322295,gsm8k,falcon-7b,gsm8k/39,0.0,,,
322296,gsm8k,falcon-7b,gsm8k/40,0.0,,,
322297,gsm8k,falcon-7b,gsm8k/41,0.0,,,
322298,gsm8k,falcon-7b,gsm8k/42,1.0,,,
322299,gsm8k,falcon-7b,gsm8k/43,0.0,,,
322300,gsm8k,falcon-7b,gsm8k/44,0.0,,,
322301,gsm8k,falcon-7b,gsm8k/45,0.0,,,
322302,gsm8k,falcon-7b,gsm8k/46,0.0,,,
322303,gsm8k,falcon-7b,gsm8k/47,0.0,,,
322304,gsm8k,falcon-7b,gsm8k/48,0.0,,,
322305,gsm8k,falcon-7b,gsm8k/49,0.0,,,
322306,gsm8k,falcon-7b,gsm8k/50,0.0,,,
322307,gsm8k,falcon-7b,gsm8k/51,0.0,,,
322308,gsm8k,falcon-7b,gsm8k/52,0.0,,,
322309,gsm8k,falcon-7b,gsm8k/53,0.0,,,
322310,gsm8k,falcon-7b,gsm8k/54,0.0,,,
322311,gsm8k,falcon-7b,gsm8k/55,1.0,,,
322312,gsm8k,falcon-7b,gsm8k/56,0.0,,,
322313,gsm8k,falcon-7b,gsm8k/57,0.0,,,
322314,gsm8k,falcon-7b,gsm8k/58,0.0,,,
322315,gsm8k,falcon-7b,gsm8k/59,0.0,,,
322316,gsm8k,falcon-7b,gsm8k/60,0.0,,,
322317,gsm8k,falcon-7b,gsm8k/61,0.0,,,
322318,gsm8k,falcon-7b,gsm8k/62,0.0,,,
