,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,249.0,-71.0,1319.0,0.7733131159969674,0.8271417740712661,0.4181384616172437,0.011963407003835861,0.011871240401207035,0.0,0.011871240401207035,8.020884376598191e-06,gsm8k
1,DeepSeek-V2,Meta-Llama-3-8B,415.0,289.0,1319.0,0.7733131159969674,0.55420773313116,0.37416788654822253,0.015444692029919153,0.014217660546420667,0.0,0.014217660546420667,8.77952299063419e-50,gsm8k
2,DeepSeek-V2,Mistral-7B-v0.1,544.0,476.0,1319.0,0.7733131159969674,0.41243366186504926,0.3285459930086835,0.017682947368749962,0.014627020222319828,0.0,0.014627020222319828,4.5018467897568525e-110,gsm8k
3,DeepSeek-V2,Mixtral-8x22B-v0.1,258.0,-38.0,1319.0,0.7733131159969674,0.8021228203184231,0.41740048528826784,0.012177694013805163,0.012151829805004474,0.0,0.012151829805004474,0.021069043721956993,gsm8k
4,DeepSeek-V2,Mixtral-8x7B-v0.1,366.0,224.0,1319.0,0.7733131159969674,0.6034874905231236,0.4051247469002732,0.014504265708649728,0.013729825603793482,0.0,0.01372982560379348,1.4495644308268287e-33,gsm8k
5,DeepSeek-V2,Qwen1.5-0.5B,774.0,744.0,1319.0,0.7733131159969674,0.2092494313874147,0.21174112533673448,0.021092384750937918,0.014271289716730765,0.0,0.014271289716730765,2.936204126335163e-202,gsm8k
6,DeepSeek-V2,Qwen1.5-1.8B,607.0,533.0,1319.0,0.7733131159969674,0.3692191053828658,0.2753964871894548,0.018678824859370613,0.015003288737663484,0.0,0.015003288737663482,9.072896264973734e-124,gsm8k
7,DeepSeek-V2,Qwen1.5-110B,263.0,-89.0,1319.0,0.7733131159969674,0.8407884761182715,0.3731475426104504,0.012295128688572294,0.012153945427339104,0.0,0.012153945427339104,4.318202012490537e-08,gsm8k
8,DeepSeek-V2,Qwen1.5-14B,315.0,103.0,1319.0,0.7733131159969674,0.6952236542835482,0.40074278372951033,0.013455829681045374,0.013282928151652293,0.0,0.013282928151652293,6.72332633888518e-09,gsm8k
9,DeepSeek-V2,Qwen1.5-32B,288.0,14.0,1319.0,0.7733131159969674,0.7626990144048522,0.38752847743803226,0.012866234077693056,0.012862914397314032,0.0,0.012862914397314034,0.44371221051651627,gsm8k
