,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
13,dbrx-base,0.8865763792073292,0.003164460821730552,0.0,0.0031644608217305512,,0.1393945429197371,1042.9005662466734
3,Mixtral-8x22B-v0.1,0.8680541724756025,0.003377233873461905,0.0,0.003377233873461905,,0.11745525933934617,1036.3144639779846
7,Qwen1.5-110B,0.8654650468034256,0.00340511845073123,0.0,0.0034051184507312296,,0.11472102882180556,1035.3958909410117
0,Meta-Llama-3-70B,0.85929097789285,0.0034699322063277568,0.0,0.0034699322063277563,,0.11064386718638859,1033.2073084681972
14,deepseek-llm-67b-base,0.8552081258713403,0.003511542229620668,0.0,0.003511542229620667,,0.10544000910461775,1031.7613944019395
11,Qwen1.5-72B,0.853415654252141,0.0035295065355003567,0.0,0.0035295065355003554,,0.10787549435229181,1031.1269329731435
27,llama_65B,0.8527185819557856,0.003536443577236187,0.0,0.0035364435772361866,,0.10439866844965431,1030.88025098147
17,falcon-40b,0.8507269468233419,0.003556114156777637,0.0,0.003556114156777637,,0.10398042507184112,1030.1756059452991
4,Mixtral-8x7B-v0.1,0.8451503684524995,0.003610039652590899,0.0,0.0036100396525908986,,0.10028167411158848,1028.2038237875913
9,Qwen1.5-32B,0.8412666799442342,0.0036466223176807293,0.0,0.003646622317680729,,0.09848920249238911,1026.8316330475195
26,llama_33B,0.840071698864768,0.0036577223031343297,0.0,0.0036577223031343297,,0.09633823654934988,1026.4095803398986
23,llama2_70B,0.8304122684724159,0.0037448461941202915,0.0,0.0037448461941202906,,0.09823598031126413,1023.0005638234724
2,Mistral-7B-v0.1,0.8170683130850428,0.0038580117436783695,0.0,0.0038580117436783695,,0.0821890915298603,1018.297859386513
20,gemma-7b,0.8084047002589125,0.003927324001886614,0.0,0.003927324001886614,,0.07844766267391243,1015.2480335134702
28,mpt-30b,0.8077076279625572,0.003932765143551474,0.0,0.003932765143551474,,0.07771075767490825,1015.0027449517413
1,Meta-Llama-3-8B,0.8045210117506473,0.0039573879615760225,0.0,0.0039573879615760225,,0.07474037613452073,1013.8815967970161
25,llama_13B,0.8037243576976698,0.003963479901275767,0.0,0.0039634799012757665,,0.07503627621134094,1013.601351866668
22,llama2_13B,0.8032264489145589,0.003967274523631313,0.0,0.003967274523631313,,0.08389905255071557,1013.4262070014848
8,Qwen1.5-14B,0.8003385779725154,0.003989090113100591,0.0,0.003989090113100592,,0.07710473155603607,1012.4104866518653
16,deepseek-moe-16b-base,0.7855008962358097,0.004096151158920372,0.0,0.004096151158920371,,0.06654906535408428,1007.1944524375009
18,falcon-7b,0.7834096793467437,0.004110587338390724,0.0,0.004110587338390724,,0.06582069593421913,1006.4595842301029
12,Qwen1.5-7B,0.772953594901414,0.004180458506322307,0.0,0.004180458506322307,,0.06472245141832873,1002.785855783593
15,deepseek-llm-7b-base,0.7721569408484366,0.00418562756902551,0.0,0.00418562756902551,,0.060050644436225,1002.5059806935661
24,llama_07B,0.7714598685520813,0.004190132895161726,0.0,0.004190132895161726,,0.06017298773721797,1002.261091807839
21,llama2_07B,0.7623979286994622,0.00424723074855734,0.0,0.004247230748557339,,0.06636128261302529,999.0775828961079
35,stablelm-base-alpha-7b-v2,0.754829715196176,0.004292875580094264,0.0,0.004292875580094264,,0.05350670042962415,996.4186426631718
34,stablelm-3b-4e1t,0.7523401712806214,0.004307495192511066,0.0,0.004307495192511066,,0.052380003983270265,995.5438990537483
19,gemma-2b,0.7171878111929895,0.004494231123415771,0.0,0.004494231123415771,,0.042384840811449054,983.180715580513
10,Qwen1.5-4B,0.7155945030870344,0.0045018641189593965,0.0,0.004501864118959396,,0.04461831735283239,982.6195551284997
30,pythia-12b-deduped-v0,0.6954789882493527,0.004592408692764089,0.0,0.004592408692764088,,0.03705294904259254,975.526103460955
33,pythia-6.9b-deduped-v0,0.6610237004580761,0.004723708333851796,0.0,0.004723708333851796,,0.0295530201724187,963.3254330856345
6,Qwen1.5-1.8B,0.6100378410675165,0.00486720358483471,0.0,0.004867203584834709,,0.021964890317808062,945.097729167701
32,pythia-2.8b-deduped,0.602867954590719,0.004882794622127812,0.0,0.004882794622127812,,0.019660283950266026,942.5129210223731
29,pythia-1.4b-deduped-v0,0.5195180242979486,0.004985729952522565,0.0,0.004985729952522564,,0.01346060830227331,911.9280027558611
31,pythia-1b-deduped,0.49591714797849035,0.004989366609046412,0.0,0.004989366609046411,,0.00948871880957123,903.0450466284674
5,Qwen1.5-0.5B,0.49432383987253536,0.004989211435834784,0.0,0.0049892114358347835,,0.010655247958573989,902.4411085014057
