,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,752.0,550.0,10042.0,0.85929097789285,0.8045210117506473,0.7479988023444499,0.0027307925116116486,0.0026755387210030766,0.0,0.002675538721003077,2.9325094187994472e-99,hellaswag
1,Meta-Llama-3-70B,Mistral-7B-v0.1,700.0,424.0,10042.0,0.85929097789285,0.8170683130850428,0.752991201719612,0.0026346856314126573,0.002600776549194242,0.0,0.0026007765491942417,1.561798712959166e-61,hellaswag
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,468.0,-88.0,10042.0,0.85929097789285,0.8680541724756025,0.8026801001722936,0.0021542827776124215,0.0021525071536220197,0.0,0.00215250715362202,5.516791040766929e-05,hellaswag
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,512.0,142.0,10042.0,0.85929097789285,0.8451503684524995,0.7989190137635575,0.002253277932480534,0.0022488551283022943,0.0,0.0022488551283022943,3.591078411354897e-10,hellaswag
4,Meta-Llama-3-70B,Qwen1.5-0.5B,3741.0,3665.0,10042.0,0.85929097789285,0.49432383987253536,0.3783258929672024,0.006090790154699473,0.004881939570112272,0.0,0.004881939570112271,0.0,hellaswag
5,Meta-Llama-3-70B,Qwen1.5-1.8B,2613.0,2503.0,10042.0,0.85929097789285,0.6100378410675165,0.47383125279086,0.005090371606903827,0.004441301018144204,0.0,0.004441301018144203,0.0,hellaswag
6,Meta-Llama-3-70B,Qwen1.5-110B,468.0,-62.0,10042.0,0.85929097789285,0.8654650468034256,0.8039471177605921,0.0021542827776124215,0.002153401568750853,0.0,0.002153401568750853,0.004754142956148244,hellaswag
7,Meta-Llama-3-70B,Qwen1.5-14B,864.0,592.0,10042.0,0.85929097789285,0.8003385779725154,0.7127459128009771,0.002927093896972529,0.0028673670314435847,0.0,0.0028673670314435847,1.6849397201775666e-98,hellaswag
8,Meta-Llama-3-70B,Qwen1.5-32B,563.0,181.0,10042.0,0.85929097789285,0.8412666799442342,0.7819014828507136,0.0023628381831716136,0.002355982305780212,0.0,0.0023559823057802114,1.9778358084958273e-14,hellaswag
9,Meta-Llama-3-70B,Qwen1.5-4B,1607.0,1443.0,10042.0,0.85929097789285,0.7155945030870344,0.5898275161112226,0.00399197415909728,0.003725537031368868,0.0,0.003725537031368868,0.0,hellaswag
10,Meta-Llama-3-70B,Qwen1.5-72B,529.0,59.0,10042.0,0.85929097789285,0.853415654252141,0.7861193638621043,0.002290380402310297,0.0022896298569901837,0.0,0.0022896298569901833,0.011606859717334031,hellaswag
11,Meta-Llama-3-70B,Qwen1.5-7B,1115.0,867.0,10042.0,0.85929097789285,0.772953594901414,0.6618694021463571,0.0033251957492658833,0.0032116397754099785,0.0,0.0032116397754099785,2.03328003297026e-168,hellaswag
12,Meta-Llama-3-70B,dbrx-base,666.0,-274.0,10042.0,0.85929097789285,0.8865763792073292,0.7068905522382023,0.002569903983382581,0.002555439013288275,0.0,0.002555439013288275,6.967887322221571e-27,hellaswag
13,Meta-Llama-3-70B,deepseek-llm-67b-base,443.0,41.0,10042.0,0.85929097789285,0.8552081258713403,0.8198729201728072,0.0020959535132293555,0.002095557475599049,0.0,0.0020955574755990485,0.05725055720694579,hellaswag
14,Meta-Llama-3-70B,deepseek-llm-7b-base,1073.0,875.0,10042.0,0.85929097789285,0.7721569408484366,0.6773528315881987,0.0032619676068829317,0.0031439424411536412,0.0,0.003143942441153641,2.3725804844489138e-181,hellaswag
15,Meta-Llama-3-70B,deepseek-moe-16b-base,941.0,741.0,10042.0,0.85929097789285,0.7855008962358097,0.7046062049177175,0.00305474241190559,0.0029646637099706606,0.0,0.00296466370997066,1.2763448405856318e-146,hellaswag
16,Meta-Llama-3-70B,falcon-40b,524.0,86.0,10042.0,0.85929097789285,0.8507269468233419,0.7900425738506643,0.0022795305999322043,0.0022779280428230964,0.0,0.002277928042823097,0.00019854036129171544,hellaswag
17,Meta-Llama-3-70B,falcon-7b,972.0,762.0,10042.0,0.85929097789285,0.7834096793467437,0.696601106117084,0.003104651915578549,0.0030108926589033007,0.0,0.0030108926589033007,7.847791002726274e-150,hellaswag
18,Meta-Llama-3-70B,gemma-2b,1567.0,1427.0,10042.0,0.85929097789285,0.7171878111929895,0.5998915902357665,0.003941978771736603,0.003678085284001312,0.0,0.0036780852840013123,0.0,hellaswag
19,Meta-Llama-3-70B,gemma-7b,759.0,511.0,10042.0,0.85929097789285,0.8084047002589125,0.7409813625210177,0.0027434728767090043,0.002696068453329588,0.0,0.0026960684533295885,1.835449557428319e-83,hellaswag
20,Meta-Llama-3-70B,llama2_07B,1299.0,973.0,10042.0,0.85929097789285,0.7623979286994622,0.6151858941633144,0.003589090079852639,0.0034563952149484845,0.0,0.0034563952149484845,8.626032440839594e-180,hellaswag
21,Meta-Llama-3-70B,llama2_13B,1011.0,563.0,10042.0,0.85929097789285,0.8032264489145589,0.6562134692678417,0.0031663240580730224,0.0031165043775836783,0.0,0.0031165043775836783,6.314116501795565e-74,hellaswag
22,Meta-Llama-3-70B,llama2_70B,816.0,290.0,10042.0,0.85929097789285,0.8304122684724159,0.694742293339434,0.0028446239508236803,0.0028299887353792573,0.0,0.0028299887353792573,1.5041735138347027e-24,hellaswag
23,Meta-Llama-3-70B,llama_07B,1090.0,882.0,10042.0,0.85929097789285,0.7714598685520813,0.6725425333873442,0.003287706436809237,0.0031687236696025262,0.0,0.0031687236696025262,7.965653863965614e-181,hellaswag
24,Meta-Llama-3-70B,llama_13B,818.0,558.0,10042.0,0.85929097789285,0.8037243576976698,0.7251271721717886,0.00284810787613525,0.0027936078706533676,0.0,0.0027936078706533667,1.9455525746669443e-92,hellaswag
25,Meta-Llama-3-70B,llama_33B,549.0,193.0,10042.0,0.85929097789285,0.840071698864768,0.788366541165296,0.0023332751471539497,0.002325379395865612,0.0,0.0023253793958656122,1.2265405957569402e-16,hellaswag
26,Meta-Llama-3-70B,llama_65B,486.0,66.0,10042.0,0.85929097789285,0.8527185819557856,0.8039841746098302,0.002195320422729397,0.002194340490038134,0.0,0.002194340490038134,0.003153405337254358,hellaswag
27,Meta-Llama-3-70B,mpt-30b,772.0,518.0,10042.0,0.85929097789285,0.8077076279625572,0.7370604090557967,0.002766867952489505,0.0027185633976518006,0.0,0.0027185633976518,3.0192957350671086e-84,hellaswag
28,Meta-Llama-3-70B,pythia-1.4b-deduped-v0,3484.0,3412.0,10042.0,0.85929097789285,0.5195180242979486,0.4001422208715953,0.0058778548350423045,0.004801343129287879,0.0,0.004801343129287878,0.0,hellaswag
29,Meta-Llama-3-70B,pythia-12b-deduped-v0,1769.0,1645.0,10042.0,0.85929097789285,0.6954789882493527,0.5729566439337103,0.004188357069271677,0.003856179643288834,0.0,0.0038561796432888336,0.0,hellaswag
30,Meta-Llama-3-70B,pythia-1b-deduped,3717.0,3649.0,10042.0,0.85929097789285,0.49591714797849035,0.38189481557300736,0.006071221300408756,0.004869383855627258,0.0,0.004869383855627258,0.0,hellaswag
31,Meta-Llama-3-70B,pythia-2.8b-deduped,2665.0,2575.0,10042.0,0.85929097789285,0.602867954590719,0.4722415811637104,0.0051407725549254355,0.004458673169548792,0.0,0.004458673169548792,0.0,hellaswag
32,Meta-Llama-3-70B,pythia-6.9b-deduped-v0,2099.0,1991.0,10042.0,0.85929097789285,0.6610237004580761,0.5324161816607648,0.004562322720157462,0.004110989951781193,0.0,0.004110989951781193,0.0,hellaswag
33,Meta-Llama-3-70B,stablelm-3b-4e1t,1226.0,1074.0,10042.0,0.85929097789285,0.7523401712806214,0.6548711507283161,0.0034867837880923317,0.003319427322270899,0.0,0.0033194273222708986,4.8616118181542836e-247,hellaswag
34,Meta-Llama-3-70B,stablelm-base-alpha-7b-v2,1215.0,1049.0,10042.0,0.85929097789285,0.754829715196176,0.6547831360532159,0.0034711063648542873,0.0033108802141498654,0.0,0.0033108802141498654,5.773370773799391e-236,hellaswag
35,Meta-Llama-3-8B,Meta-Llama-3-70B,752.0,-550.0,10042.0,0.8045210117506473,0.85929097789285,0.7479988023444499,0.0027307925116116486,0.0026755387210030766,0.0,0.002675538721003077,2.9325094187994472e-99,hellaswag
36,Meta-Llama-3-8B,Mistral-7B-v0.1,590.0,-126.0,10042.0,0.8045210117506473,0.8170683130850428,0.8092307094179331,0.0024188324639496353,0.002415589546597138,0.0,0.002415589546597138,2.4044082930433416e-07,hellaswag
37,Meta-Llama-3-8B,Mixtral-8x22B-v0.1,830.0,-638.0,10042.0,0.8045210117506473,0.8680541724756025,0.7197094588929797,0.002868922583327611,0.0027979919159411776,0.0,0.002797991915941178,1.8145060049910785e-122,hellaswag
38,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,666.0,-408.0,10042.0,0.8045210117506473,0.8451503684524995,0.778831487543656,0.002569903983382581,0.002537719928245296,0.0,0.002537719928245296,4.981331843859935e-60,hellaswag
39,Meta-Llama-3-8B,Qwen1.5-0.5B,3233.0,3115.0,10042.0,0.8045210117506473,0.49432383987253536,0.4577284372475718,0.005662166491069308,0.004741112228386295,0.0,0.004741112228386295,0.0,hellaswag
40,Meta-Llama-3-8B,Qwen1.5-1.8B,2125.0,1953.0,10042.0,0.8045210117506473,0.6100378410675165,0.5722457362995416,0.004590492161567859,0.004160056181244151,0.0,0.00416005618124415,0.0,hellaswag
41,Meta-Llama-3-8B,Qwen1.5-110B,798.0,-612.0,10042.0,0.8045210117506473,0.8654650468034256,0.7314166636814402,0.002813074465609547,0.0027465476215572265,0.0,0.0027465476215572265,3.46387920726676e-117,hellaswag
42,Meta-Llama-3-8B,Qwen1.5-14B,752.0,42.0,10042.0,0.8045210117506473,0.8003385779725154,0.7638951399120508,0.0027307925116116486,0.0027304735454626223,0.0,0.0027304735454626223,0.13483073729638093,hellaswag
43,Meta-Llama-3-8B,Qwen1.5-32B,697.0,-369.0,10042.0,0.8045210117506473,0.8412666799442342,0.7685282420553916,0.0026290338144680514,0.0026033361510153334,0.0,0.002603336151015334,2.221003571265749e-46,hellaswag
44,Meta-Llama-3-8B,Qwen1.5-4B,1183.0,893.0,10042.0,0.8045210117506473,0.7155945030870344,0.7011804922314523,0.003425091320836455,0.0033081362726738906,0.0,0.0033081362726738906,8.430227048766372e-167,hellaswag
45,Meta-Llama-3-8B,Qwen1.5-72B,787.0,-491.0,10042.0,0.8045210117506473,0.853415654252141,0.7357047442643712,0.002793618828740398,0.002750679451039915,0.0,0.002750679451039915,1.9204696669522172e-73,hellaswag
46,Meta-Llama-3-8B,Qwen1.5-7B,815.0,317.0,10042.0,0.8045210117506473,0.772953594901414,0.760241757734642,0.002842880387098227,0.0028253735142412585,0.0,0.002825373514241259,3.4575102043586983e-29,hellaswag
47,Meta-Llama-3-8B,dbrx-base,1108.0,-824.0,10042.0,0.8045210117506473,0.8865763792073292,0.6131803073552794,0.0033147414811976177,0.0032120116472144763,0.0,0.0032120116472144767,4.1702005507065835e-151,hellaswag
48,Meta-Llama-3-8B,deepseek-llm-67b-base,679.0,-509.0,10042.0,0.8045210117506473,0.8552081258713403,0.7740911988866616,0.0025948644136218647,0.0025450889012554817,0.0,0.0025450889012554813,6.967505986819666e-95,hellaswag
49,Meta-Llama-3-8B,deepseek-llm-7b-base,727.0,325.0,10042.0,0.8045210117506473,0.7721569408484366,0.7871030169577444,0.0026850166824761526,0.002665522342541996,0.0,0.0026655223425419957,2.1562428419913223e-34,hellaswag
50,Meta-Llama-3-8B,deepseek-moe-16b-base,667.0,191.0,10042.0,0.8045210117506473,0.7855008962358097,0.7976860387717313,0.002571832617037434,0.002564819259980582,0.0,0.002564819259980582,1.2904558316475824e-13,hellaswag
51,Meta-Llama-3-8B,falcon-40b,684.0,-464.0,10042.0,0.8045210117506473,0.8507269468233419,0.7722833689251697,0.0026044008824182476,0.0025632592645929864,0.0,0.0025632592645929864,1.3066692954911725e-76,hellaswag
52,Meta-Llama-3-8B,falcon-7b,668.0,212.0,10042.0,0.8045210117506473,0.7834096793467437,0.7984781784009817,0.0025737598054809967,0.0025651232147649704,0.0,0.0025651232147649713,1.8223759503014227e-16,hellaswag
