,example_id,min_elo,num_solved,models,acc,tau,example_link
0,HumanEval/18,914.1991339753445,43,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'xwincoder-34b' 'code-13b'
 'wizardcoder-15b' 'mistral-7b-codealpaca' 'deepseek-coder-33b-instruct'
 'phi-2' 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'wizardcoder-7b' 'octocoder' 'gemma-1.1-7b-it' 'gpt-3.5-turbo'
 'codebooga-34b' 'deepseek-coder-1.3b-instruct' 'xdan-l1-chat'
 'claude-3-sonnet-20240229' 'code-33b' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.8775510204081632,0.33816828951605654,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/18.html"">HumanEval/18</a>"
1,HumanEval/138,952.287490271884,14,"['claude-3-opus-20240229' 'speechless-coder-ds-6.7b' 'codegemma-7b-it'
 'deepseek-coder-33b' 'mistral-7b-codealpaca' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'meta-llama-3-70b-instruct' 'opencodeinterpreter-ds-33b'
 'deepseek-coder-7b-instruct-v1.5' 'wizardcoder-7b' 'gpt-3.5-turbo'
 'starcoder2-15b-oci']",0.2857142857142857,0.12600755090585664,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/138.html"">HumanEval/138</a>"
2,HumanEval/101,947.8780570967305,16,"['claude-3-haiku-20240307' 'speechless-coding-7b-16k-tora'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'Qwen--Qwen1.5-72B-Chat' 'codegemma-7b' 'xwincoder-34b'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct'
 'code-llama-70b-instruct' 'openchat' 'gpt-3.5-turbo' 'codebooga-34b'
 'code-33b']",0.32653061224489793,0.3104990800040888,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/101.html"">HumanEval/101</a>"
3,HumanEval/117,950.0846666237259,35,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'deepseek-coder-6.7b-instruct'
 'open-hermes-2.5-code-290k-13b' 'speechless-coder-ds-6.7b'
 'codegemma-7b-it' 'xwincoder-34b' 'code-13b' 'mistral-7b-codealpaca'
 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'gpt-3.5-turbo'
 'codebooga-34b' 'deepseek-coder-1.3b-instruct' 'speechless-mistral-7b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.7142857142857143,0.5783083388942473,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/117.html"">HumanEval/117</a>"
4,HumanEval/14,909.6063904485721,37,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'xwincoder-34b' 'code-13b'
 'wizardcoder-15b' 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'deepseek-coder-7b-instruct-v1.5'
 'wizardcoder-7b' 'gemma-1.1-7b-it' 'gpt-3.5-turbo' 'codebooga-34b'
 'deepseek-coder-1.3b-instruct' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",0.7551020408163265,0.31491109314025395,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/14.html"">HumanEval/14</a>"
5,HumanEval/29,909.6063904485721,49,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'deepseek-coder-33b'
 'mistralai--Mistral-7B-Instruct-v0.2' 'xwincoder-34b' 'code-13b'
 'wizardcoder-15b' 'mistral-7b-codealpaca' 'deepseek-coder-33b-instruct'
 'phi-2' 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'octocoder' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'speechless-mistral-7b' 'xdan-l1-chat' 'solar-10.7b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",1.0,,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/29.html"">HumanEval/29</a>"
6,HumanEval/38,916.485027514665,40,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'code-llama-multi-34b'
 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'open-hermes-2.5-code-290k-13b' 'speechless-coder-ds-6.7b'
 'codegemma-7b-it' 'deepseek-coder-33b' 'xwincoder-34b' 'code-13b'
 'wizardcoder-15b' 'mistral-7b-codealpaca' 'deepseek-coder-33b-instruct'
 'phi-2' 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct'
 'code-llama-70b-instruct' 'opencodeinterpreter-ds-33b'
 'deepseek-coder-7b-instruct-v1.5' 'speechless-starcoder2-7b'
 'wizardcoder-7b' 'octocoder' 'gpt-3.5-turbo' 'codebooga-34b'
 'deepseek-coder-1.3b-instruct' 'speechless-mistral-7b'
 'solar-10.7b-instruct' 'claude-3-sonnet-20240229' 'code-33b'
 'starcoder2-15b-oci' 'speechless-starcoder2-15b'
 'opencodeinterpreter-ds-6.7b']",0.8163265306122449,0.29866000223475836,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/38.html"">HumanEval/38</a>"
7,HumanEval/68,916.485027514665,33,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x22b-instruct-v0.1' 'Qwen--Qwen1.5-72B-Chat'
 'mistral-large-latest' 'HuggingFaceH4--starchat2-15b-v0.1'
 'code-llama-multi-13b' 'deepseek-coder-6.7b-instruct'
 'speechless-coder-ds-6.7b' 'codegemma-7b-it' 'deepseek-coder-33b'
 'mistralai--Mistral-7B-Instruct-v0.2' 'xwincoder-34b' 'code-13b'
 'mistral-7b-codealpaca' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'opencodeinterpreter-ds-33b' 'openchat'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'octocoder' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'speechless-mistral-7b'
 'solar-10.7b-instruct' 'speechless-starcoder2-15b'
 'opencodeinterpreter-ds-6.7b']",0.673469387755102,0.16483284494044223,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/68.html"">HumanEval/68</a>"
8,HumanEval/149,909.6063904485721,41,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'speechless-coder-ds-6.7b' 'mistralai--Mistral-7B-Instruct-v0.2'
 'xwincoder-34b' 'code-13b' 'wizardcoder-15b'
 'deepseek-coder-33b-instruct' 'phi-2' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'speechless-mistral-7b' 'xdan-l1-chat' 'solar-10.7b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'speechless-starcoder2-15b'
 'python-code-13b' 'opencodeinterpreter-ds-6.7b']",0.8367346938775511,0.30802621866932167,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/149.html"">HumanEval/149</a>"
9,HumanEval/150,909.6063904485721,42,"['claude-3-haiku-20240307' 'code-millenials-34b'
 'speechless-coding-7b-16k-tora' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'deepseek-coder-6.7b-instruct'
 'open-hermes-2.5-code-290k-13b' 'speechless-coder-ds-6.7b'
 'mistralai--Mistral-7B-Instruct-v0.2' 'xwincoder-34b' 'code-13b'
 'wizardcoder-15b' 'deepseek-coder-33b-instruct'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'code-llama-70b-instruct'
 'opencodeinterpreter-ds-33b' 'openchat' 'deepseek-coder-7b-instruct-v1.5'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'gemma-1.1-7b-it'
 'gpt-3.5-turbo' 'codebooga-34b' 'deepseek-coder-1.3b-instruct'
 'speechless-mistral-7b' 'xdan-l1-chat' 'solar-10.7b-instruct'
 'claude-3-sonnet-20240229' 'code-33b' 'starcoder2-15b-oci'
 'speechless-starcoder2-15b' 'python-code-13b'
 'opencodeinterpreter-ds-6.7b']",0.8571428571428571,0.3304872042381397,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/HumanEval/150.html"">HumanEval/150</a>"
