,benchmark_id,model,example_id,pass1,N,date,hyperparams
0,humaneval+,claude-3-haiku-20240307,HumanEval/0,1.0,,,
1,humaneval+,claude-3-haiku-20240307,HumanEval/1,1.0,,,
2,humaneval+,claude-3-haiku-20240307,HumanEval/2,1.0,,,
3,humaneval+,claude-3-haiku-20240307,HumanEval/3,1.0,,,
4,humaneval+,claude-3-haiku-20240307,HumanEval/4,1.0,,,
5,humaneval+,claude-3-haiku-20240307,HumanEval/5,1.0,,,
6,humaneval+,claude-3-haiku-20240307,HumanEval/6,1.0,,,
7,humaneval+,claude-3-haiku-20240307,HumanEval/7,1.0,,,
8,humaneval+,claude-3-haiku-20240307,HumanEval/8,1.0,,,
9,humaneval+,claude-3-haiku-20240307,HumanEval/9,1.0,,,
10,humaneval+,claude-3-haiku-20240307,HumanEval/10,0.0,,,
11,humaneval+,claude-3-haiku-20240307,HumanEval/11,1.0,,,
12,humaneval+,claude-3-haiku-20240307,HumanEval/12,1.0,,,
13,humaneval+,claude-3-haiku-20240307,HumanEval/13,1.0,,,
14,humaneval+,claude-3-haiku-20240307,HumanEval/14,1.0,,,
15,humaneval+,claude-3-haiku-20240307,HumanEval/15,1.0,,,
16,humaneval+,claude-3-haiku-20240307,HumanEval/16,1.0,,,
17,humaneval+,claude-3-haiku-20240307,HumanEval/17,1.0,,,
18,humaneval+,claude-3-haiku-20240307,HumanEval/18,1.0,,,
19,humaneval+,claude-3-haiku-20240307,HumanEval/19,1.0,,,
20,humaneval+,claude-3-haiku-20240307,HumanEval/20,1.0,,,
21,humaneval+,claude-3-haiku-20240307,HumanEval/21,1.0,,,
22,humaneval+,claude-3-haiku-20240307,HumanEval/22,0.0,,,
23,humaneval+,claude-3-haiku-20240307,HumanEval/23,1.0,,,
24,humaneval+,claude-3-haiku-20240307,HumanEval/24,1.0,,,
25,humaneval+,claude-3-haiku-20240307,HumanEval/25,1.0,,,
26,humaneval+,claude-3-haiku-20240307,HumanEval/26,0.0,,,
27,humaneval+,claude-3-haiku-20240307,HumanEval/27,1.0,,,
28,humaneval+,claude-3-haiku-20240307,HumanEval/28,1.0,,,
29,humaneval+,claude-3-haiku-20240307,HumanEval/29,1.0,,,
30,humaneval+,claude-3-haiku-20240307,HumanEval/30,1.0,,,
31,humaneval+,claude-3-haiku-20240307,HumanEval/31,1.0,,,
32,humaneval+,claude-3-haiku-20240307,HumanEval/32,0.0,,,
33,humaneval+,claude-3-haiku-20240307,HumanEval/33,1.0,,,
34,humaneval+,claude-3-haiku-20240307,HumanEval/34,1.0,,,
35,humaneval+,claude-3-haiku-20240307,HumanEval/35,1.0,,,
36,humaneval+,claude-3-haiku-20240307,HumanEval/36,0.0,,,
37,humaneval+,claude-3-haiku-20240307,HumanEval/37,1.0,,,
38,humaneval+,claude-3-haiku-20240307,HumanEval/38,1.0,,,
39,humaneval+,claude-3-haiku-20240307,HumanEval/39,0.0,,,
40,humaneval+,claude-3-haiku-20240307,HumanEval/40,1.0,,,
41,humaneval+,claude-3-haiku-20240307,HumanEval/41,1.0,,,
42,humaneval+,claude-3-haiku-20240307,HumanEval/42,1.0,,,
43,humaneval+,claude-3-haiku-20240307,HumanEval/43,1.0,,,
44,humaneval+,claude-3-haiku-20240307,HumanEval/44,1.0,,,
45,humaneval+,claude-3-haiku-20240307,HumanEval/45,1.0,,,
46,humaneval+,claude-3-haiku-20240307,HumanEval/46,1.0,,,
47,humaneval+,claude-3-haiku-20240307,HumanEval/47,1.0,,,
48,humaneval+,claude-3-haiku-20240307,HumanEval/48,0.0,,,
49,humaneval+,claude-3-haiku-20240307,HumanEval/49,0.0,,,
50,humaneval+,claude-3-haiku-20240307,HumanEval/50,1.0,,,
51,humaneval+,claude-3-haiku-20240307,HumanEval/51,1.0,,,
52,humaneval+,claude-3-haiku-20240307,HumanEval/52,1.0,,,
53,humaneval+,claude-3-haiku-20240307,HumanEval/53,1.0,,,
54,humaneval+,claude-3-haiku-20240307,HumanEval/54,0.0,,,
55,humaneval+,claude-3-haiku-20240307,HumanEval/55,0.0,,,
56,humaneval+,claude-3-haiku-20240307,HumanEval/56,1.0,,,
57,humaneval+,claude-3-haiku-20240307,HumanEval/57,1.0,,,
58,humaneval+,claude-3-haiku-20240307,HumanEval/58,1.0,,,
59,humaneval+,claude-3-haiku-20240307,HumanEval/59,1.0,,,
60,humaneval+,claude-3-haiku-20240307,HumanEval/60,1.0,,,
61,humaneval+,claude-3-haiku-20240307,HumanEval/61,1.0,,,
62,humaneval+,claude-3-haiku-20240307,HumanEval/62,1.0,,,
63,humaneval+,claude-3-haiku-20240307,HumanEval/63,0.0,,,
64,humaneval+,claude-3-haiku-20240307,HumanEval/64,0.0,,,
65,humaneval+,claude-3-haiku-20240307,HumanEval/65,1.0,,,
66,humaneval+,claude-3-haiku-20240307,HumanEval/66,1.0,,,
67,humaneval+,claude-3-haiku-20240307,HumanEval/67,0.0,,,
68,humaneval+,claude-3-haiku-20240307,HumanEval/68,1.0,,,
69,humaneval+,claude-3-haiku-20240307,HumanEval/69,1.0,,,
70,humaneval+,claude-3-haiku-20240307,HumanEval/70,1.0,,,
71,humaneval+,claude-3-haiku-20240307,HumanEval/71,1.0,,,
72,humaneval+,claude-3-haiku-20240307,HumanEval/72,1.0,,,
73,humaneval+,claude-3-haiku-20240307,HumanEval/73,0.0,,,
74,humaneval+,claude-3-haiku-20240307,HumanEval/74,1.0,,,
75,humaneval+,claude-3-haiku-20240307,HumanEval/75,1.0,,,
76,humaneval+,claude-3-haiku-20240307,HumanEval/76,0.0,,,
77,humaneval+,claude-3-haiku-20240307,HumanEval/77,0.0,,,
78,humaneval+,claude-3-haiku-20240307,HumanEval/78,0.0,,,
79,humaneval+,claude-3-haiku-20240307,HumanEval/79,0.0,,,
80,humaneval+,claude-3-haiku-20240307,HumanEval/80,1.0,,,
81,humaneval+,claude-3-haiku-20240307,HumanEval/81,0.0,,,
82,humaneval+,claude-3-haiku-20240307,HumanEval/82,1.0,,,
83,humaneval+,claude-3-haiku-20240307,HumanEval/83,0.0,,,
84,humaneval+,claude-3-haiku-20240307,HumanEval/84,1.0,,,
85,humaneval+,claude-3-haiku-20240307,HumanEval/85,1.0,,,
86,humaneval+,claude-3-haiku-20240307,HumanEval/86,0.0,,,
87,humaneval+,claude-3-haiku-20240307,HumanEval/87,1.0,,,
88,humaneval+,claude-3-haiku-20240307,HumanEval/88,1.0,,,
89,humaneval+,claude-3-haiku-20240307,HumanEval/89,1.0,,,
90,humaneval+,claude-3-haiku-20240307,HumanEval/90,1.0,,,
91,humaneval+,claude-3-haiku-20240307,HumanEval/91,0.0,,,
92,humaneval+,claude-3-haiku-20240307,HumanEval/92,1.0,,,
93,humaneval+,claude-3-haiku-20240307,HumanEval/93,0.0,,,
94,humaneval+,claude-3-haiku-20240307,HumanEval/94,1.0,,,
95,humaneval+,claude-3-haiku-20240307,HumanEval/95,1.0,,,
96,humaneval+,claude-3-haiku-20240307,HumanEval/96,1.0,,,
97,humaneval+,claude-3-haiku-20240307,HumanEval/97,1.0,,,
98,humaneval+,claude-3-haiku-20240307,HumanEval/98,0.0,,,
99,humaneval+,claude-3-haiku-20240307,HumanEval/99,0.0,,,
100,humaneval+,claude-3-haiku-20240307,HumanEval/100,1.0,,,
101,humaneval+,claude-3-haiku-20240307,HumanEval/101,1.0,,,
102,humaneval+,claude-3-haiku-20240307,HumanEval/102,1.0,,,
103,humaneval+,claude-3-haiku-20240307,HumanEval/103,1.0,,,
104,humaneval+,claude-3-haiku-20240307,HumanEval/104,1.0,,,
105,humaneval+,claude-3-haiku-20240307,HumanEval/105,1.0,,,
106,humaneval+,claude-3-haiku-20240307,HumanEval/106,1.0,,,
107,humaneval+,claude-3-haiku-20240307,HumanEval/107,1.0,,,
108,humaneval+,claude-3-haiku-20240307,HumanEval/108,0.0,,,
109,humaneval+,claude-3-haiku-20240307,HumanEval/109,1.0,,,
110,humaneval+,claude-3-haiku-20240307,HumanEval/110,0.0,,,
111,humaneval+,claude-3-haiku-20240307,HumanEval/111,1.0,,,
112,humaneval+,claude-3-haiku-20240307,HumanEval/112,1.0,,,
113,humaneval+,claude-3-haiku-20240307,HumanEval/113,1.0,,,
114,humaneval+,claude-3-haiku-20240307,HumanEval/114,1.0,,,
115,humaneval+,claude-3-haiku-20240307,HumanEval/115,0.0,,,
116,humaneval+,claude-3-haiku-20240307,HumanEval/116,1.0,,,
117,humaneval+,claude-3-haiku-20240307,HumanEval/117,1.0,,,
118,humaneval+,claude-3-haiku-20240307,HumanEval/118,0.0,,,
119,humaneval+,claude-3-haiku-20240307,HumanEval/119,0.0,,,
120,humaneval+,claude-3-haiku-20240307,HumanEval/120,0.0,,,
121,humaneval+,claude-3-haiku-20240307,HumanEval/121,0.0,,,
122,humaneval+,claude-3-haiku-20240307,HumanEval/122,0.0,,,
123,humaneval+,claude-3-haiku-20240307,HumanEval/123,0.0,,,
124,humaneval+,claude-3-haiku-20240307,HumanEval/124,0.0,,,
125,humaneval+,claude-3-haiku-20240307,HumanEval/125,0.0,,,
126,humaneval+,claude-3-haiku-20240307,HumanEval/126,0.0,,,
127,humaneval+,claude-3-haiku-20240307,HumanEval/127,0.0,,,
128,humaneval+,claude-3-haiku-20240307,HumanEval/128,0.0,,,
129,humaneval+,claude-3-haiku-20240307,HumanEval/129,0.0,,,
130,humaneval+,claude-3-haiku-20240307,HumanEval/130,0.0,,,
131,humaneval+,claude-3-haiku-20240307,HumanEval/131,1.0,,,
132,humaneval+,claude-3-haiku-20240307,HumanEval/132,0.0,,,
133,humaneval+,claude-3-haiku-20240307,HumanEval/133,1.0,,,
134,humaneval+,claude-3-haiku-20240307,HumanEval/134,0.0,,,
135,humaneval+,claude-3-haiku-20240307,HumanEval/135,1.0,,,
136,humaneval+,claude-3-haiku-20240307,HumanEval/136,1.0,,,
137,humaneval+,claude-3-haiku-20240307,HumanEval/137,0.0,,,
138,humaneval+,claude-3-haiku-20240307,HumanEval/138,0.0,,,
139,humaneval+,claude-3-haiku-20240307,HumanEval/139,1.0,,,
140,humaneval+,claude-3-haiku-20240307,HumanEval/140,0.0,,,
141,humaneval+,claude-3-haiku-20240307,HumanEval/141,1.0,,,
142,humaneval+,claude-3-haiku-20240307,HumanEval/142,1.0,,,
143,humaneval+,claude-3-haiku-20240307,HumanEval/143,1.0,,,
144,humaneval+,claude-3-haiku-20240307,HumanEval/144,1.0,,,
145,humaneval+,claude-3-haiku-20240307,HumanEval/145,0.0,,,
146,humaneval+,claude-3-haiku-20240307,HumanEval/146,0.0,,,
147,humaneval+,claude-3-haiku-20240307,HumanEval/147,1.0,,,
148,humaneval+,claude-3-haiku-20240307,HumanEval/148,1.0,,,
149,humaneval+,claude-3-haiku-20240307,HumanEval/149,1.0,,,
150,humaneval+,claude-3-haiku-20240307,HumanEval/150,1.0,,,
151,humaneval+,claude-3-haiku-20240307,HumanEval/151,1.0,,,
152,humaneval+,claude-3-haiku-20240307,HumanEval/152,1.0,,,
