,benchmark_id,model,example_id,pass1,N,date,hyperparams
8036,humaneval,claude-3-haiku-20240307,HumanEval/0,1.0,,,
8037,humaneval,claude-3-haiku-20240307,HumanEval/1,1.0,,,
8038,humaneval,claude-3-haiku-20240307,HumanEval/2,1.0,,,
8039,humaneval,claude-3-haiku-20240307,HumanEval/3,1.0,,,
8040,humaneval,claude-3-haiku-20240307,HumanEval/4,1.0,,,
8041,humaneval,claude-3-haiku-20240307,HumanEval/5,1.0,,,
8042,humaneval,claude-3-haiku-20240307,HumanEval/6,1.0,,,
8043,humaneval,claude-3-haiku-20240307,HumanEval/7,1.0,,,
8044,humaneval,claude-3-haiku-20240307,HumanEval/8,1.0,,,
8045,humaneval,claude-3-haiku-20240307,HumanEval/9,1.0,,,
8046,humaneval,claude-3-haiku-20240307,HumanEval/10,0.0,,,
8047,humaneval,claude-3-haiku-20240307,HumanEval/11,1.0,,,
8048,humaneval,claude-3-haiku-20240307,HumanEval/12,1.0,,,
8049,humaneval,claude-3-haiku-20240307,HumanEval/13,1.0,,,
8050,humaneval,claude-3-haiku-20240307,HumanEval/14,1.0,,,
8051,humaneval,claude-3-haiku-20240307,HumanEval/15,1.0,,,
8052,humaneval,claude-3-haiku-20240307,HumanEval/16,1.0,,,
8053,humaneval,claude-3-haiku-20240307,HumanEval/17,1.0,,,
8054,humaneval,claude-3-haiku-20240307,HumanEval/18,1.0,,,
8055,humaneval,claude-3-haiku-20240307,HumanEval/19,1.0,,,
8056,humaneval,claude-3-haiku-20240307,HumanEval/20,1.0,,,
8057,humaneval,claude-3-haiku-20240307,HumanEval/21,1.0,,,
8058,humaneval,claude-3-haiku-20240307,HumanEval/22,1.0,,,
8059,humaneval,claude-3-haiku-20240307,HumanEval/23,1.0,,,
8060,humaneval,claude-3-haiku-20240307,HumanEval/24,1.0,,,
8061,humaneval,claude-3-haiku-20240307,HumanEval/25,1.0,,,
8062,humaneval,claude-3-haiku-20240307,HumanEval/26,0.0,,,
8063,humaneval,claude-3-haiku-20240307,HumanEval/27,1.0,,,
8064,humaneval,claude-3-haiku-20240307,HumanEval/28,1.0,,,
8065,humaneval,claude-3-haiku-20240307,HumanEval/29,1.0,,,
8066,humaneval,claude-3-haiku-20240307,HumanEval/30,1.0,,,
8067,humaneval,claude-3-haiku-20240307,HumanEval/31,1.0,,,
8068,humaneval,claude-3-haiku-20240307,HumanEval/32,0.0,,,
8069,humaneval,claude-3-haiku-20240307,HumanEval/33,1.0,,,
8070,humaneval,claude-3-haiku-20240307,HumanEval/34,1.0,,,
8071,humaneval,claude-3-haiku-20240307,HumanEval/35,1.0,,,
8072,humaneval,claude-3-haiku-20240307,HumanEval/36,0.0,,,
8073,humaneval,claude-3-haiku-20240307,HumanEval/37,1.0,,,
8074,humaneval,claude-3-haiku-20240307,HumanEval/38,1.0,,,
8075,humaneval,claude-3-haiku-20240307,HumanEval/39,0.0,,,
8076,humaneval,claude-3-haiku-20240307,HumanEval/40,1.0,,,
8077,humaneval,claude-3-haiku-20240307,HumanEval/41,1.0,,,
8078,humaneval,claude-3-haiku-20240307,HumanEval/42,1.0,,,
8079,humaneval,claude-3-haiku-20240307,HumanEval/43,1.0,,,
8080,humaneval,claude-3-haiku-20240307,HumanEval/44,1.0,,,
8081,humaneval,claude-3-haiku-20240307,HumanEval/45,1.0,,,
8082,humaneval,claude-3-haiku-20240307,HumanEval/46,1.0,,,
8083,humaneval,claude-3-haiku-20240307,HumanEval/47,1.0,,,
8084,humaneval,claude-3-haiku-20240307,HumanEval/48,1.0,,,
8085,humaneval,claude-3-haiku-20240307,HumanEval/49,1.0,,,
8086,humaneval,claude-3-haiku-20240307,HumanEval/50,1.0,,,
8087,humaneval,claude-3-haiku-20240307,HumanEval/51,1.0,,,
8088,humaneval,claude-3-haiku-20240307,HumanEval/52,1.0,,,
8089,humaneval,claude-3-haiku-20240307,HumanEval/53,1.0,,,
8090,humaneval,claude-3-haiku-20240307,HumanEval/54,0.0,,,
8091,humaneval,claude-3-haiku-20240307,HumanEval/55,1.0,,,
8092,humaneval,claude-3-haiku-20240307,HumanEval/56,1.0,,,
8093,humaneval,claude-3-haiku-20240307,HumanEval/57,1.0,,,
8094,humaneval,claude-3-haiku-20240307,HumanEval/58,1.0,,,
8095,humaneval,claude-3-haiku-20240307,HumanEval/59,1.0,,,
8096,humaneval,claude-3-haiku-20240307,HumanEval/60,1.0,,,
8097,humaneval,claude-3-haiku-20240307,HumanEval/61,1.0,,,
8098,humaneval,claude-3-haiku-20240307,HumanEval/62,1.0,,,
8099,humaneval,claude-3-haiku-20240307,HumanEval/63,1.0,,,
8100,humaneval,claude-3-haiku-20240307,HumanEval/64,1.0,,,
8101,humaneval,claude-3-haiku-20240307,HumanEval/65,1.0,,,
8102,humaneval,claude-3-haiku-20240307,HumanEval/66,1.0,,,
8103,humaneval,claude-3-haiku-20240307,HumanEval/67,0.0,,,
8104,humaneval,claude-3-haiku-20240307,HumanEval/68,1.0,,,
8105,humaneval,claude-3-haiku-20240307,HumanEval/69,1.0,,,
8106,humaneval,claude-3-haiku-20240307,HumanEval/70,1.0,,,
8107,humaneval,claude-3-haiku-20240307,HumanEval/71,1.0,,,
8108,humaneval,claude-3-haiku-20240307,HumanEval/72,1.0,,,
8109,humaneval,claude-3-haiku-20240307,HumanEval/73,0.0,,,
