,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
31,GPT-4O-2024-05-13,0.51275,0.023582961937593846,0.008272696053887148,0.02499187055324191,,0.3286842105263158,1113.2267637448533
30,GPT-4-Turbo-2024-04-09,0.4352500000000001,0.022750408650175937,0.009845684333757609,0.024789485548312614,,0.25763157894736843,1081.0404278040764
29,GPT-4-Turbo-1106,0.38299999999999995,0.02249505501215767,0.009205976319760984,0.0243059149179783,,0.2030263157894737,1060.9324001243922
34,Gemini-Pro-1.5 (May),0.3825,0.023010527482002663,0.0078102496759066544,0.02429988425898362,,0.2243859649122807,1068.1925348941113
2,Claude-3-Opus,0.35375,0.023056232210619323,0.006319612329882269,0.023906638068745677,,0.18048245614035088,1051.9279771851905
28,GPT-4-0613,0.34825,0.022360508575387995,0.008212033852828421,0.023820785959955227,,0.18017543859649124,1051.9279771851905
56,WCoder-33B-V1.1,0.30450000000000005,0.021144133347101274,0.009076067430335674,0.023009766947972334,,0.14526315789473684,1034.9944288375727
21,DSCoder-33b-Ins,0.30274999999999996,0.021143405443541968,0.008982622111610841,0.022972398519745387,,0.15052631578947367,1037.6553793386215
33,Gemini-Pro-1.5 (April) (n=1),0.295,0.02280213805764714,0.0,0.022802138057647137,,0.15035087719298246,1035.880949848591
38,LLama3-70b-Ins,0.293,0.021914664040317847,0.006133922073192649,0.022756922023859025,,0.14539473684210527,1034.9944288375727
25,Eurux-8x22b-NCA (n=1),0.2725,0.02226228593383887,0.0,0.02226228593383887,,0.12697368421052632,1027.9174065347663
47,OC-DS-33B,0.26649999999999996,0.02068379498544694,0.007802243267163617,0.02210643288728419,,0.1124561403508772,1020.8632137376449
3,Claude-3-Sonnet,0.25925,0.02056176290472196,0.0075705019648633605,0.021911152268878967,,0.11539473684210526,1021.7439358027245
43,Mistral-Large,0.25675000000000003,0.02104485908125783,0.00584700778176325,0.021842014416028573,,0.11530701754385965,1020.8632137376449
44,Mixtral-8x22B-Ins,0.25549999999999995,0.02041872608660981,0.007656696415556777,0.021807094602445322,,0.11285087719298245,1019.9827587587761
14,CodeQwen15-7B-Chat,0.24975000000000003,0.019248372496135875,0.009896337706444743,0.021643413403389034,,0.1400438596491228,1013.8261181248449
1,Claude-3-Haiku,0.24550000000000005,0.020535320182553767,0.006432340165134305,0.021519162971639954,,0.10355263157894737,1016.4633871388312
20,DSCoder-33b-Base,0.23675000000000004,0.01965161809495595,0.008097067370350824,0.021254378225438637,,0.11153508771929825,1013.8261181248449
0,Claude-2,0.23625,0.020579779973313613,0.00525,0.021238875764738586,,0.10096491228070176,1014.7050147723343
24,Eurus-70B-SFT (n=1),0.23,0.021041625412500816,0.0,0.021041625412500813,,0.09557017543859649,1012.9473997302549
42,MagiCoderS-DS-6.7B,0.22625,0.019143271500712725,0.008437268515343103,0.02092014205855209,,0.08649122807017544,1007.6782131213577
26,GPT-3.5-Turbo-0125,0.225,0.01982265118494497,0.006557438524302001,0.020879116360612585,,0.09482456140350877,1010.3122033903259
48,OC-DS-6.7B,0.21850000000000003,0.01908911666369086,0.007905694150420948,0.02066142238569262,,0.08447368421052631,1005.0451306722829
13,CodeQwen15-7B,0.21825000000000003,0.018717768129507324,0.008728545125048046,0.020652901581860117,,0.08793859649122807,1004.1675867488708
37,LLama3-70b-Base,0.21775,0.01929442519874588,0.0073186405841522235,0.020635826703817806,,0.08552631578947369,1006.8004328230262
4,Claude-Instant-1,0.217,0.020091104996988095,0.004596194077712559,0.020610131003950462,,0.08912280701754385,1007.6782131213577
23,DSCoder-6.7b-Ins,0.2165,0.018796791614528262,0.008411301920630361,0.02059294478698955,,0.08092105263157895,1003.2900995494656
27,GPT-3.5-Turbo-0301,0.21174999999999997,0.018724111293997373,0.008166241485530537,0.02042742871117165,,0.08592105263157895,1004.1675867488708
49,Phind-34B-V2,0.20425000000000001,0.01905301403321795,0.006581223290544092,0.020157624953103973,,0.07548245614035087,1002.412658043021
16,Command-R+,0.204,0.01969352685528928,0.004257346591481601,0.020148449071826842,,0.0799561403508772,1002.412658043021
22,DSCoder-6.7b-Base,0.19149999999999998,0.018123034376174428,0.007656696415556777,0.019674078758610273,,0.07280701754385965,995.3934473887734
32,Gemini-Pro,0.18799999999999997,0.01779438113562818,0.00806225774829855,0.019535608513685975,,0.06785087719298245,997.1483509045345
51,Smaug-2-72B,0.18400000000000002,0.01799263738310757,0.007185053931599956,0.019374209661299737,,0.06096491228070176,991.8829090275166
17,DBRX-Ins,0.175,0.017437387992471808,0.007541551564499178,0.01899835519196333,,0.06267543859649123,991.8829090275166
40,LLama3-8b-Ins,0.17325000000000002,0.017889203273203647,0.006169481339626533,0.01892316288969685,,0.06048245614035088,991.8829090275166
57,WCoder-34B-V1,0.16174999999999998,0.016466780005514135,0.008234834546000302,0.018411065796145536,,0.04802631578947368,982.2187339484552
50,Qwen-1.5-72B-Chat,0.15925,0.01760074128410505,0.004993746088859545,0.018295452816205454,,0.055350877192982456,986.6139476397205
53,StarCoder2-15b,0.15425,0.016057080797891005,0.00826513762740827,0.018059411500655275,,0.04614035087719298,983.9774005549915
9,CodeGemma-7b-Base,0.14,0.014534441853748635,0.009473647660748208,0.017349351572897475,,0.03640350877192983,977.8180290664011
15,Command-R,0.13974999999999999,0.01637795297801285,0.005684408500451037,0.017336373431314864,,0.04706140350877193,980.4591888158781
11,CodeLlama-34b-Base,0.12325000000000001,0.014381797305969791,0.007956915231419774,0.016436197667039663,,0.03140350877192982,970.7619990348817
45,Mixtral-8x7B-Ins,0.12274999999999998,0.015112696442064864,0.006388466169590318,0.016407501142770033,,0.038289473684210526,971.6451627323121
5,Cllama-13b-Ins,0.12,0.014887074930959405,0.006509608283145768,0.01624807680927192,,0.03464912280701754,973.4104396719391
39,LLama3-8b-Base,0.11875,0.014609366644382638,0.0069417216884574105,0.016174705368259417,,0.029298245614035087,971.6451627323121
6,Cllama-34b-Ins,0.11574999999999999,0.014922879874541642,0.005760859310901457,0.01599624467648579,,0.039517543859649125,970.7619990348817
41,MagiCoderS-CL-7B,0.11425,0.014099817153069752,0.007361215932167728,0.01590573304660933,,0.028333333333333332,970.7619990348817
55,StarCoder2-7b,0.11325000000000002,0.01420822275128033,0.0070133800695527685,0.015844907502096692,,0.026491228070175437,967.2255791946241
19,DSCoder-1.3b-Ins,0.1085,0.013966723846342777,0.0068373971655886715,0.015550542595035069,,0.03368421052631579,968.9945647597725
7,Cllama-7b-Ins,0.10575,0.014369406520451706,0.005471517157059822,0.015375868877887845,,0.028903508771929824,967.2255791946241
36,Gemma-7b-Base,0.09949999999999999,0.012683626255925394,0.007945124291035352,0.014966608667296677,,0.02293859649122807,964.5689934108872
10,CodeLlama-13b-Base,0.08625,0.012751072258833766,0.005868347297152752,0.014036642894581312,,0.018289473684210526,959.2435031982842
54,StarCoder2-3b,0.0855,0.012353111956102397,0.006547900426854398,0.013981215075951018,,0.016096491228070175,959.2435031982842
18,DSCoder-1.3b-Base,0.0795,0.01176113833776306,0.006680194607943694,0.013525877975199984,,0.02131578947368421,959.2435031982842
8,CodeGemma-2b-Base,0.06974999999999999,0.011035163965705266,0.006359048670988451,0.012736260979973674,,0.01337719298245614,953.8995093799356
12,CodeLlama-7b-Base,0.06525,0.010620432841932573,0.006299801584177076,0.01234832351981434,,0.011052631578947368,951.2197843675988
52,StableCode-3B,0.05675000000000001,0.00997552473557156,0.005857687256929991,0.011568214803935826,,0.012587719298245615,950.3253188534412
46,OC-DS-1.3B,0.05050000000000001,0.009374133293270371,0.005656854249492381,0.010948715678105812,,0.006929824561403509,945.8432723111073
35,Gemma-2b-Base,0.02475,0.00595030198813472,0.004993746088859545,0.0077681139120123616,,0.0021929824561403508,936.8256847662057
