,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Claude-2,Claude-3-Haiku,50.540000000000006,-3.700000000000003,400.0,0.23625,0.2455,0.7080993908546432,0.01777287258717622,0.015707437529718205,0.008302860952707807,0.017766853794355376,0.6718110337653656,lcb_codegen
1,Claude-2,Claude-3-Opus,69.62,-47.0,400.0,0.23625,0.35375,0.6554457912826163,0.02085965004500315,0.018251284201392517,0.00821583836257749,0.020015228577260867,7.555829742748269e-09,lcb_codegen
2,Claude-2,Claude-3-Sonnet,56.74,-9.199999999999996,400.0,0.23625,0.25925,0.682827583197756,0.018831489585266484,0.016383757200349375,0.00921276288634414,0.018796342729371585,0.2288055412343561,lcb_codegen
3,Claude-2,Claude-Instant-1,51.480000000000004,7.699999999999999,400.0,0.23625,0.217,0.6712011168929832,0.017937391114652094,0.016496547934340685,0.006977642868476431,0.017911549172251965,0.4010619910279374,lcb_codegen
4,Claude-2,Cllama-13b-Ins,58.36,46.5,400.0,0.23625,0.12,0.6268916367922539,0.01909842925478428,0.016156340667057005,0.008362864341838864,0.018192439191873088,3.1581898207733166e-10,lcb_codegen
5,Claude-2,Cllama-34b-Ins,69.46,48.2,400.0,0.23625,0.11574999999999999,0.5033143350407162,0.020835666536014635,0.018359585371135155,0.007794228634059948,0.019945535214678997,7.555829742748269e-09,lcb_codegen
6,Claude-2,Cllama-7b-Ins,64.62,52.199999999999996,400.0,0.23625,0.10575,0.5515498916406907,0.020096641510461394,0.017429841508172127,0.007582875444051551,0.01900787665679678,9.029018960445001e-12,lcb_codegen
7,Claude-2,CodeGemma-2b-Base,74.98,66.60000000000001,400.0,0.23625,0.06975,0.47111765326577637,0.021647748150789264,0.018202180501247646,0.00824621125123532,0.019982977130547894,1.2898469490022716e-16,lcb_codegen
8,Claude-2,CodeGemma-7b-Base,61.26,38.49999999999999,400.0,0.23625,0.14,0.6558918689264598,0.019567191929349494,0.015569275633439085,0.010831089511217236,0.018966149945363185,1.969878418086636e-06,lcb_codegen
9,Claude-2,CodeLlama-13b-Base,67.16000000000001,60.00000000000001,400.0,0.23625,0.08625,0.5423051054115041,0.02048780124854788,0.017363755354185335,0.007874007874011811,0.01906567596493762,1.1067861037383775e-14,lcb_codegen
10,Claude-2,CodeLlama-34b-Base,66.78,45.2,400.0,0.23625,0.12325000000000001,0.567255372377375,0.020429757707814356,0.017163260179814323,0.00953283798246881,0.019632944251945506,3.601449657605633e-08,lcb_codegen
11,Claude-2,CodeLlama-7b-Base,74.24,68.39999999999999,400.0,0.23625,0.06525,0.48651956618344727,0.02154065922853802,0.017990205668640923,0.00820060973342836,0.01977112793949804,7.157428404298838e-18,lcb_codegen
12,Claude-2,CodeQwen15-7B,68.82,7.199999999999996,400.0,0.23625,0.21825,0.5819164082491599,0.02073945515195614,0.018043419853231817,0.01018577439373168,0.02071991795350551,0.39612484029702977,lcb_codegen
13,Claude-2,CodeQwen15-7B-Chat,93.62,-5.399999999999999,400.0,0.23625,0.24975000000000003,0.42266442778753494,0.024189357163843773,0.021428237795021784,0.011202678251204039,0.024179937448223478,0.6785320136533252,lcb_codegen
14,Claude-2,Command-R,58.14,38.599999999999994,400.0,0.23625,0.13974999999999999,0.610502317155779,0.019062397540708254,0.016739754329141154,0.0077378937702710805,0.01844164783852029,4.5166191631196295e-07,lcb_codegen
15,Claude-2,Command-R+,47.120000000000005,12.900000000000002,400.0,0.23625,0.204,0.6972194749012846,0.017161002301730517,0.015691154952711416,0.006759252917297886,0.017085076638692614,0.07894069368148846,lcb_codegen
16,Claude-2,DBRX-Ins,55.24,24.500000000000007,400.0,0.23625,0.175,0.6634334052381221,0.018580904176062046,0.015856657710564354,0.009188987974744553,0.01832678623627176,0.0026672623828598026,lcb_codegen
17,Claude-2,DSCoder-1.3b-Base,77.36,62.7,400.0,0.23625,0.0795,0.43787016497876957,0.021988633427296022,0.018705242413558826,0.008496322733983213,0.020544429749934652,3.5245694262351566e-14,lcb_codegen
18,Claude-2,DSCoder-1.3b-Ins,70.3,51.1,400.0,0.23625,0.1085,0.5120067856117058,0.020961273816254584,0.018007285851843413,0.008620469824783334,0.01996433930161477,8.004823399455647e-10,lcb_codegen
19,Claude-2,DSCoder-33b-Base,81.14,-0.20000000000000284,400.0,0.23625,0.23675000000000004,0.48922928481389755,0.022519436049777092,0.020346974590832907,0.00965012953280939,0.022519422172871135,1.0,lcb_codegen
20,Claude-2,DSCoder-33b-Ins,72.56,-26.599999999999998,400.0,0.23625,0.30274999999999996,0.6163453615098454,0.021295539439046853,0.018280983972423368,0.010404326023342406,0.02103436176830664,0.0012935849626762883,lcb_codegen
21,Claude-2,DSCoder-6.7b-Base,76.53999999999999,17.9,400.0,0.23625,0.19149999999999998,0.48903735227028416,0.021871785478099405,0.019676917790904146,0.00928372231381357,0.021757035500039983,0.050452410247217666,lcb_codegen
22,Claude-2,DSCoder-6.7b-Ins,64.74000000000001,7.899999999999999,400.0,0.23625,0.2165,0.6094469143716592,0.02011529268989144,0.017473904650935918,0.00991526600752597,0.020091038891754703,0.3817327947933377,lcb_codegen
23,Claude-2,Eurus-70B-SFT (n=1),46.9,2.5,400.0,0.23625,0.23,0.6937275657325771,0.017120893668263932,0.016293091902705267,0.00525,0.01711804146945555,0.8829959121223965,lcb_codegen
24,Claude-2,Eurux-8x22b-NCA (n=1),55.900000000000006,-14.500000000000004,400.0,0.23625,0.2725,0.6554682011253073,0.01869157564251874,0.017847334359786058,0.0052499999999999995,0.018603490095947053,0.05806414679240905,lcb_codegen
25,Claude-2,GPT-3.5-Turbo-0125,49.739999999999995,4.5,400.0,0.23625,0.225,0.706550662095523,0.017631647682505455,0.015491807310640033,0.00840014880820572,0.017622672718688275,0.5681724128491652,lcb_codegen
26,Claude-2,GPT-3.5-Turbo-0301,56.04,9.800000000000004,400.0,0.23625,0.21174999999999997,0.6742394862333011,0.0187149672722129,0.01595303654480864,0.0097082439194738,0.018674832663239584,0.34968195298368476,lcb_codegen
27,Claude-2,GPT-4-0613,60.2,-44.8,400.0,0.23625,0.34825,0.7319287706027298,0.019397164741270824,0.01580790941269591,0.009746794344808962,0.018571214284478006,7.671918274276823e-10,lcb_codegen
28,Claude-2,GPT-4-Turbo-1106,77.82000000000001,-58.7,400.0,0.23625,0.38299999999999995,0.6581057257469104,0.02205391121774095,0.017894792363981202,0.010597759197113322,0.020797502103618117,2.4488215083103315e-12,lcb_codegen
29,Claude-2,GPT-4-Turbo-2024-04-09,100.62,-79.6,400.0,0.23625,0.43524999999999997,0.5721249074673587,0.025077380245950732,0.020133864507341854,0.011157956802210699,0.023018959576835786,3.0632901754379845e-17,lcb_codegen
30,Claude-2,GPT-4O-2024-05-13,118.23999999999998,-110.6,400.0,0.23625,0.51275,0.543765793331114,0.027184554438136374,0.021257219361901503,0.009797958971132711,0.02340660964343192,1.6487043659548457e-30,lcb_codegen
31,Claude-2,Gemini-Pro,51.00000000000001,19.300000000000004,400.0,0.23625,0.18799999999999997,0.7097128422155898,0.017853571071357127,0.01484477496461297,0.009620940702446928,0.017689823168986173,0.010973562899720513,lcb_codegen
32,Claude-2,Gemini-Pro-1.5 (April) (n=1),58.099999999999994,-23.5,400.0,0.23625,0.295,0.6569144283988649,0.019055839000159506,0.018081305089788183,0.00525,0.018828066649287174,0.0022325516199429235,lcb_codegen
33,Claude-2,Gemini-Pro-1.5 (May),78.62,-58.5,400.0,0.23625,0.3825,0.6373876514937691,0.02216697994766089,0.018690635188510846,0.009410765112359356,0.02092611630833586,9.70811491825464e-12,lcb_codegen
34,Claude-2,Gemma-2b-Base,86.12000000000002,84.60000000000001,400.0,0.23625,0.02475,0.3471211209478544,0.023200215516240363,0.019336994983709336,0.007245688373094719,0.02064992433400181,2.248897290378544e-24,lcb_codegen
35,Claude-2,Gemma-7b-Base,67.06,54.7,400.0,0.23625,0.0995,0.5798566990255795,0.02047254258757324,0.016783506598741515,0.009522998477370453,0.019296984058396277,1.3280368233066496e-11,lcb_codegen
36,Claude-2,LLama3-70b-Base,49.48,7.399999999999999,400.0,0.23625,0.21775,0.7159009963771406,0.017585505395068975,0.015075456046169881,0.00900694176732591,0.017561160980983006,0.3916029105474905,lcb_codegen
37,Claude-2,LLama3-70b-Ins,53.540000000000006,-22.700000000000006,400.0,0.23625,0.293,0.7121898286691538,0.018292758129926718,0.016167439307138282,0.008073877630977572,0.018071347314187726,0.0021901868838920535,lcb_codegen
38,Claude-2,LLama3-8b-Base,61.459999999999994,47.0,400.0,0.23625,0.11875,0.6038457394177766,0.019599107122519638,0.016548697078622235,0.008703447592764604,0.01869784412706449,4.32210722073334e-10,lcb_codegen
39,Claude-2,LLama3-8b-Ins,52.82000000000001,25.200000000000006,400.0,0.23625,0.17325,0.6640848088862947,0.018169342310606625,0.015955484950323513,0.008100925873009824,0.01789420297191244,0.0004095414537825804,lcb_codegen
40,Claude-2,MagiCoderS-CL-7B,61.54,48.800000000000004,400.0,0.23625,0.11425,0.6145807505983468,0.019611858657455187,0.01629923311079389,0.00904157066001256,0.01863907186530488,5.380614009897755e-11,lcb_codegen
41,Claude-2,MagiCoderS-DS-6.7B,64.08,3.9999999999999964,400.0,0.23625,0.22625,0.6199700941657316,0.020012496096189502,0.01736375535418534,0.009937303457175894,0.020006249023742557,0.7079807541347641,lcb_codegen
42,Claude-2,Mistral-Large,56.480000000000004,-8.200000000000003,400.0,0.23625,0.25675000000000003,0.6652227727468694,0.01878829422805594,0.01703523921170466,0.007858116822750855,0.01876031382999762,0.34968195298368476,lcb_codegen
43,Claude-2,Mixtral-8x22B-Ins,51.22,-7.700000000000003,400.0,0.23625,0.2555,0.7227772388349214,0.017892037335082888,0.015264700906011881,0.00928372231381357,0.017866129792151405,0.2624375357110438,lcb_codegen
44,Claude-2,Mixtral-8x7B-Ins,65.56,45.4,400.0,0.23625,0.12275,0.5510192373170396,0.020242282479997164,0.01758321287478486,0.008268917704270613,0.019430501151540068,1.1753602809018608e-08,lcb_codegen
45,Claude-2,OC-DS-1.3B,78.2,74.3,400.0,0.23625,0.050499999999999996,0.43664205459232586,0.022107690969434143,0.018518365039873256,0.007717674520216566,0.020062211835936733,2.039496518310745e-20,lcb_codegen
46,Claude-2,OC-DS-33B,60.44,-12.099999999999994,400.0,0.23625,0.26649999999999996,0.6628662966604396,0.01943579172557681,0.01694180757032732,0.009404121436902012,0.019376850718060456,0.1550019040032606,lcb_codegen
47,Claude-2,OC-DS-6.7B,62.620000000000005,7.099999999999998,400.0,0.23625,0.21850000000000003,0.6203348571956776,0.019783199943386308,0.01733565238893535,0.009490126448051153,0.01976328271694761,0.52577336017565,lcb_codegen
48,Claude-2,Phind-34B-V2,49.260000000000005,12.8,400.0,0.23625,0.20425000000000001,0.7040232864111539,0.017546367145366587,0.015311433636338564,0.008418729120241369,0.017473265293012637,0.08543313315739454,lcb_codegen
49,Claude-2,Qwen-1.5-72B-Chat,54.38,30.800000000000004,400.0,0.23625,0.15925,0.636024684393416,0.01843569906458662,0.016509164121784,0.007245688373094719,0.01802921240653623,5.209447200793526e-05,lcb_codegen
50,Claude-2,Smaug-2-72B,50.54,20.9,400.0,0.23625,0.184,0.6986519475866171,0.01777287258717622,0.015161211816672175,0.008898735865278843,0.0175798135300122,0.006600447966810918,lcb_codegen
51,Claude-2,StableCode-3B,77.28,71.80000000000001,400.0,0.23625,0.056749999999999995,0.444396742984903,0.02197726097583591,0.01845465727126895,0.007866066361276137,0.02006114091969846,1.0078897978938123e-18,lcb_codegen
52,Claude-2,StarCoder2-15b,63.50000000000001,32.800000000000004,400.0,0.23625,0.15425,0.6009468262152948,0.019921721813136534,0.01685793581670069,0.00979157801378307,0.019495255833150794,3.7606121325417525e-05,lcb_codegen
53,Claude-2,StarCoder2-3b,65.88000000000001,60.300000000000004,400.0,0.23625,0.0855,0.5735645552492875,0.020291623887703024,0.016867086107268205,0.00839270516579726,0.01883974770929802,1.1633489310769463e-16,lcb_codegen
54,Claude-2,StarCoder2-7b,66.62,49.20000000000001,400.0,0.23625,0.11324999999999999,0.5533449309643502,0.020405268927411863,0.017372463843680897,0.008760707733967615,0.019456425673797333,1.1827848105236058e-09,lcb_codegen
55,Claude-2,WCoder-33B-V1.1,74.22,-27.299999999999997,400.0,0.23625,0.30450000000000005,0.6070545316959548,0.021537757543439846,0.01850114439028029,0.010485108487755385,0.02126569640877063,0.0015162236642818601,lcb_codegen
56,Claude-2,WCoder-34B-V1,52.2,29.8,400.0,0.23625,0.16174999999999998,0.7047907716662494,0.018062391868188445,0.01473089864875867,0.009766012492312305,0.017674115960918665,3.5887916129517805e-05,lcb_codegen
57,Claude-3-Haiku,Claude-2,50.540000000000006,3.700000000000003,400.0,0.2455,0.23625,0.7080993908546434,0.01777287258717622,0.015707437529718205,0.008302860952707807,0.017766853794355376,0.6718110337653656,lcb_codegen
58,Claude-3-Haiku,Claude-3-Opus,66.54,-43.3,400.0,0.2455,0.35375,0.6843367368354087,0.02039301350953311,0.017471901549344877,0.009017344398435717,0.019661633801645276,3.601449657605633e-08,lcb_codegen
59,Claude-3-Haiku,Claude-3-Sonnet,56.24,-5.5,400.0,0.2455,0.25925,0.7011915979584167,0.018748333259252674,0.015885208331967195,0.009934158243152764,0.018735723731684344,0.5044037600228255,lcb_codegen
60,Claude-3-Haiku,Claude-Instant-1,39.12,11.399999999999999,400.0,0.2455,0.217,0.7821353001892786,0.01563649577111189,0.013415266490085094,0.007905694150420948,0.01557142816186107,0.10812902140605732,lcb_codegen
61,Claude-3-Haiku,Cllama-13b-Ins,58.519999999999996,50.2,400.0,0.2455,0.12,0.6553578317899211,0.019124591498905278,0.015576404431061746,0.009151502608861562,0.018065834467303192,3.169950413273171e-12,lcb_codegen
62,Claude-3-Haiku,Cllama-34b-Ins,72.68,51.900000000000006,400.0,0.2455,0.11574999999999999,0.5005641427842349,0.021313141485947117,0.018373890272612384,0.008634958019585273,0.02030178178756732,2.6890686575861277e-10,lcb_codegen
63,Claude-3-Haiku,Cllama-7b-Ins,66.28,55.900000000000006,400.0,0.2455,0.10575,0.5660608364045921,0.020353132437047623,0.017149703896860727,0.008444672877027269,0.019116088610121058,2.6307135723296904e-13,lcb_codegen
64,Claude-3-Haiku,CodeGemma-2b-Base,81.76,70.3,400.0,0.2455,0.06975,0.42254610688302613,0.022605309110914636,0.018760792727121105,0.009045026257562771,0.02082738206664486,2.2643223890053103e-17,lcb_codegen
65,Claude-3-Haiku,CodeGemma-7b-Base,63.18,42.199999999999996,400.0,0.2455,0.14,0.6651016439179376,0.019871461949237657,0.01535982991442288,0.011450982490598786,0.019158532694337527,1.673499118726163e-07,lcb_codegen
66,Claude-3-Haiku,CodeLlama-13b-Base,72.38,63.69999999999999,400.0,0.2455,0.08625,0.5177217249679846,0.021269109055153203,0.017696358205856935,0.008707037383633999,0.01972241348694424,4.620814601991648e-16,lcb_codegen
67,Claude-3-Haiku,CodeLlama-34b-Base,70.86,48.9,400.0,0.2455,0.12325000000000001,0.554812049161422,0.02104459550573496,0.017344302919114395,0.010231690964840563,0.020137337057068893,4.466174729063311e-09,lcb_codegen
68,Claude-3-Haiku,CodeLlama-7b-Base,77.86,72.10000000000001,400.0,0.2455,0.06525,0.4818005899040865,0.02205957841845578,0.018009368221844985,0.009003471552684552,0.02013454354461506,1.0078897978938123e-18,lcb_codegen
69,Claude-3-Haiku,CodeQwen15-7B,70.47999999999999,10.899999999999999,400.0,0.2455,0.21825,0.5866311553805484,0.02098809186181536,0.017918735830130428,0.01084262422110072,0.02094381994169163,0.281978921793656,lcb_codegen
70,Claude-3-Haiku,CodeQwen15-7B-Chat,100.00000000000001,-1.7000000000000028,400.0,0.2455,0.24975000000000003,0.38778014737772787,0.025,0.022037294383612523,0.011803071634112877,0.024999096858686717,0.9204107626128211,lcb_codegen
71,Claude-3-Haiku,Command-R,59.61999999999999,42.3,400.0,0.2455,0.13974999999999999,0.6228424828449458,0.019303497092495958,0.016461465419275404,0.008584142356694698,0.018565218656132223,5.264832102225281e-08,lcb_codegen
72,Claude-3-Haiku,Command-R+,57.36,16.599999999999994,400.0,0.2455,0.204,0.6365276999093552,0.018934096228761486,0.017166664644012827,0.007713624310270756,0.018820052470702623,0.06273668035582848,lcb_codegen
73,Claude-3-Haiku,DBRX-Ins,52.739999999999995,28.2,400.0,0.2455,0.175,0.7076759106753071,0.018155577655365306,0.014796938027848868,0.009912113800799503,0.01781009194249148,0.0001275387838557407,lcb_codegen
