,benchmark_id,model,example_id,pass1,N,date,hyperparams
2425841,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_A,0.6,10.0,1692576000000.0,
2425842,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_B,0.0,10.0,1692576000000.0,
2425843,lcb_codegen_v5,AzeroGPT-64b,codeforces.1873_D,0.0,10.0,1692576000000.0,
2425844,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_B,0.1,10.0,1695340800000.0,
2425845,lcb_codegen_v5,AzeroGPT-64b,codeforces.1883_C,0.0,10.0,1695340800000.0,
2425846,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_A,0.0,10.0,1697500800000.0,
2425847,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_B,0.0,10.0,1697500800000.0,
2425848,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_C,0.0,10.0,1697500800000.0,
2425849,lcb_codegen_v5,AzeroGPT-64b,codeforces.1899_D,0.0,10.0,1697500800000.0,
2425850,lcb_codegen_v5,AzeroGPT-64b,leetcode.2727,1.0,10.0,1683936000000.0,
2425851,lcb_codegen_v5,AzeroGPT-64b,leetcode.2728,0.3,10.0,1683936000000.0,
2425852,lcb_codegen_v5,AzeroGPT-64b,leetcode.2730,0.1,10.0,1683936000000.0,
2425853,lcb_codegen_v5,AzeroGPT-64b,leetcode.2754,0.1,10.0,1685145600000.0,
2425854,lcb_codegen_v5,AzeroGPT-64b,leetcode.2755,0.7,10.0,1685145600000.0,
2425855,lcb_codegen_v5,AzeroGPT-64b,leetcode.2756,0.9,10.0,1685145600000.0,
2425856,lcb_codegen_v5,AzeroGPT-64b,leetcode.2757,0.1,10.0,1685836800000.0,
2425857,lcb_codegen_v5,AzeroGPT-64b,leetcode.2777,0.3,10.0,1683417600000.0,
2425858,lcb_codegen_v5,AzeroGPT-64b,leetcode.2779,0.3,10.0,1683417600000.0,
2425859,lcb_codegen_v5,AzeroGPT-64b,leetcode.2784,0.0,10.0,1683936000000.0,
2425860,lcb_codegen_v5,AzeroGPT-64b,leetcode.2785,0.4,10.0,1685836800000.0,
2425861,lcb_codegen_v5,AzeroGPT-64b,leetcode.2786,0.4,10.0,1686355200000.0,
2425862,lcb_codegen_v5,AzeroGPT-64b,leetcode.2791,0.8,10.0,1684022400000.0,
2425863,lcb_codegen_v5,AzeroGPT-64b,leetcode.2792,0.7,10.0,1684022400000.0,
2425864,lcb_codegen_v5,AzeroGPT-64b,leetcode.2800,1.0,10.0,1684627200000.0,
2425865,lcb_codegen_v5,AzeroGPT-64b,leetcode.2802,0.7,10.0,1684627200000.0,
2425866,lcb_codegen_v5,AzeroGPT-64b,leetcode.2808,0.4,10.0,1687046400000.0,
2425867,lcb_codegen_v5,AzeroGPT-64b,leetcode.2810,0.3,10.0,1686441600000.0,
2425868,lcb_codegen_v5,AzeroGPT-64b,leetcode.2811,0.1,10.0,1692489600000.0,
2425869,lcb_codegen_v5,AzeroGPT-64b,leetcode.2812,0.9,10.0,1688860800000.0,
2425870,lcb_codegen_v5,AzeroGPT-64b,leetcode.2816,0.9,10.0,1684627200000.0,
2425871,lcb_codegen_v5,AzeroGPT-64b,leetcode.2817,0.1,10.0,1685232000000.0,
2425872,lcb_codegen_v5,AzeroGPT-64b,leetcode.2819,1.0,10.0,1685232000000.0,
2425873,lcb_codegen_v5,AzeroGPT-64b,leetcode.2824,0.9,10.0,1686355200000.0,
2425874,lcb_codegen_v5,AzeroGPT-64b,leetcode.2825,0.9,10.0,1685836800000.0,
2425875,lcb_codegen_v5,AzeroGPT-64b,leetcode.2827,0.1,10.0,1685145600000.0,
2425876,lcb_codegen_v5,AzeroGPT-64b,leetcode.2828,0.1,10.0,1686441600000.0,
2425877,lcb_codegen_v5,AzeroGPT-64b,leetcode.2831,0.5,10.0,1687651200000.0,
2425878,lcb_codegen_v5,AzeroGPT-64b,leetcode.2832,0.4,10.0,1692489600000.0,
2425879,lcb_codegen_v5,AzeroGPT-64b,leetcode.2833,0.0,10.0,1687564800000.0,
2425880,lcb_codegen_v5,AzeroGPT-64b,leetcode.2834,0.8,10.0,1688774400000.0,
2425881,lcb_codegen_v5,AzeroGPT-64b,leetcode.2837,0.0,10.0,1687651200000.0,
2425882,lcb_codegen_v5,AzeroGPT-64b,leetcode.2839,0.0,10.0,1686441600000.0,
2425883,lcb_codegen_v5,AzeroGPT-64b,leetcode.2844,1.0,10.0,1689465600000.0,
2425884,lcb_codegen_v5,AzeroGPT-64b,leetcode.2845,1.0,10.0,1687046400000.0,
2425885,lcb_codegen_v5,AzeroGPT-64b,leetcode.2847,0.5,10.0,1687564800000.0,
2425886,lcb_codegen_v5,AzeroGPT-64b,leetcode.2848,0.7,10.0,1687046400000.0,
2425887,lcb_codegen_v5,AzeroGPT-64b,leetcode.2849,0.0,10.0,1688256000000.0,
2425888,lcb_codegen_v5,AzeroGPT-64b,leetcode.2850,0.0,10.0,1687564800000.0,
2425889,lcb_codegen_v5,AzeroGPT-64b,leetcode.2854,0.0,10.0,1687564800000.0,
2425890,lcb_codegen_v5,AzeroGPT-64b,leetcode.2855,0.1,10.0,1688860800000.0,
2425891,lcb_codegen_v5,AzeroGPT-64b,leetcode.2856,0.5,10.0,1690675200000.0,
2425892,lcb_codegen_v5,AzeroGPT-64b,leetcode.2857,0.3,10.0,1687046400000.0,
