,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,AzeroGPT-64b,Claude-3.5-Sonnet-20240620,246.74,-228.8,880.0,0.2203409090909091,0.48034090909090915,0.6362350036126253,0.017849954279173796,0.012691304695579294,0.008985180636713996,0.015550005979111815,5.424864855548871e-60,lcb_codegen_v5
1,AzeroGPT-64b,Codestral-Latest,178.12,-117.0,880.0,0.2203409090909091,0.3532954545454545,0.7049667411661429,0.015166091473366247,0.010865461891468357,0.009584605856345246,0.014488717387555007,5.99560490697788e-20,lcb_codegen_v5
2,AzeroGPT-64b,DeepCoder-14B-Preview,473.5,-451.1,880.0,0.2203409090909091,0.7329545454545454,0.30943945920758487,0.024727335394305616,0.01570197932578471,0.008141472494589986,0.017687162834313923,4.96249900253863e-121,lcb_codegen_v5
3,AzeroGPT-64b,DeepSeek-R1-Lite-Preview,375.56,-361.2,880.0,0.2203409090909091,0.6307954545454545,0.5256785506207052,0.022022011903195013,0.012519809622463105,0.011695163936607824,0.01713249813911713,5.1808627087681016e-99,lcb_codegen_v5
4,AzeroGPT-64b,DeepSeek-R1-Preview,494.16,-491.50000000000006,880.0,0.2203409090909091,0.7788636363636364,0.3818624084415107,0.025261033920066372,0.013218799982099523,0.010435382635236794,0.016841433540840757,1.9356076799133495e-146,lcb_codegen_v5
5,AzeroGPT-64b,DeepSeek-V3 copy,310.78,-286.0,880.0,0.2203409090909091,0.5453409090909092,0.5465206933976483,0.020032901656034018,0.01348447607589269,0.009972845362688582,0.01677166478526868,1.323826927290716e-72,lcb_codegen_v5
6,AzeroGPT-64b,GPT-4O-2024-05-13,217.06,-188.3,880.0,0.2203409090909091,0.4343181818181819,0.6806144804141337,0.016741995743865284,0.011678483757924643,0.00958527947660516,0.015108426970692142,3.91044746122763e-44,lcb_codegen_v5
7,AzeroGPT-64b,Gemini-Flash-1.5-002,186.48000000000002,-124.0,880.0,0.2203409090909091,0.36124999999999996,0.6638190050419365,0.015517918195555966,0.011894816693093004,0.008761061485180174,0.014773045133261845,4.943811792912209e-21,lcb_codegen_v5
8,AzeroGPT-64b,Gemini-Flash-2.0-Thinking,278.38,-256.20000000000005,880.0,0.2203409090909091,0.5114772727272727,0.6255366975182873,0.018959913127045806,0.01200523213869611,0.010910274556998596,0.016222197434782776,6.747320977963859e-65,lcb_codegen_v5
9,AzeroGPT-64b,Gemini-Pro-1.5-002,207.07999999999998,-176.5,880.0,0.2203409090909091,0.4209090909090909,0.6880884810710272,0.016352584651772587,0.011637035886403807,0.00928833913041793,0.014889387093601367,2.631300557328334e-40,lcb_codegen_v5
10,AzeroGPT-64b,Kimi-k1.6-IOI,513.82,-511.40000000000003,880.0,0.2203409090909091,0.8014772727272726,0.36056341530027364,0.025758634113728907,0.013073954438286649,0.010431050674875382,0.01672528334098449,3.833587135836906e-152,lcb_codegen_v5
11,AzeroGPT-64b,Kimi-k1.6-IOI-high,563.5,-563.0999999999999,880.0,0.2203409090909091,0.8602272727272727,0.2617334291483358,0.026975176069248225,0.014003116750006497,0.008141472494589986,0.016197865695655025,6.624337284222476e-170,lcb_codegen_v5
12,AzeroGPT-64b,Llama-3_1-Nemotron-Nano-8B-v1,398.30000000000007,-373.1,880.0,0.2203409090909091,0.6443181818181818,0.39722371566280223,0.02267892584947423,0.015613490783753568,0.008141472494589986,0.017608653237386522,8.918070910008807e-98,lcb_codegen_v5
13,AzeroGPT-64b,Llama-3_1-Nemotron-Ultra-253B-v1,497.9,-490.1,880.0,0.2203409090909091,0.7772727272727272,0.3185422133911993,0.025356446520861105,0.014973190397097443,0.008141472494589986,0.01704347397240059,1.0001125536631557e-142,lcb_codegen_v5
14,AzeroGPT-64b,MetaStone-L1-7B,319.08000000000004,-282.1,880.0,0.2203409090909091,0.5409090909090909,0.5689013819258213,0.02029864832856962,0.012064613617605465,0.012235317563012762,0.01718307008685816,2.2321573664848357e-67,lcb_codegen_v5
15,AzeroGPT-64b,Mistral-Large,189.18,-134.3,880.0,0.2203409090909091,0.3729545454545455,0.7044129907070433,0.015629854617746793,0.010807647936573623,0.010050877803858684,0.014758909124627852,1.160507611322082e-24,lcb_codegen_v5
16,AzeroGPT-64b,O1-2024-12-17 (High),541.6999999999999,-538.1,880.0,0.2203409090909091,0.8318181818181818,0.277899605508485,0.026448238079703177,0.014433790109797789,0.008141472494589986,0.016571598333107816,1.50591905277614e-160,lcb_codegen_v5
17,AzeroGPT-64b,O1-2024-12-17 (Low),475.5,-474.1,880.0,0.2203409090909091,0.759090909090909,0.36298923588129656,0.024779502826541504,0.014761736514641015,0.008141472494589986,0.016858008165493668,2.0501330894674953e-143,lcb_codegen_v5
18,AzeroGPT-64b,O1-2024-12-17 (Med),499.3,-495.09999999999997,880.0,0.2203409090909091,0.7829545454545455,0.3272263461844834,0.025392070246534816,0.01479107202917232,0.008141472494589986,0.01688370179055319,1.5244254651317567e-145,lcb_codegen_v5
19,AzeroGPT-64b,O1-Mini-2024-09-12,422.1,-408.1,880.0,0.2203409090909091,0.6840909090909091,0.39372548621772857,0.02334667318399627,0.015309885507949721,0.008141472494589986,0.01734001639695575,8.448050441157948e-113,lcb_codegen_v5
20,AzeroGPT-64b,O1-Preview-2024-09-12,306.9,-295.1,880.0,0.2203409090909091,0.5556818181818182,0.5448742568556857,0.01990745634634968,0.014220940435096583,0.008141472494589986,0.01638654085640805,3.3747392509827704e-82,lcb_codegen_v5
21,AzeroGPT-64b,QwQ-32B-Preview,347.30000000000007,-333.1,880.0,0.2203409090909091,0.5988636363636364,0.4864992759610354,0.021177257605021038,0.014811316711177991,0.008141472494589986,0.016901440089500827,8.054322914082616e-91,lcb_codegen_v5
22,AzeroGPT-64b,QwQ-Max-Preview,510.9,-510.1,880.0,0.2203409090909091,0.8,0.32369689231219145,0.025685337651040016,0.014547491766393122,0.008141472494589986,0.01667072557129536,5.966672584960166e-154,lcb_codegen_v5
23,Claude-3.5-Sonnet-20240620,AzeroGPT-64b,246.74,228.8,880.0,0.48034090909090915,0.2203409090909091,0.6362350036126252,0.017849954279173796,0.012691304695579294,0.008985180636713996,0.015550005979111815,1.4410167043473667e-58,lcb_codegen_v5
24,Claude-3.5-Sonnet-20240620,Codestral-Latest,171.94,111.80000000000001,880.0,0.48034090909090915,0.3532954545454545,0.6764538195714384,0.014900669739232727,0.012792866593092814,0.006327004957761388,0.014271945466691197,2.0823268066276926e-18,lcb_codegen_v5
25,Claude-3.5-Sonnet-20240620,DeepCoder-14B-Preview,311.5,-222.29999999999998,880.0,0.48034090909090915,0.7329545454545454,0.3603297382222546,0.020056093857639536,0.017756167761945302,0.0038013019735631203,0.018158507380414295,4.243025248846039e-40,lcb_codegen_v5
26,Claude-3.5-Sonnet-20240620,DeepSeek-R1-Lite-Preview,230.08,-132.4,880.0,0.48034090909090915,0.6307954545454545,0.605627703996874,0.01723680475078049,0.013654335608758271,0.009216462543632552,0.016473738577954485,1.4791306876806915e-19,lcb_codegen_v5
27,Claude-3.5-Sonnet-20240620,DeepSeek-R1-Preview,290.3,-262.7,880.0,0.48034090909090915,0.7788636363636364,0.5067749470056399,0.019361582264076325,0.014715276379231465,0.007554040843009206,0.016540945921410262,1.3225590599578857e-65,lcb_codegen_v5
28,Claude-3.5-Sonnet-20240620,DeepSeek-V3 copy,175.04000000000002,-57.2,880.0,0.48034090909090915,0.5453409090909092,0.6652365225029815,0.015034395825946569,0.01317603713357907,0.006901012023040444,0.014873867065682795,9.687504605972184e-06,lcb_codegen_v5
29,Claude-3.5-Sonnet-20240620,GPT-4O-2024-05-13,157.32,40.500000000000014,880.0,0.48034090909090915,0.4343181818181819,0.6929233779011582,0.014253098836613777,0.01267675034908534,0.006328025360148115,0.014168412203620875,0.002317473463870318,lcb_codegen_v5
30,Claude-3.5-Sonnet-20240620,Gemini-Flash-1.5-002,189.57999999999998,104.8,880.0,0.48034090909090915,0.36124999999999996,0.6091870188303912,0.015646369684291644,0.014274793238906253,0.004992246053747454,0.01512257394343571,7.43754976983154e-15,lcb_codegen_v5
31,Claude-3.5-Sonnet-20240620,Gemini-Flash-2.0-Thinking,181.56,-27.39999999999999,880.0,0.48034090909090915,0.5114772727272727,0.6698954407168944,0.015311841147910428,0.012889933750505149,0.008197585816759742,0.015275824210678525,0.05298888865344443,lcb_codegen_v5
32,Claude-3.5-Sonnet-20240620,Gemini-Pro-1.5-002,156.54000000000002,52.3,880.0,0.48034090909090915,0.4209090909090909,0.6891024979897468,0.014217721162033046,0.012794148362459441,0.005868523333488799,0.014075858710442006,3.80768626674405e-05,lcb_codegen_v5
33,Claude-3.5-Sonnet-20240620,Kimi-k1.6-IOI,308.24,-282.6,880.0,0.48034090909090915,0.8014772727272726,0.47582824512391997,0.019950869406686132,0.014962369449068829,0.007548055411552551,0.016758449809761523,4.894012919224943e-72,lcb_codegen_v5
34,Claude-3.5-Sonnet-20240620,Kimi-k1.6-IOI-high,340.9,-334.29999999999995,880.0,0.48034090909090915,0.8602272727272727,0.375588870267801,0.020981224388950805,0.016179279863335408,0.0038013019735631203,0.016619837351500934,5.849729995240633e-96,lcb_codegen_v5
35,Claude-3.5-Sonnet-20240620,Llama-3_1-Nemotron-Nano-8B-v1,259.3,-144.3,880.0,0.48034090909090915,0.6443181818181818,0.45281672036530096,0.018298630441458123,0.017024535631335793,0.0038013019735631203,0.017443758487116157,3.3965183661344764e-20,lcb_codegen_v5
36,Claude-3.5-Sonnet-20240620,Llama-3_1-Nemotron-Ultra-253B-v1,312.09999999999997,-261.3,880.0,0.48034090909090915,0.7772727272727272,0.3857590960262512,0.02007540022552168,0.016981764188836554,0.0038013019735631203,0.017402017459463327,1.4229420694116926e-57,lcb_codegen_v5
37,Claude-3.5-Sonnet-20240620,MetaStone-L1-7B,233.76,-53.30000000000001,880.0,0.48034090909090915,0.5409090909090909,0.5796073494075749,0.01737410441237854,0.014135820834593619,0.009892892306187213,0.017253716957500758,0.0006266921997496673,lcb_codegen_v5
38,Claude-3.5-Sonnet-20240620,Mistral-Large,178.26000000000002,94.50000000000003,880.0,0.48034090909090915,0.3729545454545455,0.6662881003732365,0.015172050477851678,0.012957634631491898,0.007013306420095215,0.014733864468814249,9.077867422545717e-13,lcb_codegen_v5
39,Claude-3.5-Sonnet-20240620,O1-2024-12-17 (High),339.5,-309.29999999999995,880.0,0.48034090909090915,0.8318181818181818,0.3495000598130433,0.020938097468963954,0.016839593232601598,0.0038013019735631203,0.017263307821321395,9.382809465198273e-77,lcb_codegen_v5
40,Claude-3.5-Sonnet-20240620,O1-2024-12-17 (Low),281.3,-245.3,880.0,0.48034090909090915,0.759090909090909,0.4576934927779662,0.019059091451119822,0.01614006939682409,0.0038013019735631203,0.016581668698551193,5.901640274003568e-57,lcb_codegen_v5
41,Claude-3.5-Sonnet-20240620,O1-2024-12-17 (Med),299.7,-266.3,880.0,0.48034090909090915,0.7829545454545455,0.4250262804368985,0.019672551881254784,0.01638587459223123,0.0038013019735631203,0.016821022051187733,2.6969455064120186e-64,lcb_codegen_v5
42,Claude-3.5-Sonnet-20240620,O1-Mini-2024-09-12,263.7,-179.3,880.0,0.48034090909090915,0.6840909090909091,0.4587067894044286,0.018453229912805943,0.016700201390939386,0.0038013019735631203,0.017127364747448706,1.614157466117049e-30,lcb_codegen_v5
43,Claude-3.5-Sonnet-20240620,O1-Preview-2024-09-12,188.7,-66.3,880.0,0.48034090909090915,0.5556818181818182,0.5949167048331464,0.015610013474086337,0.014925559853526756,0.0038013019735631203,0.015402020440040472,1.6860965470030647e-06,lcb_codegen_v5
44,Claude-3.5-Sonnet-20240620,QwQ-32B-Preview,198.90000000000003,-104.30000000000003,880.0,0.48034090909090915,0.5988636363636364,0.5823882463466121,0.01602635355483158,0.015047620670484332,0.0038013019735631203,0.01552033454977702,6.366545227324355e-14,lcb_codegen_v5
45,Claude-3.5-Sonnet-20240620,QwQ-Max-Preview,297.09999999999997,-281.3,880.0,0.48034090909090915,0.8,0.4473346011743198,0.019587032942845944,0.01590868090897305,0.0038013019735631203,0.0163565285118126,3.031015690011244e-76,lcb_codegen_v5
46,Codestral-Latest,AzeroGPT-64b,178.12,117.0,880.0,0.3532954545454545,0.2203409090909091,0.7049667411661429,0.015166091473366247,0.010865461891468357,0.009584605856345246,0.014488717387555007,2.8912760817667444e-19,lcb_codegen_v5
47,Codestral-Latest,Claude-3.5-Sonnet-20240620,171.94,-111.80000000000001,880.0,0.3532954545454545,0.48034090909090915,0.6764538195714384,0.014900669739232727,0.012792866593092814,0.006327004957761388,0.014271945466691197,2.0823268066276926e-18,lcb_codegen_v5
48,Codestral-Latest,DeepCoder-14B-Preview,375.9,-334.1,880.0,0.3532954545454545,0.7329545454545454,0.3516012730024583,0.02203197807395513,0.01720553234106858,0.0050577757009699735,0.017933528324924772,2.0434014819859285e-80,lcb_codegen_v5
49,Codestral-Latest,DeepSeek-R1-Lite-Preview,285.26,-244.20000000000002,880.0,0.3532954545454545,0.6307954545454545,0.5709636703751341,0.019192774768276345,0.013593421970488835,0.009801753933112648,0.016758744017170795,9.029832993526316e-56,lcb_codegen_v5
50,Codestral-Latest,DeepSeek-R1-Preview,380.84000000000003,-374.5,880.0,0.3532954545454545,0.7788636363636364,0.4473616861906983,0.022176275387960093,0.014757628468798871,0.008258010135920073,0.016911012075806156,7.427561696764065e-108,lcb_codegen_v5
51,Codestral-Latest,DeepSeek-V3 copy,219.26,-169.0,880.0,0.3532954545454545,0.5453409090909092,0.6222115579269316,0.016826625644451487,0.013508124190269519,0.007665191797290932,0.015531406389281067,1.3697763216144082e-33,lcb_codegen_v5
52,Codestral-Latest,GPT-4O-2024-05-13,146.89999999999998,-71.3,880.0,0.3532954545454545,0.4343181818181819,0.7318274394166574,0.013772989796477899,0.011448156110861482,0.007153677607062337,0.01349945856856638,1.980365676693408e-09,lcb_codegen_v5
53,Codestral-Latest,Gemini-Flash-1.5-002,148.92000000000002,-7.0,880.0,0.3532954545454545,0.36124999999999996,0.6789600327571219,0.013867361645542546,0.012497123542067388,0.0060044749152831384,0.013864768870556748,0.5651719099883442,lcb_codegen_v5
54,Codestral-Latest,Gemini-Flash-2.0-Thinking,207.86,-139.2,880.0,0.3532954545454545,0.5114772727272727,0.6525616996484493,0.016383353020622705,0.012714131350115072,0.008850514763009434,0.015491312002481484,1.2823436375046921e-23,lcb_codegen_v5
55,Codestral-Latest,Gemini-Pro-1.5-002,145.28000000000003,-59.500000000000014,880.0,0.3532954545454545,0.4209090909090909,0.7221227963167969,0.013696835612108512,0.011697757775692543,0.006750612154672338,0.01350586174376094,4.2905018827335674e-07,lcb_codegen_v5
56,Codestral-Latest,Kimi-k1.6-IOI,404.66,-394.40000000000003,880.0,0.3532954545454545,0.8014772727272726,0.40619547808417306,0.022859275745379725,0.01503942352468741,0.008252535297893321,0.017154841847067444,4.288409428720399e-111,lcb_codegen_v5
57,Codestral-Latest,Kimi-k1.6-IOI-high,451.30000000000007,-446.1,880.0,0.3532954545454545,0.8602272727272727,0.2950191047316882,0.024140707535832053,0.01628404396004028,0.0050577757009699735,0.01705142758638838,3.505832745041872e-131,lcb_codegen_v5
58,Codestral-Latest,Llama-3_1-Nemotron-Nano-8B-v1,305.7,-256.09999999999997,880.0,0.3532954545454545,0.6443181818181818,0.44867474058435786,0.019868498468806308,0.016520674795359513,0.0050577757009699735,0.017277551641808202,8.960486028904707e-57,lcb_codegen_v5
59,Codestral-Latest,Llama-3_1-Nemotron-Ultra-253B-v1,391.5,-373.1,880.0,0.3532954545454545,0.7772727272727272,0.3613508955291677,0.022484498792510656,0.016604294084894528,0.0050577757009699735,0.01735752508565048,2.178457818536296e-100,lcb_codegen_v5
60,Codestral-Latest,MetaStone-L1-7B,246.72,-165.1,880.0,0.3532954545454545,0.5409090909090909,0.6101939532841512,0.0178492308327926,0.013022895278761373,0.010440331246130346,0.016691204808836027,4.061159357975239e-28,lcb_codegen_v5
61,Codestral-Latest,Mistral-Large,131.51999999999998,-17.299999999999997,880.0,0.3532954545454545,0.3729545454545455,0.7654733647237131,0.013032064715301318,0.010444034842948091,0.007766444829473534,0.013015203766747946,0.16188152458394647,lcb_codegen_v5
62,Codestral-Latest,O1-2024-12-17 (High),429.1,-421.1,880.0,0.3532954545454545,0.8318181818181818,0.3232601458149719,0.02353946484010793,0.01638036075369831,0.0050577757009699735,0.017143433537731644,2.0266395870791928e-120,lcb_codegen_v5
63,Codestral-Latest,O1-2024-12-17 (Low),367.49999999999994,-357.09999999999997,880.0,0.3532954545454545,0.759090909090909,0.40810312196636067,0.021784419900773653,0.016181931625536744,0.0050577757009699735,0.016953937777839947,3.6416225663657097e-100,lcb_codegen_v5
64,Codestral-Latest,O1-2024-12-17 (Med),396.30000000000007,-378.1,880.0,0.3532954545454545,0.7829545454545455,0.3545972529302653,0.02262191488486002,0.016624961074927738,0.0050577757009699735,0.017377296273706818,7.63912105772422e-102,lcb_codegen_v5
65,Codestral-Latest,O1-Mini-2024-09-12,335.3,-291.09999999999997,880.0,0.3532954545454545,0.6840909090909091,0.4099754860316723,0.020808180408215093,0.01682414832669607,0.0050577757009699735,0.01756795554297632,4.803301692894715e-67,lcb_codegen_v5
66,Codestral-Latest,O1-Preview-2024-09-12,249.7,-178.09999999999997,880.0,0.3532954545454545,0.5556818181818182,0.5157011891117661,0.017956702977389303,0.015821389297176938,0.0050577757009699735,0.016610161177247715,1.5297230490739963e-32,lcb_codegen_v5
67,Codestral-Latest,QwQ-32B-Preview,256.7,-216.10000000000002,880.0,0.3532954545454545,0.5988636363636364,0.5334146512237437,0.018206659166813906,0.015406958651291533,0.0050577757009699735,0.016215901761047067,5.28784859425673e-48,lcb_codegen_v5
68,Codestral-Latest,QwQ-Max-Preview,394.9,-393.1,880.0,0.3532954545454545,0.8,0.38359937477347367,0.022581921570543586,0.016050123386451676,0.0050577757009699735,0.016828177434340456,4.9569176510071274e-119,lcb_codegen_v5
69,DeepCoder-14B-Preview,AzeroGPT-64b,473.5,451.1,880.0,0.7329545454545454,0.2203409090909091,0.3094394592075848,0.024727335394305616,0.01570197932578471,0.008141472494589986,0.017687162834313923,4.96249900253863e-121,lcb_codegen_v5
70,DeepCoder-14B-Preview,Claude-3.5-Sonnet-20240620,311.5,222.29999999999998,880.0,0.7329545454545454,0.48034090909090915,0.36032973822225456,0.020056093857639536,0.017756167761945302,0.0038013019735631203,0.018158507380414295,2.5306166024814665e-39,lcb_codegen_v5
71,DeepCoder-14B-Preview,Codestral-Latest,375.9,334.1,880.0,0.7329545454545454,0.3532954545454545,0.3516012730024583,0.02203197807395513,0.01720553234106858,0.0050577757009699735,0.017933528324924772,2.0434014819859285e-80,lcb_codegen_v5
72,DeepCoder-14B-Preview,DeepSeek-R1-Lite-Preview,197.1,89.9,880.0,0.7329545454545454,0.6307954545454545,0.5880694544862713,0.015953671304723985,0.013121231145586923,0.00839602793730267,0.01557754768568812,1.7765386884519302e-10,lcb_codegen_v5
73,DeepCoder-14B-Preview,DeepSeek-R1-Preview,148.6,-40.4,880.0,0.7329545454545454,0.7788636363636364,0.6195135925091849,0.013852454506973432,0.012119480549527821,0.006527912098338669,0.013765734457486078,0.001268752139779757,lcb_codegen_v5
74,DeepCoder-14B-Preview,DeepSeek-V3 copy,249.9,165.1,880.0,0.7329545454545454,0.5453409090909092,0.47094608918769454,0.01796389284873943,0.015796475957670263,0.005759693589760993,0.01681376587588838,2.1956104248352847e-27,lcb_codegen_v5
75,DeepCoder-14B-Preview,GPT-4O-2024-05-13,324.0,262.79999999999995,880.0,0.7329545454545454,0.4343181818181819,0.38856794101462144,0.020454545454545454,0.01707188721870298,0.005059052111261833,0.017805710922975723,1.2120972001057286e-54,lcb_codegen_v5
76,DeepCoder-14B-Preview,Gemini-Flash-1.5-002,356.49999999999994,327.09999999999997,880.0,0.7329545454545454,0.36124999999999996,0.38305920589690784,0.021455917714203642,0.01711370590283085,0.003236143378613214,0.01741699037421591,1.510599931912341e-81,lcb_codegen_v5
77,DeepCoder-14B-Preview,Gemini-Flash-2.0-Thinking,271.1,194.9,880.0,0.7329545454545454,0.5114772727272727,0.4675066821302638,0.018710357541715846,0.015543032089025402,0.007262955082397633,0.01715623394132287,2.239721142989533e-35,lcb_codegen_v5
78,DeepCoder-14B-Preview,Gemini-Pro-1.5-002,333.8,274.59999999999997,880.0,0.7329545454545454,0.4209090909090909,0.37437171433650457,0.0207615844392896,0.017332146532881183,0.004470980812024091,0.017899524375210443,5.75850757784232e-59,lcb_codegen_v5
79,DeepCoder-14B-Preview,Kimi-k1.6-IOI,156.1,-60.29999999999999,880.0,0.7329545454545454,0.8014772727272726,0.5901264973399291,0.01419772563557771,0.012398246986516084,0.006520984879728895,0.01400856067339925,7.532489029546564e-07,lcb_codegen_v5
80,DeepCoder-14B-Preview,Kimi-k1.6-IOI-high,156.0,-112.0,880.0,0.7329545454545454,0.8602272727272727,0.5048425744001303,0.014193177269087268,0.013529193189900384,0.0,0.013529193189900382,8.707357238182177e-21,lcb_codegen_v5
81,DeepCoder-14B-Preview,Llama-3_1-Nemotron-Nano-8B-v1,190.0,78.0,880.0,0.7329545454545454,0.6443181818181818,0.5119420529013365,0.01566369176373889,0.015376069288405058,0.0,0.015376069288405058,1.4704952699915239e-08,lcb_codegen_v5
82,DeepCoder-14B-Preview,Llama-3_1-Nemotron-Ultra-253B-v1,165.0,-39.0,880.0,0.7329545454545454,0.7772727272727272,0.49792750855883733,0.014596855203028555,0.014520201396374803,0.0,0.014520201396374803,0.0029770251084543626,lcb_codegen_v5
83,DeepCoder-14B-Preview,MetaStone-L1-7B,239.20000000000002,169.00000000000003,880.0,0.7329545454545454,0.5409090909090909,0.5650956374999444,0.01757510448107382,0.013548215007282186,0.0091334233170046,0.016339325303425155,3.3723070797361384e-30,lcb_codegen_v5
84,DeepCoder-14B-Preview,Mistral-Large,364.2,316.8,880.0,0.7329545454545454,0.3729545454545455,0.3642745306720891,0.021686391741755,0.016979113323616117,0.005893773854495427,0.017972947991471297,1.243940697500291e-72,lcb_codegen_v5
85,DeepCoder-14B-Preview,O1-2024-12-17 (High),157.0,-87.0,880.0,0.7329545454545454,0.8318181818181818,0.5045863682748173,0.014238595552433713,0.013843076391945474,0.0,0.013843076391945475,1.7493089809614953e-12,lcb_codegen_v5
86,DeepCoder-14B-Preview,O1-2024-12-17 (Low),161.0,-23.0,880.0,0.7329545454545454,0.759090909090909,0.5188692278475789,0.014418838114147181,0.014391894655042235,0.0,0.014391894655042235,0.08262582271649302,lcb_codegen_v5
87,DeepCoder-14B-Preview,O1-2024-12-17 (Med),148.0,-44.0,880.0,0.7329545454545454,0.7829545454545455,0.5482734548748073,0.013824460296132317,0.01372132622556689,0.0,0.01372132622556689,0.0003734381914831312,lcb_codegen_v5
88,DeepCoder-14B-Preview,O1-Mini-2024-09-12,187.0,43.0,880.0,0.7329545454545454,0.6840909090909091,0.4904245539593192,0.015539539012701525,0.015451991083871621,0.0,0.015451991083871621,0.0020485721433264187,lcb_codegen_v5
89,DeepCoder-14B-Preview,O1-Preview-2024-09-12,258.0,156.0,880.0,0.7329545454545454,0.5556818181818182,0.41139455212766296,0.018252702732055693,0.01724674535657207,0.0,0.017246745356572068,1.805166565907918e-23,lcb_codegen_v5
