,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
25,O4-Mini (High),0.8729857819905213,0.010251880254450025,0.0,0.010251880254450023,1.0,0.24186958653374735,1078.5117536124214
21,O3 (High),0.8473933649289099,0.011071411885601326,0.0,0.011071411885601328,1.0,0.22212779865991175,1068.9551116543566
27,O4-Mini (Medium),0.8445497630331753,0.011155321378839646,0.0,0.011155321378839648,1.0,0.214839025984638,1067.8990606152295
7,DeepSeek-R1-0528,0.8436018957345972,0.009724504696696046,0.0055220897302860695,0.01118299899782676,10.0,0.21137440758293838,1068.6029726996703
16,Gemini-2.5-Pro-06-05,0.842654028436019,0.011210532319130231,0.0,0.01121053231913023,1.0,0.21098218663180257,1067.195631447439
15,Gemini-2.5-Pro-05-06,0.8274881516587678,0.011632260685159648,0.0,0.011632260685159648,1.0,0.19967314920738682,1061.5848919544017
14,Gemini-2.5-Pro-03-25,0.8151658767772512,0.011950548585049434,0.0,0.011950548585049434,1.0,0.19365909462330447,1057.046638535419
29,Qwen3-235B-A22B,0.8037914691943128,0.012226563546482369,0.0,0.012226563546482367,1.0,0.184441902271613,1052.8723483088297
20,Grok-3-Mini (High),0.781042654028436,0.01273183220496585,0.0,0.012731832204965848,1.0,0.19022716130086614,1044.561816347473
22,O3-Mini-2025-01-31 (High),0.7772511848341233,0.012810384580028134,0.0,0.012810384580028134,1.0,0.17385193659094622,1043.1811658319411
26,O4-Mini (Low),0.7744075829383886,0.012868289340308117,0.0,0.01286828934030812,1.0,0.1707468540611211,1042.1464394324787
13,Gemini-2.5-Flash-05-20,0.762085308056872,0.01310950204572821,0.0,0.01310950204572821,1.0,0.15983003758784115,1037.6697225461771
24,O3-Mini-2025-01-31 (Med),0.7535545023696683,0.01326757492486084,0.0,0.013267574924860838,1.0,0.15947050171596666,1034.5766887754587
12,Gemini-2.5-Flash-04-17,0.7507109004739336,0.01331869812687537,0.0,0.01331869812687537,1.0,0.15643078934466417,1033.5467159921038
28,QwQ-32B_temp,0.7345971563981043,0.013594122447877595,0.0,0.013594122447877593,1.0,0.14404314430462495,1027.7189871306948
23,O3-Mini-2025-01-31 (Low),0.7061611374407583,0.014024270952290313,0.0,0.014024270952290313,1.0,0.13436836084327505,1017.4639640528679
4,Claude-Opus-4 (Thinking),0.704265402843602,0.01405053996031601,0.0,0.014050539960316008,1.0,0.1260990357901618,1016.7813036000986
6,Claude-Sonnet-4 (Thinking),0.6853080568720379,0.01429748011000638,0.0,0.014297480110006379,1.0,0.11845072724301356,1009.9593348641239
2,Claude-3.7-Sonnet,0.6350710900473934,0.014821394828969945,0.0,0.014821394828969945,1.0,0.09785912730838373,991.8931041204719
3,Claude-Opus-4,0.623696682464455,0.014915214750049133,0.0,0.014915214750049133,1.0,0.09416571335185488,987.7984965969368
5,Claude-Sonnet-4,0.5943127962085308,0.01511739516139318,0.0,0.015117395161393179,1.0,0.08465435528681158,977.2009790552545
19,Gemini-Flash-2.0-Thinking-12-19,0.5649289099526066,0.01526338233907489,0.0,0.015263382339074889,1.0,0.0809282562510214,966.5606075624383
18,Gemini-Flash-2.0-Thinking-01-21,0.557345971563981,0.015292145229830276,0.0,0.01529214522983028,1.0,0.07530642261807485,963.8055135602941
8,DeepSeek-V3,0.4955450236966824,0.01450110150300033,0.005163919799763502,0.015393115750188717,10.0,0.056283706487988236,937.3658669958127
1,Claude-3.5-Sonnet-20241022,0.48739336492891,0.014685592015223162,0.004598866150031546,0.015388833052037842,10.0,0.049910116032031375,934.5478489951718
17,Gemini-Flash-2.0-Exp,0.41800947867298577,0.015185349462745678,0.0,0.015185349462745676,1.0,0.03301193005393038,912.0454541391523
10,GPT-4O-2024-08-06,0.3830331753554503,0.013888319528301373,0.005577939328835829,0.014966590342371596,10.0,0.02356594214740971,893.3317888678728
9,GPT-4-Turbo-2024-04-09,0.373175355450237,0.013840513520921178,0.005491907464216483,0.014890294225377776,10.0,0.02153946723320804,888.8501540447771
11,GPT-4O-mini-2024-07-18,0.3551658767772512,0.01399988595934146,0.004592023322763725,0.014733753258127142,10.0,0.018891975813041348,883.5793576709721
0,Claude-3-Haiku,0.2253080568720379,0.01235192476863458,0.0035881503754971946,0.012862537409360138,10.0,0.0070272920411832,832.7462809896608
