,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
25,O4-Mini (High),0.801762114537445,0.018710619509911784,0.0,0.018710619509911788,1.0,0.2907488986784141,1094.8698412938195
21,O3 (High),0.7577092511013216,0.020109060678176426,0.0,0.02010906067817643,1.0,0.25824092359106793,1078.1923908000197
27,O4-Mini (Medium),0.7422907488986784,0.02052693476037391,0.0,0.02052693476037391,1.0,0.23780950934224518,1072.4333757981885
16,Gemini-2.5-Pro-06-05,0.73568281938326,0.02069569794234086,0.0,0.020695697942340857,1.0,0.23120157982682668,1069.9761556530457
7,DeepSeek-R1-0528,0.7306167400881058,0.01788139687530232,0.0106663436236152,0.020821028805251388,10.0,0.22504936958833358,1069.158470697631
15,Gemini-2.5-Pro-05-06,0.7180616740088106,0.021116892330375624,0.0,0.02111689233037562,1.0,0.2160868904754671,1063.4531718629867
14,Gemini-2.5-Pro-03-25,0.6784140969162996,0.021921385874021655,0.0,0.021921385874021655,1.0,0.19398450554458455,1048.913711427379
22,O3-Mini-2025-01-31 (High),0.6740088105726872,0.021999245774169892,0.0,0.021999245774169892,1.0,0.19489594409843536,1047.308335338477
20,Grok-3-Mini (High),0.6674008810572687,0.022111897300988212,0.0,0.022111897300988212,1.0,0.22337839890627373,1044.9035844751636
29,Qwen3-235B-A22B,0.6585903083700441,0.022254490913957453,0.0,0.022254490913957453,1.0,0.17689503265988152,1041.7030913753058
26,O4-Mini (Low),0.6585903083700441,0.022254490913957453,0.0,0.022254490913957453,1.0,0.1762114537444934,1041.7030913753058
24,O3-Mini-2025-01-31 (Med),0.6299559471365639,0.022659685513827143,0.0,0.02265968551382714,1.0,0.16352726720340272,1031.341673573871
13,Gemini-2.5-Flash-05-20,0.6189427312775331,0.022792524601302298,0.0,0.022792524601302298,1.0,0.15137475315205834,1027.3702721429167
12,Gemini-2.5-Flash-04-17,0.6057268722466961,0.02293554598849996,0.0,0.022935545988499957,1.0,0.1440072915084308,1022.612632194964
23,O3-Mini-2025-01-31 (Low),0.5704845814977973,0.023231829324633472,0.0,0.02323182932463347,1.0,0.1241835029621753,1009.9564343703829
4,Claude-Opus-4 (Thinking),0.566079295154185,0.023260331263049494,0.0,0.023260331263049494,1.0,0.11696794774418957,1008.3764805912184
6,Claude-Sonnet-4 (Thinking),0.5594713656387665,0.02329957916227027,0.0,0.02329957916227027,1.0,0.11651222846726417,1006.0070208181967
28,QwQ-32B_temp,0.5572687224669604,0.02331173030178156,0.0,0.02331173030178156,1.0,0.1176515266595777,1005.2172967268272
2,Claude-3.7-Sonnet,0.5044052863436124,0.023465251911104847,0.0,0.023465251911104847,1.0,0.0912198085979037,986.2575086605322
18,Gemini-Flash-2.0-Thinking-01-21,0.4889867841409692,0.02346046956748662,0.0,0.023460469567486618,1.0,0.09182743430047091,980.7166425223658
19,Gemini-Flash-2.0-Thinking-12-19,0.486784140969163,0.023457964141249604,0.0,0.0234579641412496,1.0,0.09501746923894881,979.9243681238397
5,Claude-Sonnet-4,0.4713656387665198,0.02342765005563739,0.0,0.02342765005563739,1.0,0.078535622056813,974.3723332145296
3,Claude-Opus-4,0.46916299559471364,0.023421491277347484,0.0,0.023421491277347484,1.0,0.07770013671578307,973.5782205134451
1,Claude-3.5-Sonnet-20241022,0.36387665198237884,0.021627171857181868,0.00648939200998072,0.02257978678374269,10.0,0.039647577092511016,931.7340725529472
17,Gemini-Flash-2.0-Exp,0.31277533039647576,0.021758937760125413,0.0,0.021758937760125413,1.0,0.02810268874373386,916.0388939036637
10,GPT-4O-2024-08-06,0.2953744493392071,0.019987125232623793,0.0076777202898384925,0.02141103836607614,10.0,0.018152817864195654,905.9667335640727
9,GPT-4-Turbo-2024-04-09,0.28700440528634363,0.01975432347035104,0.007778168979299372,0.021230478290462443,10.0,0.01838067750265836,902.5780771400482
11,GPT-4O-mini-2024-07-18,0.2746696035242291,0.02010552374453491,0.005881510979215281,0.020948132528716898,10.0,0.015950174692389487,898.3185472215384
8,DeepSeek-V3,0.2720264317180617,0.019646136886778107,0.007086214952486966,0.020885045772678433,10.0,0.025672185933464986,894.8910665994256
0,Claude-3-Haiku,0.2022026431718062,0.018144459112351328,0.00510899273336705,0.018850018653290144,10.0,0.010709403007747227,872.1265054678927
