,benchmark_id,model,example_id,pass1,N,date,hyperparams
39272,mbpp+,code-llama-multi-7b,Mbpp/2,1.0,,,
39273,mbpp+,code-llama-multi-7b,Mbpp/3,1.0,,,
39274,mbpp+,code-llama-multi-7b,Mbpp/4,0.0,,,
39275,mbpp+,code-llama-multi-7b,Mbpp/6,0.0,,,
39276,mbpp+,code-llama-multi-7b,Mbpp/7,0.0,,,
39277,mbpp+,code-llama-multi-7b,Mbpp/8,1.0,,,
39278,mbpp+,code-llama-multi-7b,Mbpp/9,0.0,,,
39279,mbpp+,code-llama-multi-7b,Mbpp/11,0.0,,,
39280,mbpp+,code-llama-multi-7b,Mbpp/12,1.0,,,
39281,mbpp+,code-llama-multi-7b,Mbpp/14,0.0,,,
39282,mbpp+,code-llama-multi-7b,Mbpp/16,0.0,,,
39283,mbpp+,code-llama-multi-7b,Mbpp/17,1.0,,,
39284,mbpp+,code-llama-multi-7b,Mbpp/18,1.0,,,
39285,mbpp+,code-llama-multi-7b,Mbpp/19,1.0,,,
39286,mbpp+,code-llama-multi-7b,Mbpp/20,0.0,,,
39287,mbpp+,code-llama-multi-7b,Mbpp/56,0.0,,,
39288,mbpp+,code-llama-multi-7b,Mbpp/57,1.0,,,
39289,mbpp+,code-llama-multi-7b,Mbpp/58,1.0,,,
39290,mbpp+,code-llama-multi-7b,Mbpp/59,0.0,,,
39291,mbpp+,code-llama-multi-7b,Mbpp/61,1.0,,,
39292,mbpp+,code-llama-multi-7b,Mbpp/62,1.0,,,
39293,mbpp+,code-llama-multi-7b,Mbpp/63,0.0,,,
39294,mbpp+,code-llama-multi-7b,Mbpp/64,0.0,,,
39295,mbpp+,code-llama-multi-7b,Mbpp/65,1.0,,,
39296,mbpp+,code-llama-multi-7b,Mbpp/66,0.0,,,
39297,mbpp+,code-llama-multi-7b,Mbpp/67,0.0,,,
39298,mbpp+,code-llama-multi-7b,Mbpp/68,0.0,,,
39299,mbpp+,code-llama-multi-7b,Mbpp/69,0.0,,,
39300,mbpp+,code-llama-multi-7b,Mbpp/70,1.0,,,
39301,mbpp+,code-llama-multi-7b,Mbpp/71,1.0,,,
39302,mbpp+,code-llama-multi-7b,Mbpp/72,0.0,,,
39303,mbpp+,code-llama-multi-7b,Mbpp/74,0.0,,,
39304,mbpp+,code-llama-multi-7b,Mbpp/75,1.0,,,
39305,mbpp+,code-llama-multi-7b,Mbpp/77,1.0,,,
39306,mbpp+,code-llama-multi-7b,Mbpp/79,0.0,,,
39307,mbpp+,code-llama-multi-7b,Mbpp/80,0.0,,,
39308,mbpp+,code-llama-multi-7b,Mbpp/82,1.0,,,
39309,mbpp+,code-llama-multi-7b,Mbpp/84,0.0,,,
39310,mbpp+,code-llama-multi-7b,Mbpp/85,1.0,,,
39311,mbpp+,code-llama-multi-7b,Mbpp/86,0.0,,,
39312,mbpp+,code-llama-multi-7b,Mbpp/87,1.0,,,
39313,mbpp+,code-llama-multi-7b,Mbpp/88,1.0,,,
39314,mbpp+,code-llama-multi-7b,Mbpp/89,0.0,,,
39315,mbpp+,code-llama-multi-7b,Mbpp/90,1.0,,,
39316,mbpp+,code-llama-multi-7b,Mbpp/91,1.0,,,
39317,mbpp+,code-llama-multi-7b,Mbpp/92,0.0,,,
39318,mbpp+,code-llama-multi-7b,Mbpp/93,0.0,,,
39319,mbpp+,code-llama-multi-7b,Mbpp/94,1.0,,,
39320,mbpp+,code-llama-multi-7b,Mbpp/95,1.0,,,
39321,mbpp+,code-llama-multi-7b,Mbpp/96,1.0,,,
39322,mbpp+,code-llama-multi-7b,Mbpp/97,0.0,,,
39323,mbpp+,code-llama-multi-7b,Mbpp/98,0.0,,,
39324,mbpp+,code-llama-multi-7b,Mbpp/99,0.0,,,
39325,mbpp+,code-llama-multi-7b,Mbpp/100,0.0,,,
39326,mbpp+,code-llama-multi-7b,Mbpp/101,0.0,,,
39327,mbpp+,code-llama-multi-7b,Mbpp/102,0.0,,,
39328,mbpp+,code-llama-multi-7b,Mbpp/103,0.0,,,
39329,mbpp+,code-llama-multi-7b,Mbpp/104,1.0,,,
39330,mbpp+,code-llama-multi-7b,Mbpp/105,1.0,,,
39331,mbpp+,code-llama-multi-7b,Mbpp/106,1.0,,,
39332,mbpp+,code-llama-multi-7b,Mbpp/108,0.0,,,
39333,mbpp+,code-llama-multi-7b,Mbpp/109,0.0,,,
39334,mbpp+,code-llama-multi-7b,Mbpp/111,0.0,,,
39335,mbpp+,code-llama-multi-7b,Mbpp/113,0.0,,,
39336,mbpp+,code-llama-multi-7b,Mbpp/116,1.0,,,
39337,mbpp+,code-llama-multi-7b,Mbpp/118,0.0,,,
39338,mbpp+,code-llama-multi-7b,Mbpp/119,0.0,,,
39339,mbpp+,code-llama-multi-7b,Mbpp/120,0.0,,,
39340,mbpp+,code-llama-multi-7b,Mbpp/123,0.0,,,
39341,mbpp+,code-llama-multi-7b,Mbpp/124,0.0,,,
39342,mbpp+,code-llama-multi-7b,Mbpp/125,0.0,,,
39343,mbpp+,code-llama-multi-7b,Mbpp/126,0.0,,,
39344,mbpp+,code-llama-multi-7b,Mbpp/127,0.0,,,
39345,mbpp+,code-llama-multi-7b,Mbpp/128,1.0,,,
39346,mbpp+,code-llama-multi-7b,Mbpp/129,0.0,,,
39347,mbpp+,code-llama-multi-7b,Mbpp/130,1.0,,,
39348,mbpp+,code-llama-multi-7b,Mbpp/131,0.0,,,
39349,mbpp+,code-llama-multi-7b,Mbpp/132,1.0,,,
39350,mbpp+,code-llama-multi-7b,Mbpp/133,1.0,,,
39351,mbpp+,code-llama-multi-7b,Mbpp/135,0.0,,,
39352,mbpp+,code-llama-multi-7b,Mbpp/137,0.0,,,
39353,mbpp+,code-llama-multi-7b,Mbpp/138,0.0,,,
39354,mbpp+,code-llama-multi-7b,Mbpp/139,1.0,,,
39355,mbpp+,code-llama-multi-7b,Mbpp/140,0.0,,,
39356,mbpp+,code-llama-multi-7b,Mbpp/141,1.0,,,
39357,mbpp+,code-llama-multi-7b,Mbpp/142,0.0,,,
39358,mbpp+,code-llama-multi-7b,Mbpp/145,1.0,,,
39359,mbpp+,code-llama-multi-7b,Mbpp/160,0.0,,,
39360,mbpp+,code-llama-multi-7b,Mbpp/161,0.0,,,
39361,mbpp+,code-llama-multi-7b,Mbpp/162,0.0,,,
39362,mbpp+,code-llama-multi-7b,Mbpp/165,0.0,,,
39363,mbpp+,code-llama-multi-7b,Mbpp/166,0.0,,,
39364,mbpp+,code-llama-multi-7b,Mbpp/167,1.0,,,
39365,mbpp+,code-llama-multi-7b,Mbpp/168,1.0,,,
39366,mbpp+,code-llama-multi-7b,Mbpp/170,1.0,,,
39367,mbpp+,code-llama-multi-7b,Mbpp/171,1.0,,,
39368,mbpp+,code-llama-multi-7b,Mbpp/172,1.0,,,
39369,mbpp+,code-llama-multi-7b,Mbpp/222,1.0,,,
39370,mbpp+,code-llama-multi-7b,Mbpp/223,0.0,,,
39371,mbpp+,code-llama-multi-7b,Mbpp/224,1.0,,,
39372,mbpp+,code-llama-multi-7b,Mbpp/226,1.0,,,
39373,mbpp+,code-llama-multi-7b,Mbpp/227,0.0,,,
39374,mbpp+,code-llama-multi-7b,Mbpp/230,1.0,,,
39375,mbpp+,code-llama-multi-7b,Mbpp/232,1.0,,,
39376,mbpp+,code-llama-multi-7b,Mbpp/233,0.0,,,
39377,mbpp+,code-llama-multi-7b,Mbpp/234,1.0,,,
39378,mbpp+,code-llama-multi-7b,Mbpp/235,0.0,,,
39379,mbpp+,code-llama-multi-7b,Mbpp/237,0.0,,,
39380,mbpp+,code-llama-multi-7b,Mbpp/238,0.0,,,
39381,mbpp+,code-llama-multi-7b,Mbpp/239,0.0,,,
39382,mbpp+,code-llama-multi-7b,Mbpp/240,0.0,,,
39383,mbpp+,code-llama-multi-7b,Mbpp/242,1.0,,,
39384,mbpp+,code-llama-multi-7b,Mbpp/244,0.0,,,
39385,mbpp+,code-llama-multi-7b,Mbpp/245,0.0,,,
39386,mbpp+,code-llama-multi-7b,Mbpp/247,0.0,,,
39387,mbpp+,code-llama-multi-7b,Mbpp/250,1.0,,,
39388,mbpp+,code-llama-multi-7b,Mbpp/251,1.0,,,
39389,mbpp+,code-llama-multi-7b,Mbpp/252,0.0,,,
39390,mbpp+,code-llama-multi-7b,Mbpp/253,1.0,,,
39391,mbpp+,code-llama-multi-7b,Mbpp/255,0.0,,,
39392,mbpp+,code-llama-multi-7b,Mbpp/256,0.0,,,
39393,mbpp+,code-llama-multi-7b,Mbpp/257,1.0,,,
39394,mbpp+,code-llama-multi-7b,Mbpp/259,0.0,,,
39395,mbpp+,code-llama-multi-7b,Mbpp/260,0.0,,,
