,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
7,Qwen1.5-110B,0.8109243697478992,0.003304406516790302,0.0,0.003304406516790302,,0.3395446314118868,1104.2045670033676
0,Meta-Llama-3-70B,0.7866400797607178,0.003457243516980685,0.0,0.0034572435169806857,,0.3231468858729933,1094.8301389068909
3,Mixtral-8x22B-v0.1,0.7763851303233158,0.0035162072077007047,0.0,0.003516207207700704,,0.31586465094512384,1090.9086098362257
11,Qwen1.5-72B,0.7718273750178037,0.003541419497527154,0.0,0.003541419497527154,,0.3111135979815655,1089.17234135427
13,dbrx-base,0.7427004700185159,0.003689027234645598,0.0,0.0036890272346455978,,0.294713817730482,1078.165885029707
9,Qwen1.5-32B,0.7360062669135451,0.0037198298955975788,0.0,0.0037198298955975783,,0.2884550430341628,1075.656610261558
14,deepseek-llm-67b-base,0.7137159948725252,0.0038145803976698104,0.0,0.00381458039766981,,0.27040714590921117,1067.3503728408
4,Mixtral-8x7B-v0.1,0.703318615581826,0.003854843227061163,0.0,0.0038548432270611626,,0.26660833825055447,1063.4998031780856
8,Qwen1.5-14B,0.6781797464748611,0.003942435617781578,0.0,0.003942435617781578,,0.2526176572323845,1054.2455080997058
1,Meta-Llama-3-8B,0.6531120922945449,0.004016742194891078,0.0,0.004016742194891078,,0.23515168779376158,1045.0856271484822
23,llama2_70B,0.6315339695200114,0.004070826578428687,0.0,0.004070826578428687,,0.22394652776364785,1037.2460539192618
20,gemma-7b,0.6264064948013104,0.004082378803823768,0.0,0.004082378803823768,,0.221036889332004,1035.3884452609718
2,Mistral-7B-v0.1,0.6250534111949865,0.004085345433562446,0.0,0.004085345433562446,,0.21806010539809145,1034.8985494279066
27,llama_65B,0.6223472439823386,0.004091176632948406,0.0,0.004091176632948406,,0.2199055893543858,1033.9191293050767
12,Qwen1.5-7B,0.6051844466600199,0.004125024393680169,0.0,0.004125024393680169,,0.21139845768816,1027.7181966840242
26,llama_33B,0.570360347528842,0.004177460541656707,0.0,0.0041774605416567065,,0.19228233666347896,1015.1808649665396
17,falcon-40b,0.5544794188861986,0.004194325363572369,0.0,0.004194325363572369,,0.19008891692270127,1009.4767918530932
10,Qwen1.5-4B,0.551559606893605,0.004196952989392422,0.0,0.004196952989392422,,0.18559830711945796,1008.4286250058557
22,llama2_13B,0.5366756872240421,0.00420808032654515,0.0,0.00420808032654515,,0.17461289600585997,1003.0872084826005
15,deepseek-llm-7b-base,0.4807719698048711,0.004216325685093755,0.0,0.004216325685093753,,0.15747248051763077,983.0159372460002
21,llama2_07B,0.47315197265346814,0.00421335955774318,0.0,0.00421335955774318,,0.1505646326327141,980.2745648383333
28,mpt-30b,0.4704458054408204,0.0042120694385119955,0.0,0.004212069438511995,,0.15159419700083424,979.3004557000672
6,Qwen1.5-1.8B,0.45570431562455493,0.004202856208518142,0.0,0.004202856208518142,,0.14996642724886564,973.9884110103823
25,llama_13B,0.4556331006979063,0.004202802713827328,0.0,0.004202802713827328,,0.1434655218019411,973.9627233255645
16,deepseek-moe-16b-base,0.44922375729952996,0.00419763307449434,0.0,0.00419763307449434,,0.14482064012045495,971.6497169862138
34,stablelm-3b-4e1t,0.4443099273607748,0.004193192914059202,0.0,0.004193192914059201,,0.14253158890674913,969.87484273697
35,stablelm-base-alpha-7b-v2,0.4435977780942886,0.004192514994614434,0.0,0.004192514994614433,,0.14263535922843715,969.6174957686213
19,gemma-2b,0.41019797749608317,0.004150834347037019,0.0,0.004150834347037019,,0.14281237918896372,957.50872455521
5,Qwen1.5-0.5B,0.3839196695627404,0.0041041608083926635,0.0,0.0041041608083926635,,0.13006897674323967,947.9160949853115
24,llama_07B,0.3505910838911836,0.0040266610399021085,0.0,0.004026661039902109,,0.1256068529106558,935.6430055186535
18,falcon-7b,0.2721122347243982,0.003755707487193506,0.0,0.0037557074871935056,,0.11100779294768755,906.1042146294766
32,pythia-2.8b-deduped,0.26427859279304944,0.0037211159675418744,0.0,0.0037211159675418744,,0.11576901947219566,903.0942639219502
30,pythia-12b-deduped-v0,0.2466885059108389,0.0036378707920835212,0.0,0.003637870792083521,,0.10291777728040369,896.2872514857889
33,pythia-6.9b-deduped-v0,0.24661729098419027,0.0036375175830384962,0.0,0.0036375175830384962,,0.10241113394510347,896.2595511483754
31,pythia-1b-deduped,0.2464036462042444,0.003636457154143237,0.0,0.003636457154143236,,0.10772376747309093,896.1764430869551
29,pythia-1.4b-deduped-v0,0.23280159521435692,0.00356641877278042,0.0,0.0035664187727804195,,0.10233178016969499,890.8629744917032
