,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,3423.0,1875.0,14042.0,0.7866400797607178,0.6531120922945449,0.4319380665235248,0.004166529689876107,0.0040112625456213274,0.0,0.0040112625456213274,7.631355208319925e-238,mmlu
1,Meta-Llama-3-70B,Mistral-7B-v0.1,3893.0,2269.0,14042.0,0.7866400797607178,0.6250534111949865,0.38085486434851223,0.004443377721067226,0.004228967477967373,0.0,0.004228967477967373,3.015950242755711e-308,mmlu
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,2156.0,144.0,14042.0,0.7866400797607178,0.7763851303233158,0.5507163421753386,0.0033067046763264204,0.0033055720489425285,0.0,0.003305572048942529,0.0020649061814721073,mmlu
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,2870.0,1170.0,14042.0,0.7866400797607178,0.703318615581826,0.47839860548937957,0.003815153179313167,0.0037497982007958005,0.0,0.0037497982007958005,1.2565509585951113e-108,mmlu
4,Meta-Llama-3-70B,Qwen1.5-0.5B,7075.0,5655.0,14042.0,0.7866400797607178,0.3839196695627404,0.15734783708670383,0.005990102492971343,0.004932689482110052,0.0,0.004932689482110052,0.0,mmlu
5,Meta-Llama-3-70B,Qwen1.5-1.8B,6163.0,4647.0,14042.0,0.7866400797607178,0.45570431562455493,0.21196481791859945,0.005590711930260624,0.004843212711455222,0.0,0.004843212711455223,0.0,mmlu
6,Meta-Llama-3-70B,Qwen1.5-110B,2175.0,-341.0,14042.0,0.7866400797607178,0.8109243697478992,0.5200819937703018,0.003321243075448232,0.0033149145116681475,0.0,0.003314914511668147,2.7713954384880917e-13,mmlu
7,Meta-Llama-3-70B,Qwen1.5-14B,3289.0,1523.0,14042.0,0.7866400797607178,0.6781797464748611,0.4274663516015725,0.004084162073476618,0.003980280493283924,0.0,0.003980280493283924,3.5474728965488815e-161,mmlu
8,Meta-Llama-3-70B,Qwen1.5-32B,2467.0,711.0,14042.0,0.7866400797607178,0.7360062669135451,0.5233405731043973,0.0035371673374697743,0.003511263754651573,0.0,0.0035112637546515727,5.491180184779733e-47,mmlu
9,Meta-Llama-3-70B,Qwen1.5-4B,4915.0,3301.0,14042.0,0.7866400797607178,0.551559606893605,0.2955136292049963,0.004992669205620598,0.004581616254425714,0.0,0.004581616254425714,0.0,mmlu
10,Meta-Llama-3-70B,Qwen1.5-72B,2236.0,208.0,14042.0,0.7866400797607178,0.7718273750178037,0.5378256247693043,0.003367494777819937,0.0033651738987017423,0.0,0.0033651738987017423,1.1837682226808031e-05,mmlu
11,Meta-Llama-3-70B,Qwen1.5-7B,4022.0,2548.0,14042.0,0.7866400797607178,0.6051844466600199,0.3826937410593909,0.004516396523488941,0.004248882727181385,0.0,0.004248882727181385,0.0,mmlu
12,Meta-Llama-3-70B,dbrx-base,2553.0,617.0,14042.0,0.7866400797607178,0.7427004700185159,0.49989711549683324,0.0035982922935934424,0.0035791358639966652,0.0,0.0035791358639966657,1.6499018496781276e-34,mmlu
13,Meta-Llama-3-70B,deepseek-llm-67b-base,2616.0,1024.0,14042.0,0.7866400797607178,0.7137159948725252,0.5161936805037222,0.0036424189866242477,0.0035900557987032177,0.0,0.003590055798703218,2.335940915193762e-91,mmlu
14,Meta-Llama-3-70B,deepseek-llm-7b-base,6047.0,4295.0,14042.0,0.7866400797607178,0.4807719698048711,0.19636289349200212,0.005537847800089892,0.004899512667692282,0.0,0.004899512667692282,0.0,mmlu
