,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
13,dbrx-base,0.4883656509695291,0.008319530170029916,0.0,0.008319530170029916,,0.2851602690937871,1086.4232376847297
0,Meta-Llama-3-70B,0.43185595567867036,0.008244134811348138,0.0,0.008244134811348138,,0.22496240601503759,1065.5656514230748
3,Mixtral-8x22B-v0.1,0.4218836565096953,0.008219594130339299,0.0,0.008219594130339299,,0.21432528690146418,1061.934495928452
7,Qwen1.5-110B,0.41634349030470913,0.008204478008172932,0.0,0.00820447800817293,,0.20977443609022556,1059.922734650798
27,llama_65B,0.3817174515235457,0.008085574835637304,0.0,0.008085574835637302,,0.18375148397309063,1047.429699140715
14,deepseek-llm-67b-base,0.3767313019390582,0.008064917151736017,0.0,0.008064917151736016,,0.17767313019390582,1045.6409716184123
4,Mixtral-8x7B-v0.1,0.36925207756232686,0.00803222355104896,0.0,0.00803222355104896,,0.171602690937871,1042.9621695287526
11,Qwen1.5-72B,0.3590027700831025,0.00798405233781054,0.0,0.007984052337810538,,0.16785912148793036,1039.2990632585731
26,llama_33B,0.34847645429362883,0.00793045630123917,0.0,0.00793045630123917,,0.15601899485555995,1035.545631935218
23,llama2_70B,0.3329639889196676,0.007843676476339188,0.0,0.00784367647633919,,0.15414325286901465,1030.0284942535711
17,falcon-40b,0.33268698060941826,0.007842040860604622,0.0,0.007842040860604622,,0.1447249703205382,1029.9301140959246
9,Qwen1.5-32B,0.30664819944598337,0.007674382345372784,0.0,0.007674382345372785,,0.13101701622477246,1020.7008844986781
1,Meta-Llama-3-8B,0.29889196675900276,0.007618965237648981,0.0,0.0076189652376489805,,0.1228808864265928,1017.9577616834692
2,Mistral-7B-v0.1,0.2922437673130194,0.007569389949322646,0.0,0.007569389949322647,,0.1192402057776019,1015.60824706181
25,llama_13B,0.28614958448753464,0.007522229287816824,0.0,0.0075222292878168225,,0.11654926790660863,1013.4557418169446
22,llama2_13B,0.27008310249307477,0.007389785198127011,0.0,0.007389785198127012,,0.11294815987336763,1007.7853160574874
16,deepseek-moe-16b-base,0.267590027700831,0.007368150460743899,0.0,0.007368150460743899,,0.10461416699643847,1006.9058539752374
28,mpt-30b,0.2614958448753463,0.0073140052346802025,0.0,0.007314005234680202,,0.10206569054214483,1004.7563931854125
20,gemma-7b,0.2476454293628809,0.007184107781770706,0.0,0.007184107781770706,,0.09630391768895924,999.872292550836
8,Qwen1.5-14B,0.23573407202216065,0.007064473940261565,0.0,0.007064473940261564,,0.08978235061337554,995.6719629613175
18,falcon-7b,0.2260387811634349,0.006961414241914505,0.0,0.006961414241914506,,0.08246933122279383,992.2522099695373
24,llama_07B,0.225207756232687,0.006952335201566295,0.0,0.0069523352015662945,,0.08156707558369608,991.9590283269645
21,llama2_07B,0.22299168975069253,0.006927931263629851,0.0,0.006927931263629851,,0.0849624060150376,991.1771541527762
15,deepseek-llm-7b-base,0.22077562326869807,0.0069032439971319255,0.0,0.006903243997131925,,0.08074396517609814,990.3951917373525
12,Qwen1.5-7B,0.19113573407202217,0.006544178975076355,0.0,0.006544178975076355,,0.06875346260387812,979.9241505179741
34,stablelm-3b-4e1t,0.17590027700831026,0.006336793354348013,0.0,0.006336793354348012,,0.06057776018994856,974.5291145186377
35,stablelm-base-alpha-7b-v2,0.16814404432132965,0.00622459656560948,0.0,0.00622459656560948,,0.05810842896715473,971.7781129743873
10,Qwen1.5-4B,0.15789473684210525,0.006068948005597408,0.0,0.006068948005597409,,0.052473288484368816,968.1375329692767
19,gemma-2b,0.1443213296398892,0.005848803259717013,0.0,0.005848803259717013,,0.04814404432132964,963.3056567257725
30,pythia-12b-deduped-v0,0.1038781163434903,0.005077991545959503,0.0,0.005077991545959503,,0.03211713494261971,948.8200676958859
6,Qwen1.5-1.8B,0.10083102493074793,0.00501145859698523,0.0,0.005011458596985231,,0.03128611001187179,947.7223741746387
33,pythia-6.9b-deduped-v0,0.08836565096952909,0.00472387589988599,0.0,0.00472387589988599,,0.028460625247328848,943.2212203758778
32,pythia-2.8b-deduped,0.06481994459833795,0.004097777229398227,0.0,0.004097777229398227,,0.018361693707954096,934.6682495733156
5,Qwen1.5-0.5B,0.054293628808864264,0.0037713686898672777,0.0,0.003771368689867278,,0.017134942619707164,930.8208299828328
31,pythia-1b-deduped,0.0371191135734072,0.003146527126644047,0.0,0.0031465271266440465,,0.01336762960031658,924.5085487447537
29,pythia-1.4b-deduped-v0,0.02326869806094183,0.0025091116918956303,0.0,0.002509111691895631,,0.007661258409180847,919.3838402506025
