,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,758.0,480.0,3610.0,0.43185595567867036,0.29889196675900276,0.5790925619704745,0.007626537339576845,0.007298405639642164,0.0,0.007298405639642164,4.53976323219707e-73,nq
1,Meta-Llama-3-70B,Mistral-7B-v0.1,766.0,504.0,3610.0,0.43185595567867036,0.2922437673130194,0.5759556859720887,0.00766667728703493,0.007306067044172263,0.0,0.007306067044172264,3.8909038792182535e-80,nq
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,472.0,36.0,3610.0,0.43185595567867036,0.4218836565096953,0.7329672894601015,0.006018160936953029,0.006015871797727396,0.0,0.006015871797727396,0.10707959213902728,nq
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,540.0,226.0,3610.0,0.43185595567867036,0.36925207756232686,0.6956633428802937,0.006437091434139751,0.006352202967693621,0.0,0.006352202967693621,8.31533589900247e-23,nq
4,Meta-Llama-3-70B,Qwen1.5-0.5B,1445.0,1363.0,3610.0,0.43185595567867036,0.054293628808864264,0.17363772881486939,0.010529960004846656,0.008449355359680234,0.0,0.008449355359680232,0.0,nq
5,Meta-Llama-3-70B,Qwen1.5-1.8B,1325.0,1195.0,3610.0,0.43185595567867036,0.10083102493074793,0.2633699186498932,0.010083254694294348,0.008445007151594904,0.0,0.008445007151594904,6.220860975677621e-288,nq
6,Meta-Llama-3-70B,Qwen1.5-110B,478.0,56.0,3610.0,0.43185595567867036,0.41634349030470913,0.7293682074881854,0.006056291165948877,0.006050785432800639,0.0,0.006050785432800639,0.011802703492007368,nq
7,Meta-Llama-3-70B,Qwen1.5-14B,956.0,708.0,3610.0,0.43185595567867036,0.23573407202216065,0.47363981263816485,0.008564889104565267,0.007918493227869987,0.0,0.007918493227869985,2.2969317491506087e-129,nq
8,Meta-Llama-3-70B,Qwen1.5-32B,700.0,452.0,3610.0,0.43185595567867036,0.30664819944598337,0.6123968487219448,0.007328951000178921,0.007026440664249911,0.0,0.007026440664249911,1.8281739821830713e-70,nq
9,Meta-Llama-3-70B,Qwen1.5-4B,1179.0,989.0,3610.0,0.43185595567867036,0.15789473684210525,0.3509643699516851,0.009511515076670026,0.008347342675302388,0.0,0.008347342675302388,3.2780283487190446e-213,nq
10,Meta-Llama-3-70B,Qwen1.5-72B,601.0,263.0,3610.0,0.43185595567867036,0.3590027700831025,0.6613649251427534,0.006790942200626739,0.006681814900342637,0.0,0.006681814900342636,1.6428839419090863e-27,nq
11,Meta-Llama-3-70B,Qwen1.5-7B,1079.0,869.0,3610.0,0.43185595567867036,0.19113573407202217,0.40822216440087983,0.009099206485128445,0.008169698449844926,0.0,0.008169698449844926,5.013261502174767e-177,nq
12,Meta-Llama-3-70B,dbrx-base,734.0,-204.0,3610.0,0.43185595567867036,0.4883656509695291,0.5959005917399943,0.00750482946489976,0.007445661959247967,0.0,0.007445661959247965,4.65945424193156e-14,nq
13,Meta-Llama-3-70B,deepseek-llm-67b-base,505.0,199.0,3610.0,0.43185595567867036,0.3767313019390582,0.7151632795664786,0.006224987549652142,0.006157005541423187,0.0,0.006157005541423187,4.298682190121181e-19,nq
14,Meta-Llama-3-70B,deepseek-llm-7b-base,1012.0,762.0,3610.0,0.43185595567867036,0.22077562326869807,0.4419880722836981,0.008812173806419318,0.008081604281815931,0.0,0.008081604281815931,4.225928530583793e-142,nq
15,Meta-Llama-3-70B,deepseek-moe-16b-base,851.0,593.0,3610.0,0.43185595567867036,0.267590027700831,0.5303377514758917,0.00808085991457885,0.007604321138667368,0.0,0.007604321138667368,1.0735427080772125e-100,nq
16,Meta-Llama-3-70B,falcon-40b,654.0,358.0,3610.0,0.43185595567867036,0.33268698060941826,0.6342053584063535,0.007084050887836245,0.006889088672583262,0.0,0.0068890886725832615,1.0886174057427832e-46,nq
17,Meta-Llama-3-70B,falcon-7b,989.0,743.0,3610.0,0.43185595567867036,0.2260387811634349,0.45540179870699166,0.008711459941006309,0.008009698233551426,0.0,0.008009698233551427,3.4159168863348504e-138,nq
18,Meta-Llama-3-70B,gemma-2b,1218.0,1038.0,3610.0,0.43185595567867036,0.1443213296398892,0.32782882914181954,0.00966755034161504,0.008399972970415469,0.0,0.008399972970415469,5.6819186747332864e-229,nq
19,Meta-Llama-3-70B,gemma-7b,929.0,665.0,3610.0,0.43185595567867036,0.2476454293628809,0.48703929264501206,0.008443075154641646,0.007866743391225997,0.0,0.007866743391225998,1.6022171398588676e-116,nq
20,Meta-Llama-3-70B,llama2_07B,984.0,754.0,3610.0,0.43185595567867036,0.22299168975069253,0.4599544537222928,0.008689411158647159,0.007963766555924,0.0,0.007963766555924,7.327512696769011e-144,nq
21,Meta-Llama-3-70B,llama2_13B,874.0,584.0,3610.0,0.43185595567867036,0.27008310249307477,0.5150729703268591,0.008189332686478938,0.007734063359393649,0.0,0.007734063359393649,2.572679450094333e-94,nq
22,Meta-Llama-3-70B,llama2_70B,669.0,357.0,3610.0,0.43185595567867036,0.3329639889196676,0.6252541344496227,0.007164829449516655,0.006973216239855919,0.0,0.006973216239855918,2.6457255097957086e-45,nq
23,Meta-Llama-3-70B,llama_07B,960.0,746.0,3610.0,0.43185595567867036,0.225207756232687,0.47513515343809753,0.008582788578853001,0.007863526016625514,0.0,0.007863526016625516,5.231309563305809e-145,nq
24,Meta-Llama-3-70B,llama_13B,812.0,526.0,3610.0,0.43185595567867036,0.28614958448753464,0.5492525004333735,0.00789352179987535,0.0075117710272517195,0.0,0.0075117710272517195,4.678241326922543e-82,nq
25,Meta-Llama-3-70B,llama_33B,599.0,301.0,3610.0,0.43185595567867036,0.34847645429362883,0.6639690953536503,0.006779633379789705,0.006636085281530394,0.0,0.006636085281530394,4.589315966585085e-36,nq
26,Meta-Llama-3-70B,llama_65B,575.0,181.0,3610.0,0.43185595567867036,0.3817174515235457,0.6744580711594458,0.006642425932566093,0.006589799655516425,0.0,0.006589799655516427,3.761923774482164e-14,nq
27,Meta-Llama-3-70B,mpt-30b,879.0,615.0,3610.0,0.43185595567867036,0.2614958448753463,0.5145398768239375,0.008212724144251298,0.007707745813662961,0.0,0.007707745813662961,6.846311319568597e-105,nq
28,Meta-Llama-3-70B,pythia-1.4b-deduped-v0,1519.0,1475.0,3610.0,0.43185595567867036,0.02326869806094183,0.09542467766720966,0.010796218986096996,0.008385320179337583,0.0,0.008385320179337583,0.0,nq
29,Meta-Llama-3-70B,pythia-12b-deduped-v0,1320.0,1184.0,3610.0,0.43185595567867036,0.1038781163434903,0.2658754860830099,0.010064211703371163,0.00845521862543538,0.0,0.00845521862543538,1.017692111309167e-282,nq
30,Meta-Llama-3-70B,pythia-1b-deduped,1499.0,1425.0,3610.0,0.43185595567867036,0.0371191135734072,0.11575328600671726,0.010724908965432654,0.008477087949085515,0.0,0.008477087949085515,0.0,nq
31,Meta-Llama-3-70B,pythia-2.8b-deduped,1409.0,1325.0,3610.0,0.43185595567867036,0.06481994459833795,0.20657338537411934,0.010397963644943746,0.008414294586160529,0.0,0.00841429458616053,0.0,nq
32,Meta-Llama-3-70B,pythia-6.9b-deduped-v0,1384.0,1240.0,3610.0,0.43185595567867036,0.08836565096952909,0.2152363275927236,0.01030530484085223,0.008574165796236217,0.0,0.008574165796236217,1.8136181402981362e-295,nq
33,Meta-Llama-3-70B,stablelm-3b-4e1t,1128.0,924.0,3610.0,0.43185595567867036,0.17590027700831026,0.38009079869734913,0.009303521121189288,0.008270899231921659,0.0,0.008270899231921659,1.2349645029262227e-192,nq
34,Meta-Llama-3-70B,stablelm-base-alpha-7b-v2,1162.0,952.0,3610.0,0.43185595567867036,0.16814404432132965,0.35866859461981615,0.009442692824963609,0.008360633323006095,0.0,0.008360633323006095,1.8089595019050707e-198,nq
35,Meta-Llama-3-8B,Meta-Llama-3-70B,758.0,-480.0,3610.0,0.29889196675900276,0.43185595567867036,0.5790925619704745,0.007626537339576845,0.007298405639642164,0.0,0.007298405639642164,4.53976323219707e-73,nq
36,Meta-Llama-3-8B,Mistral-7B-v0.1,508.0,24.0,3610.0,0.29889196675900276,0.2922437673130194,0.6621696820868425,0.006243450232456867,0.006242469658547626,0.0,0.006242469658547626,0.3075072770183945,nq
37,Meta-Llama-3-8B,Mixtral-8x22B-v0.1,724.0,-444.0,3610.0,0.29889196675900276,0.4218836565096953,0.5927804946705761,0.007453531328018677,0.007166926594214632,0.0,0.007166926594214632,2.8553874870162998e-65,nq
38,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,602.0,-254.0,3610.0,0.29889196675900276,0.36925207756232686,0.6351836225854871,0.0067965895547840985,0.006694944915208835,0.0,0.0066949449152088345,1.157075224780438e-25,nq
39,Meta-Llama-3-8B,Qwen1.5-0.5B,981.0,883.0,3610.0,0.29889196675900276,0.054293628808864264,0.23611699382485923,0.008676154993554475,0.007661769781496562,0.0,0.007661769781496562,1.9600228072194417e-212,nq
40,Meta-Llama-3-8B,Qwen1.5-1.8B,865.0,715.0,3610.0,0.29889196675900276,0.10083102493074793,0.36214980467042274,0.008147058819863015,0.007450372310088609,0.0,0.0074503723100886095,2.51073859381952e-151,nq
41,Meta-Llama-3-8B,Qwen1.5-110B,700.0,-424.0,3610.0,0.29889196675900276,0.41634349030470913,0.6036658317773738,0.007328951000178921,0.007063443338637761,0.0,0.007063443338637761,1.561798712959166e-61,nq
42,Meta-Llama-3-8B,Qwen1.5-14B,606.0,228.0,3610.0,0.29889196675900276,0.23573407202216065,0.5811519480164247,0.006819132202266577,0.006737625701621431,0.0,0.006737625701621431,1.0233233797370523e-20,nq
43,Meta-Llama-3-8B,Qwen1.5-32B,584.0,-28.0,3610.0,0.29889196675900276,0.30664819944598337,0.6169656564202428,0.006694208295620262,0.006692963478304033,0.0,0.006692963478304033,0.26386299082519243,nq
44,Meta-Llama-3-8B,Qwen1.5-4B,733.0,509.0,3610.0,0.29889196675900276,0.15789473684210525,0.4773234299077102,0.0074997154408204345,0.00712311349508426,0.0,0.00712311349508426,2.7728785887892216e-86,nq
45,Meta-Llama-3-8B,Qwen1.5-72B,627.0,-217.0,3610.0,0.29889196675900276,0.3590027700831025,0.6138616077475108,0.006936279238531255,0.006863749204629887,0.0,0.0068637492046298865,2.9280539381265396e-18,nq
46,Meta-Llama-3-8B,Qwen1.5-7B,697.0,389.0,3610.0,0.29889196675900276,0.19113573407202217,0.5075027423368423,0.0073132292423512945,0.0070899129813662256,0.0,0.0070899129813662256,1.1142038657116903e-51,nq
47,Meta-Llama-3-8B,dbrx-base,976.0,-684.0,3610.0,0.29889196675900276,0.4883656509695291,0.4915571543257815,0.008654016261392415,0.008058990158877864,0.0,0.008058990158877864,1.0135852467906409e-116,nq
