,benchmark_id,model,example_id,pass1,N,date,hyperparams
1372799,piqa,falcon-7b,piqa/0,1.0,,,
1372800,piqa,falcon-7b,piqa/1,0.0,,,
1372801,piqa,falcon-7b,piqa/2,1.0,,,
1372802,piqa,falcon-7b,piqa/3,1.0,,,
1372803,piqa,falcon-7b,piqa/4,1.0,,,
1372804,piqa,falcon-7b,piqa/5,1.0,,,
1372805,piqa,falcon-7b,piqa/6,1.0,,,
1372806,piqa,falcon-7b,piqa/7,1.0,,,
1372807,piqa,falcon-7b,piqa/8,1.0,,,
1372808,piqa,falcon-7b,piqa/9,1.0,,,
1372809,piqa,falcon-7b,piqa/10,1.0,,,
1372810,piqa,falcon-7b,piqa/11,1.0,,,
1372811,piqa,falcon-7b,piqa/12,1.0,,,
1372812,piqa,falcon-7b,piqa/13,1.0,,,
1372813,piqa,falcon-7b,piqa/14,0.0,,,
1372814,piqa,falcon-7b,piqa/15,1.0,,,
1372815,piqa,falcon-7b,piqa/16,1.0,,,
1372816,piqa,falcon-7b,piqa/17,1.0,,,
1372817,piqa,falcon-7b,piqa/18,1.0,,,
1372818,piqa,falcon-7b,piqa/19,0.0,,,
1372819,piqa,falcon-7b,piqa/20,1.0,,,
1372820,piqa,falcon-7b,piqa/21,1.0,,,
1372821,piqa,falcon-7b,piqa/22,0.0,,,
1372822,piqa,falcon-7b,piqa/23,1.0,,,
1372823,piqa,falcon-7b,piqa/24,1.0,,,
1372824,piqa,falcon-7b,piqa/25,1.0,,,
1372825,piqa,falcon-7b,piqa/26,1.0,,,
1372826,piqa,falcon-7b,piqa/27,1.0,,,
1372827,piqa,falcon-7b,piqa/28,1.0,,,
1372828,piqa,falcon-7b,piqa/29,1.0,,,
1372829,piqa,falcon-7b,piqa/30,1.0,,,
1372830,piqa,falcon-7b,piqa/31,1.0,,,
1372831,piqa,falcon-7b,piqa/32,1.0,,,
1372832,piqa,falcon-7b,piqa/33,0.0,,,
1372833,piqa,falcon-7b,piqa/34,1.0,,,
1372834,piqa,falcon-7b,piqa/35,1.0,,,
1372835,piqa,falcon-7b,piqa/36,1.0,,,
1372836,piqa,falcon-7b,piqa/37,0.0,,,
1372837,piqa,falcon-7b,piqa/38,1.0,,,
1372838,piqa,falcon-7b,piqa/39,1.0,,,
1372839,piqa,falcon-7b,piqa/40,1.0,,,
1372840,piqa,falcon-7b,piqa/41,0.0,,,
1372841,piqa,falcon-7b,piqa/42,1.0,,,
1372842,piqa,falcon-7b,piqa/43,1.0,,,
1372843,piqa,falcon-7b,piqa/44,1.0,,,
1372844,piqa,falcon-7b,piqa/45,1.0,,,
1372845,piqa,falcon-7b,piqa/46,0.0,,,
1372846,piqa,falcon-7b,piqa/47,0.0,,,
1372847,piqa,falcon-7b,piqa/48,1.0,,,
1372848,piqa,falcon-7b,piqa/49,0.0,,,
1372849,piqa,falcon-7b,piqa/50,1.0,,,
1372850,piqa,falcon-7b,piqa/51,1.0,,,
1372851,piqa,falcon-7b,piqa/52,1.0,,,
1372852,piqa,falcon-7b,piqa/53,1.0,,,
1372853,piqa,falcon-7b,piqa/54,0.0,,,
1372854,piqa,falcon-7b,piqa/55,1.0,,,
1372855,piqa,falcon-7b,piqa/56,1.0,,,
1372856,piqa,falcon-7b,piqa/57,0.0,,,
1372857,piqa,falcon-7b,piqa/58,1.0,,,
1372858,piqa,falcon-7b,piqa/59,1.0,,,
1372859,piqa,falcon-7b,piqa/60,1.0,,,
1372860,piqa,falcon-7b,piqa/61,1.0,,,
1372861,piqa,falcon-7b,piqa/62,1.0,,,
1372862,piqa,falcon-7b,piqa/63,1.0,,,
1372863,piqa,falcon-7b,piqa/64,0.0,,,
