,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
3,Mixtral-8x22B-v0.1,0.8541893362350381,0.008231878706518786,0.0,0.008231878706518784,,0.08433079434167573,1020.0833963388958
13,dbrx-base,0.8536452665941241,0.008244595467058146,0.0,0.008244595467058146,,0.09056427794186227,1019.8934535393508
0,Meta-Llama-3-70B,0.8443960826985855,0.008454941644126654,0.0,0.008454941644126652,,0.07547023161821856,1016.66609056139
7,Qwen1.5-110B,0.8433079434167573,0.008478984324984203,0.0,0.008478984324984205,,0.07523705891496969,1016.2865937482634
4,Mixtral-8x7B-v0.1,0.8367791077257889,0.008620263364797303,0.0,0.008620263364797303,,0.06964091403699674,1014.0103714016732
14,deepseek-llm-67b-base,0.8313384113166485,0.008734222747336293,0.0,0.008734222747336293,,0.06625213741644645,1012.1144167616175
17,falcon-40b,0.8307943416757345,0.008745435729055033,0.0,0.008745435729055033,,0.06673402766982746,1011.9248615584038
2,Mistral-7B-v0.1,0.8280739934711643,0.008801011874504543,0.0,0.008801011874504544,,0.06486864604383646,1010.977186598085
9,Qwen1.5-32B,0.8269858541893362,0.00882301654030806,0.0,0.008823016540308058,,0.06617441318203016,1010.5981617311508
11,Qwen1.5-72B,0.8269858541893362,0.00882301654030806,0.0,0.008823016540308058,,0.06438675579045547,1010.5981617311508
27,llama_65B,0.8264417845484222,0.00883397097262496,0.0,0.008833970972624958,,0.0628478159490129,1010.4086585279151
26,llama_33B,0.8215451577801959,0.008931144888819489,0.0,0.008931144888819489,,0.060593813150940465,1008.703386896839
28,mpt-30b,0.8122959738846572,0.009107961597951976,0.0,0.009107961597951977,,0.057749106171304215,1005.4833634288626
1,Meta-Llama-3-8B,0.8106637649619152,0.009138280731207303,0.0,0.009138280731207303,,0.056676511736359396,1004.9152340693896
20,gemma-7b,0.8106637649619152,0.009138280731207303,0.0,0.009138280731207303,,0.05788900979325354,1004.9152340693896
23,llama2_70B,0.8079434167573449,0.009188239753576974,0.0,0.009188239753576976,,0.0659723301725478,1003.9684068980756
18,falcon-7b,0.8057671381936888,0.009227698086196254,0.0,0.009227698086196253,,0.05254158246541272,1003.2109868413452
16,deepseek-moe-16b-base,0.8003264417845484,0.009324404556280239,0.0,0.00932440455628024,,0.0519508782838489,1001.3175501050794
35,stablelm-base-alpha-7b-v2,0.8003264417845484,0.009324404556280239,0.0,0.00932440455628024,,0.05279030001554485,1001.3175501050794
8,Qwen1.5-14B,0.7992383025027203,0.009343418901908733,0.0,0.009343418901908733,,0.05485776465101819,1000.9388751693738
25,llama_13B,0.7992383025027203,0.009343418901908733,0.0,0.009343418901908733,,0.05094046323643712,1000.9388751693738
34,stablelm-3b-4e1t,0.7976060935799782,0.009371739202639968,0.0,0.009371739202639968,,0.049370433701228046,1000.370866403791
22,llama2_13B,0.7970620239390642,0.009381125969029762,0.0,0.009381125969029762,,0.06130887610757034,1000.1815306793136
24,llama_07B,0.795429815016322,0.009409127383986561,0.0,0.009409127383986563,,0.04671226488419089,999.6135235600799
12,Qwen1.5-7B,0.79379760609358,0.009436892120344115,0.0,0.009436892120344115,,0.05233949945593036,999.0455142152192
15,deepseek-llm-7b-base,0.79379760609358,0.009436892120344114,0.0,0.009436892120344115,,0.04567076014301259,999.0455142152192
19,gemma-2b,0.7818280739934712,0.009633460251902709,0.0,0.009633460251902709,,0.04498678688014923,994.8797624214518
10,Qwen1.5-4B,0.7731229597388466,0.009768925686384369,0.0,0.009768925686384369,,0.04366547489507228,991.8492817466896
30,pythia-12b-deduped-v0,0.7698585418933623,0.009818160854860734,0.0,0.009818160854860735,,0.040665319446603454,990.7125622620567
21,llama2_07B,0.7687704026115343,0.009834386792824348,0.0,0.00983438679282435,,0.055806000310896935,990.3336136932271
33,pythia-6.9b-deduped-v0,0.7611534276387377,0.009945413781999157,0.0,0.009945413781999157,,0.03883102751437898,987.6802947364574
6,Qwen1.5-1.8B,0.7437431991294886,0.010183016565609361,0.0,0.010183016565609361,,0.03988807710244054,981.6098167994122
32,pythia-2.8b-deduped,0.7372143634385201,0.010266560066166113,0.0,0.010266560066166115,,0.03522462303746308,979.3307690693841
31,pythia-1b-deduped,0.7013057671381937,0.010675651063746728,0.0,0.01067565106374673,,0.029162132752992384,966.7602608742595
29,pythia-1.4b-deduped-v0,0.6958650707290533,0.010730573054525598,0.0,0.0107305730545256,,0.03939064200217628,964.8491653948962
5,Qwen1.5-0.5B,0.6947769314472253,0.01074134383318798,0.0,0.010741343833187979,,0.033810041971086585,964.4667086778385
