,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,148.0,62.0,1838.0,0.8443960826985855,0.8106637649619152,0.7235199150147777,0.006618892851249423,0.006571960320687162,0.0,0.006571960320687162,3.639315619509465e-07,piqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,140.0,30.0,1838.0,0.8443960826985855,0.8280739934711643,0.7233180486628842,0.006437518806419604,0.006426251042816315,0.0,0.006426251042816313,0.01395733412484244,piqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,110.0,-18.0,1838.0,0.8443960826985855,0.8541893362350381,0.7668151413082436,0.00570625053411399,0.005701676475187031,0.0,0.005701676475187031,0.10461305811126718,piqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,118.0,14.0,1838.0,0.8443960826985855,0.8367791077257889,0.7607803055126752,0.005910109081175308,0.005907437968488062,0.0,0.005907437968488062,0.23126568219748722,piqa
4,Meta-Llama-3-70B,Qwen1.5-0.5B,345.0,275.0,1838.0,0.8443960826985855,0.6947769314472253,0.5335865658181493,0.010105645060395381,0.009483911572958838,0.0,0.009483911572958838,3.3998030744576363e-56,piqa
5,Meta-Llama-3-70B,Qwen1.5-1.8B,277.0,185.0,1838.0,0.8443960826985855,0.7437431991294886,0.5731720684079271,0.009055123491345613,0.008745472559851242,0.0,0.008745472559851242,8.0323114036444e-31,piqa
6,Meta-Llama-3-70B,Qwen1.5-110B,116.0,2.0,1838.0,0.8443960826985855,0.8433079434167573,0.7605211999163074,0.005859809365761158,0.005859754397496834,0.0,0.005859754397496833,0.9260777633148564,piqa
7,Meta-Llama-3-70B,Qwen1.5-14B,173.0,83.0,1838.0,0.8443960826985855,0.7992383025027203,0.6878963632976256,0.007156118845465673,0.007078174655649689,0.0,0.007078174655649688,2.0371817840373796e-10,piqa
8,Meta-Llama-3-70B,Qwen1.5-32B,144.0,32.0,1838.0,0.8443960826985855,0.8269858541893362,0.7163111004492891,0.006528835690968443,0.0065161936155638655,0.0,0.006516193615563864,0.009543281732431066,piqa
9,Meta-Llama-3-70B,Qwen1.5-4B,215.0,131.0,1838.0,0.8443960826985855,0.7731229597388466,0.641917295541258,0.007977626930693787,0.007802482611109903,0.0,0.007802482611109903,4.4637769092992895e-20,piqa
