,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
8,deepseek-coder-33b,0.6605530474040632,0.0035571972551484226,0.0,0.003557197255148423,,0.30666825954166754,1093.3726590315466
9,deepseek-coder-6.7b,0.6038374717832957,0.0036742175611959534,0.0,0.0036742175611959543,,0.26053375163615966,1072.2478133339964
20,wizardcoder-33b,0.5806269095847006,0.003711773223753114,0.0,0.003711773223753114,,0.2558297321559049,1063.8974238707428
17,starcoderbase-16b,0.4956546275395034,0.003755966793526446,0.0,0.003755966793526447,,0.1817591572998691,1033.9478852068455
4,codellama-13b,0.4944130925507901,0.003755874153683053,0.0,0.003755874153683054,,0.18749870146059713,1032.536563399025
11,gpt-4-1106-preview,0.48820541760722347,0.0037550634575631587,0.0,0.0037550634575631587,,0.22861305603457233,1030.9515945846265
7,deepseek-coder-1.3b,0.4785553047404063,0.0037526523730891815,0.0,0.003752652373089182,,0.17406401279840436,1027.5853440688863
18,wizardcoder-15b,0.4715575620767494,0.003750026544112089,0.0,0.0037500265441120896,,0.1687867486651015,1025.571003171084
5,codellama-34b,0.4637697516930023,0.0037462348977349937,0.0,0.003746234897734994,,0.16922565498327483,1021.6912415677559
6,codellama-7b,0.44085778781038376,0.003729739843030395,0.0,0.003729739843030395,,0.1574141405746816,1013.0871692612866
14,mixtral-8x7b,0.422234762979684,0.0037104009134531326,0.0,0.0037104009134531326,,0.14588570775591614,1007.3516033834001
21,wizardcoder-3b,0.4072234762979684,0.00369088099506588,0.0,0.003690880995065881,,0.13247698988178097,1002.8990272223315
10,gpt-3.5-turbo-0301,0.34672686230248306,0.0035752736344185298,0.0,0.0035752736344185298,,0.13559088736988636,981.1490233240085
19,wizardcoder-1b,0.34418735891647856,0.003569073493587452,0.0,0.0035690734935874516,,0.09987845671189047,980.7320441832022
0,codegen-16b,0.30806997742663655,0.003468357988322045,0.0,0.0034683579883220453,,0.07657746566661819,966.7228575810019
3,codegen-6b,0.2912528216704289,0.0034130989832216623,0.0,0.0034130989832216628,,0.06969520683135609,960.5564794090492
16,phi-2,0.2910270880361174,0.0034123193530380836,0.0,0.0034123193530380836,,0.06991595852984563,960.0088127687724
1,codegen-2b,0.2822234762979684,0.003381110267882604,0.0,0.0033811102678826047,,0.06666701294384077,957.7585515403711
13,incoder-6b,0.27020316027088037,0.0033359101327352365,0.0,0.003335910132735237,,0.08157164821009329,954.3176639027512
15,phi-1.5,0.2443566591422122,0.003228038162211978,0.0,0.003228038162211979,,0.05443477176871455,943.7234324770943
12,incoder-1b,0.2234762979683973,0.0031294011194668166,0.0,0.003129401119466817,,0.06544898298393967,937.4742360384066
2,codegen-350m,0.21230248306997743,0.0030720297437921646,0.0,0.003072029743792165,,0.046383827470860776,932.4175706738154
