,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,codegen-16b,codegen-2b,2518.0,460.0,18340.0,0.30763358778625954,0.28255179934569247,0.6714521691066367,0.0027360783621143683,0.002729802729811479,0.0,0.002729802729811479,4.6234568093290995e-20,safim
1,codegen-16b,codegen-350m,3331.0,1745.0,18340.0,0.30763358778625954,0.21248636859323883,0.550238317679408,0.003146936538824008,0.0030675054102596243,0.0,0.003067505410259624,8.23358796341705e-211,safim
2,codegen-16b,codegen-6b,2451.0,317.0,18340.0,0.30763358778625954,0.29034896401308613,0.6818829840025586,0.00269943158004069,0.0026964125938172593,0.0,0.0026964125938172597,1.642253190551851e-10,safim
3,codegen-16b,codellama-13b,5191.0,-3409.0,18340.0,0.30763358778625954,0.4935114503816794,0.46472951383143385,0.003928494804371875,0.0036809209988069073,0.0,0.0036809209988069073,0.0,safim
4,codegen-16b,codellama-34b,4667.0,-2849.0,18340.0,0.30763358778625954,0.4629770992366412,0.5025235199083669,0.0037249424652679546,0.0035439251389999702,0.0,0.00354392513899997,0.0,safim
5,codegen-16b,codellama-7b,4857.0,-2403.0,18340.0,0.30763358778625954,0.4386586695747001,0.4619131338275413,0.0038000098329391335,0.003674779190530299,0.0,0.0036747791905302985,5.170678075911906e-272,safim
6,codegen-16b,deepseek-coder-1.3b,4870.0,-3154.0,18340.0,0.30763358778625954,0.4796074154852781,0.49143301927400884,0.003805091891465191,0.0035869386701865955,0.0,0.003586938670186596,0.0,safim
7,codegen-16b,deepseek-coder-33b,7296.0,-6464.0,18340.0,0.30763358778625954,0.6600872410032715,0.37457601349872766,0.0046573950935796336,0.003862377582749086,0.0,0.0038623775827490857,0.0,safim
8,codegen-16b,deepseek-coder-6.7b,6497.0,-5425.0,18340.0,0.30763358778625954,0.6034351145038168,0.4109175405257222,0.00439498201338858,0.0038137847296445984,0.0,0.0038137847296445984,0.0,safim
9,codegen-16b,gpt-3.5-turbo-0301,5502.0,-746.0,18340.0,0.30763358778625954,0.34830970556161395,0.32208234163585897,0.004044463884548025,0.00403329554147762,0.0,0.004033295541477619,8.380596793785528e-24,safim
10,codegen-16b,gpt-4-1106-preview,6879.0,-3327.0,18340.0,0.30763358778625954,0.4890403489640131,0.26159701092984927,0.004522341175516677,0.004319400172923039,0.0,0.004319400172923039,0.0,safim
