,benchmark_id,model,example_id,pass1,N,date,hyperparams
1438967,siqa,falcon-7b,siqa/0,0.0,,,
1438968,siqa,falcon-7b,siqa/1,0.0,,,
1438969,siqa,falcon-7b,siqa/2,1.0,,,
1438970,siqa,falcon-7b,siqa/3,1.0,,,
1438971,siqa,falcon-7b,siqa/4,1.0,,,
1438972,siqa,falcon-7b,siqa/5,0.0,,,
1438973,siqa,falcon-7b,siqa/6,0.0,,,
1438974,siqa,falcon-7b,siqa/7,1.0,,,
1438975,siqa,falcon-7b,siqa/8,0.0,,,
1438976,siqa,falcon-7b,siqa/9,1.0,,,
1438977,siqa,falcon-7b,siqa/10,0.0,,,
1438978,siqa,falcon-7b,siqa/11,0.0,,,
1438979,siqa,falcon-7b,siqa/12,1.0,,,
1438980,siqa,falcon-7b,siqa/13,1.0,,,
1438981,siqa,falcon-7b,siqa/14,0.0,,,
1438982,siqa,falcon-7b,siqa/15,1.0,,,
1438983,siqa,falcon-7b,siqa/16,1.0,,,
1438984,siqa,falcon-7b,siqa/17,1.0,,,
1438985,siqa,falcon-7b,siqa/18,0.0,,,
1438986,siqa,falcon-7b,siqa/19,1.0,,,
1438987,siqa,falcon-7b,siqa/20,0.0,,,
1438988,siqa,falcon-7b,siqa/21,0.0,,,
1438989,siqa,falcon-7b,siqa/22,0.0,,,
1438990,siqa,falcon-7b,siqa/23,0.0,,,
1438991,siqa,falcon-7b,siqa/24,1.0,,,
1438992,siqa,falcon-7b,siqa/25,1.0,,,
1438993,siqa,falcon-7b,siqa/26,1.0,,,
1438994,siqa,falcon-7b,siqa/27,1.0,,,
1438995,siqa,falcon-7b,siqa/28,1.0,,,
1438996,siqa,falcon-7b,siqa/29,1.0,,,
1438997,siqa,falcon-7b,siqa/30,1.0,,,
1438998,siqa,falcon-7b,siqa/31,1.0,,,
1438999,siqa,falcon-7b,siqa/32,0.0,,,
1439000,siqa,falcon-7b,siqa/33,1.0,,,
1439001,siqa,falcon-7b,siqa/34,0.0,,,
1439002,siqa,falcon-7b,siqa/35,1.0,,,
1439003,siqa,falcon-7b,siqa/36,1.0,,,
1439004,siqa,falcon-7b,siqa/37,1.0,,,
1439005,siqa,falcon-7b,siqa/38,0.0,,,
1439006,siqa,falcon-7b,siqa/39,0.0,,,
1439007,siqa,falcon-7b,siqa/40,0.0,,,
1439008,siqa,falcon-7b,siqa/41,0.0,,,
1439009,siqa,falcon-7b,siqa/42,0.0,,,
1439010,siqa,falcon-7b,siqa/43,0.0,,,
1439011,siqa,falcon-7b,siqa/44,0.0,,,
1439012,siqa,falcon-7b,siqa/45,1.0,,,
1439013,siqa,falcon-7b,siqa/46,0.0,,,
1439014,siqa,falcon-7b,siqa/47,1.0,,,
1439015,siqa,falcon-7b,siqa/48,1.0,,,
1439016,siqa,falcon-7b,siqa/49,1.0,,,
1439017,siqa,falcon-7b,siqa/50,1.0,,,
1439018,siqa,falcon-7b,siqa/51,0.0,,,
1439019,siqa,falcon-7b,siqa/52,0.0,,,
1439020,siqa,falcon-7b,siqa/53,1.0,,,
1439021,siqa,falcon-7b,siqa/54,0.0,,,
1439022,siqa,falcon-7b,siqa/55,0.0,,,
1439023,siqa,falcon-7b,siqa/56,1.0,,,
1439024,siqa,falcon-7b,siqa/57,0.0,,,
1439025,siqa,falcon-7b,siqa/58,0.0,,,
1439026,siqa,falcon-7b,siqa/59,1.0,,,
1439027,siqa,falcon-7b,siqa/60,0.0,,,
1439028,siqa,falcon-7b,siqa/61,1.0,,,
1439029,siqa,falcon-7b,siqa/62,0.0,,,
1439030,siqa,falcon-7b,siqa/63,0.0,,,
1439031,siqa,falcon-7b,siqa/64,1.0,,,
1439032,siqa,falcon-7b,siqa/65,1.0,,,
1439033,siqa,falcon-7b,siqa/66,0.0,,,
1439034,siqa,falcon-7b,siqa/67,1.0,,,
1439035,siqa,falcon-7b,siqa/68,0.0,,,
1439036,siqa,falcon-7b,siqa/69,1.0,,,
1439037,siqa,falcon-7b,siqa/70,0.0,,,
1439038,siqa,falcon-7b,siqa/71,0.0,,,
1439039,siqa,falcon-7b,siqa/72,0.0,,,
1439040,siqa,falcon-7b,siqa/73,1.0,,,
1439041,siqa,falcon-7b,siqa/74,0.0,,,
1439042,siqa,falcon-7b,siqa/75,0.0,,,
1439043,siqa,falcon-7b,siqa/76,0.0,,,
1439044,siqa,falcon-7b,siqa/77,0.0,,,
1439045,siqa,falcon-7b,siqa/78,0.0,,,
1439046,siqa,falcon-7b,siqa/79,1.0,,,
1439047,siqa,falcon-7b,siqa/80,0.0,,,
1439048,siqa,falcon-7b,siqa/81,0.0,,,
1439049,siqa,falcon-7b,siqa/82,0.0,,,
1439050,siqa,falcon-7b,siqa/83,0.0,,,
1439051,siqa,falcon-7b,siqa/84,0.0,,,
1439052,siqa,falcon-7b,siqa/85,0.0,,,
1439053,siqa,falcon-7b,siqa/86,0.0,,,
1439054,siqa,falcon-7b,siqa/87,0.0,,,
1439055,siqa,falcon-7b,siqa/88,0.0,,,
1439056,siqa,falcon-7b,siqa/89,0.0,,,
1439057,siqa,falcon-7b,siqa/90,0.0,,,
1439058,siqa,falcon-7b,siqa/91,1.0,,,
1439059,siqa,falcon-7b,siqa/92,0.0,,,
1439060,siqa,falcon-7b,siqa/93,1.0,,,
1439061,siqa,falcon-7b,siqa/94,1.0,,,
1439062,siqa,falcon-7b,siqa/95,1.0,,,
1439063,siqa,falcon-7b,siqa/96,1.0,,,
1439064,siqa,falcon-7b,siqa/97,1.0,,,
1439065,siqa,falcon-7b,siqa/98,0.0,,,
1439066,siqa,falcon-7b,siqa/99,0.0,,,
1439067,siqa,falcon-7b,siqa/100,1.0,,,
1439068,siqa,falcon-7b,siqa/101,1.0,,,
1439069,siqa,falcon-7b,siqa/102,0.0,,,
1439070,siqa,falcon-7b,siqa/103,1.0,,,
1439071,siqa,falcon-7b,siqa/104,0.0,,,
1439072,siqa,falcon-7b,siqa/105,0.0,,,
1439073,siqa,falcon-7b,siqa/106,0.0,,,
1439074,siqa,falcon-7b,siqa/107,1.0,,,
1439075,siqa,falcon-7b,siqa/108,1.0,,,
1439076,siqa,falcon-7b,siqa/109,1.0,,,
1439077,siqa,falcon-7b,siqa/110,0.0,,,
1439078,siqa,falcon-7b,siqa/111,1.0,,,
1439079,siqa,falcon-7b,siqa/112,1.0,,,
1439080,siqa,falcon-7b,siqa/113,0.0,,,
1439081,siqa,falcon-7b,siqa/114,1.0,,,
1439082,siqa,falcon-7b,siqa/115,1.0,,,
1439083,siqa,falcon-7b,siqa/116,1.0,,,
1439084,siqa,falcon-7b,siqa/117,1.0,,,
1439085,siqa,falcon-7b,siqa/118,1.0,,,
1439086,siqa,falcon-7b,siqa/119,1.0,,,
1439087,siqa,falcon-7b,siqa/120,1.0,,,
1439088,siqa,falcon-7b,siqa/121,1.0,,,
1439089,siqa,falcon-7b,siqa/122,1.0,,,
1439090,siqa,falcon-7b,siqa/123,1.0,,,
1439091,siqa,falcon-7b,siqa/124,1.0,,,
1439092,siqa,falcon-7b,siqa/125,0.0,,,
1439093,siqa,falcon-7b,siqa/126,1.0,,,
1439094,siqa,falcon-7b,siqa/127,1.0,,,
1439095,siqa,falcon-7b,siqa/128,1.0,,,
1439096,siqa,falcon-7b,siqa/129,0.0,,,
1439097,siqa,falcon-7b,siqa/130,1.0,,,
1439098,siqa,falcon-7b,siqa/131,0.0,,,
1439099,siqa,falcon-7b,siqa/132,0.0,,,
1439100,siqa,falcon-7b,siqa/133,1.0,,,
1439101,siqa,falcon-7b,siqa/134,0.0,,,
1439102,siqa,falcon-7b,siqa/135,0.0,,,
1439103,siqa,falcon-7b,siqa/136,1.0,,,
1439104,siqa,falcon-7b,siqa/137,0.0,,,
1439105,siqa,falcon-7b,siqa/138,0.0,,,
1439106,siqa,falcon-7b,siqa/139,1.0,,,
1439107,siqa,falcon-7b,siqa/140,1.0,,,
1439108,siqa,falcon-7b,siqa/141,1.0,,,
1439109,siqa,falcon-7b,siqa/142,0.0,,,
1439110,siqa,falcon-7b,siqa/143,1.0,,,
1439111,siqa,falcon-7b,siqa/144,0.0,,,
1439112,siqa,falcon-7b,siqa/145,0.0,,,
1439113,siqa,falcon-7b,siqa/146,0.0,,,
1439114,siqa,falcon-7b,siqa/147,0.0,,,
1439115,siqa,falcon-7b,siqa/148,1.0,,,
1439116,siqa,falcon-7b,siqa/149,0.0,,,
1439117,siqa,falcon-7b,siqa/150,1.0,,,
1439118,siqa,falcon-7b,siqa/151,1.0,,,
1439119,siqa,falcon-7b,siqa/152,1.0,,,
1439120,siqa,falcon-7b,siqa/153,0.0,,,
1439121,siqa,falcon-7b,siqa/154,1.0,,,
1439122,siqa,falcon-7b,siqa/155,1.0,,,
1439123,siqa,falcon-7b,siqa/156,1.0,,,
1439124,siqa,falcon-7b,siqa/157,1.0,,,
1439125,siqa,falcon-7b,siqa/158,0.0,,,
1439126,siqa,falcon-7b,siqa/159,1.0,,,
1439127,siqa,falcon-7b,siqa/160,1.0,,,
1439128,siqa,falcon-7b,siqa/161,1.0,,,
1439129,siqa,falcon-7b,siqa/162,0.0,,,
1439130,siqa,falcon-7b,siqa/163,0.0,,,
1439131,siqa,falcon-7b,siqa/164,1.0,,,
1439132,siqa,falcon-7b,siqa/165,1.0,,,
1439133,siqa,falcon-7b,siqa/166,0.0,,,
1439134,siqa,falcon-7b,siqa/167,0.0,,,
1439135,siqa,falcon-7b,siqa/168,1.0,,,
1439136,siqa,falcon-7b,siqa/169,1.0,,,
1439137,siqa,falcon-7b,siqa/170,1.0,,,
1439138,siqa,falcon-7b,siqa/171,0.0,,,
1439139,siqa,falcon-7b,siqa/172,0.0,,,
1439140,siqa,falcon-7b,siqa/173,0.0,,,
1439141,siqa,falcon-7b,siqa/174,0.0,,,
1439142,siqa,falcon-7b,siqa/175,0.0,,,
1439143,siqa,falcon-7b,siqa/176,1.0,,,
1439144,siqa,falcon-7b,siqa/177,0.0,,,
1439145,siqa,falcon-7b,siqa/178,0.0,,,
1439146,siqa,falcon-7b,siqa/179,1.0,,,
1439147,siqa,falcon-7b,siqa/180,1.0,,,
1439148,siqa,falcon-7b,siqa/181,1.0,,,
1439149,siqa,falcon-7b,siqa/182,0.0,,,
1439150,siqa,falcon-7b,siqa/183,1.0,,,
1439151,siqa,falcon-7b,siqa/184,1.0,,,
1439152,siqa,falcon-7b,siqa/185,1.0,,,
1439153,siqa,falcon-7b,siqa/186,1.0,,,
1439154,siqa,falcon-7b,siqa/187,1.0,,,
1439155,siqa,falcon-7b,siqa/188,1.0,,,
1439156,siqa,falcon-7b,siqa/189,1.0,,,
1439157,siqa,falcon-7b,siqa/190,0.0,,,
1439158,siqa,falcon-7b,siqa/191,1.0,,,
1439159,siqa,falcon-7b,siqa/192,1.0,,,
1439160,siqa,falcon-7b,siqa/193,0.0,,,
1439161,siqa,falcon-7b,siqa/194,0.0,,,
1439162,siqa,falcon-7b,siqa/195,0.0,,,
1439163,siqa,falcon-7b,siqa/196,1.0,,,
1439164,siqa,falcon-7b,siqa/197,0.0,,,
1439165,siqa,falcon-7b,siqa/198,0.0,,,
1439166,siqa,falcon-7b,siqa/199,0.0,,,
