,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
13,dbrx-base,0.6622313203684749,0.01069922367522801,0.0,0.010699223675228006,,0.22677292001754643,1055.4904339688287
7,Qwen1.5-110B,0.5880245649948823,0.011134510148746522,0.0,0.011134510148746522,,0.15958473461032316,1029.2593574663836
11,Qwen1.5-72B,0.5721596724667349,0.011192760254896437,0.0,0.011192760254896437,,0.14741921333528293,1023.7039413013875
8,Qwen1.5-14B,0.5690890481064483,0.011202671477154393,0.0,0.011202671477154392,,0.16781693230004385,1022.6301783994718
9,Qwen1.5-32B,0.5690890481064483,0.011202671477154393,0.0,0.011202671477154392,,0.1485889749963445,1022.6301783994718
22,llama2_13B,0.5353121801432958,0.01128293087530508,0.0,0.011282930875305082,,0.10478140078958913,1010.8426610879479
12,Qwen1.5-7B,0.5348004094165814,0.011283744603390022,0.0,0.011283744603390022,,0.11810206170492762,1010.6643218736533
23,llama2_70B,0.5250767656090072,0.01129694018922789,0.0,0.01129694018922789,,0.09510162304430472,1007.2768369057018
0,Meta-Llama-3-70B,0.5230296827021494,0.011299170577494775,0.0,0.011299170577494775,,0.08454452405322416,1006.5638802000566
27,llama_65B,0.5209825997952917,0.011301210759897665,0.0,0.011301210759897665,,0.08283374762392162,1005.8509789172778
20,gemma-7b,0.5158648925281474,0.011305479717387545,0.0,0.011305479717387545,,0.08464687819856705,1004.0689289867037
3,Mixtral-8x22B-v0.1,0.5143295803480041,0.011306528922614455,0.0,0.011306528922614452,,0.07932446264073695,1003.5343603269577
17,falcon-40b,0.5127942681678608,0.011307471345997622,0.0,0.01130747134599762,,0.08084515280011698,1002.9998085698081
14,deepseek-llm-67b-base,0.5076765609007164,0.011309841875150587,0.0,0.011309841875150587,,0.07558122532533997,1001.2180591435218
25,llama_13B,0.5061412487205732,0.011310321846812365,0.0,0.011310321846812367,,0.07246673490276356,1000.6835515540006
4,Mixtral-8x7B-v0.1,0.503582395087001,0.011310884750587146,0.0,0.011310884750587145,,0.07150168153238777,999.7927120718313
26,llama_33B,0.5015353121801432,0.011311121754322162,0.0,0.011311121754322162,,0.07104839888872642,999.0800396289494
21,llama2_07B,0.5,0.01131117507947817,0.0,0.01131117507947817,,0.08770288053809036,998.5455308840629
2,Mistral-7B-v0.1,0.4938587512794268,0.011310321846812365,0.0,0.011310321846812367,,0.06827021494370522,996.407404973677
15,deepseek-llm-7b-base,0.49027635619242577,0.011309035950990249,0.0,0.011309035950990249,,0.06610615587074134,995.1600522233466
10,Qwen1.5-4B,0.4897645854657114,0.011308804829788847,0.0,0.011308804829788846,,0.0973680362626115,994.9818497121826
1,Meta-Llama-3-8B,0.4882292732855681,0.011308040318315187,0.0,0.011308040318315187,,0.06322561778037725,994.4472262351702
24,llama_07B,0.48771750255885365,0.011307761762528444,0.0,0.011307761762528446,,0.06639859628600672,994.2690127840234
18,falcon-7b,0.4866939611054248,0.01130716906780881,0.0,0.011307169067808808,,0.06366427840327533,993.9125768836742
28,mpt-30b,0.4851586489252815,0.011306191053593909,0.0,0.011306191053593907,,0.06484866208510016,993.3778991380755
19,gemma-2b,0.4764585465711361,0.01129863081646371,0.0,0.01129863081646371,,0.06335721596724668,990.3474005260446
6,Qwen1.5-1.8B,0.47236438075742065,0.01129388455430807,0.0,0.011293884554308072,,0.09403421552858605,988.9208091806094
35,stablelm-base-alpha-7b-v2,0.46980552712384854,0.01129053130450647,0.0,0.011290531304506472,,0.05666033045766925,988.0290049986705
30,pythia-12b-deduped-v0,0.46673490276356194,0.011286114177934984,0.0,0.011286114177934983,,0.05663108641614271,986.9586329493724
16,deepseek-moe-16b-base,0.4662231320368475,0.011285336252180062,0.0,0.011285336252180065,,0.059730954817955845,986.7802143356755
34,stablelm-3b-4e1t,0.46519959058341864,0.011283744603390022,0.0,0.011283744603390022,,0.055198128381342304,986.4233563151408
5,Qwen1.5-0.5B,0.45905834186284544,0.011273191281663257,0.0,0.011273191281663257,,0.08379880099429741,984.2815864731267
33,pythia-6.9b-deduped-v0,0.45496417604913,0.01126519841244637,0.0,0.011265198412446368,,0.05392601257493786,982.8530925263564
32,pythia-2.8b-deduped,0.4534288638689867,0.011262003246927738,0.0,0.01126200324692774,,0.05860505921918409,982.3172618344462
31,pythia-1b-deduped,0.44268167860798363,0.011236606038637935,0.0,0.011236606038637935,,0.05774235999415119,978.5639708602567
29,pythia-1.4b-deduped-v0,0.43858751279426816,0.01122553079662245,0.0,0.01122553079662245,,0.0591753180289516,977.132888364135
