,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,198.0,68.0,1954.0,0.5230296827021494,0.4882292732855681,0.799492930125698,0.007201252445992983,0.007158089646466114,0.0,0.007158089646466113,1.53348504089696e-06,siqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,219.0,57.0,1954.0,0.5230296827021494,0.4938587512794268,0.7772936553306328,0.007573515141734259,0.007544709653904195,0.0,0.007544709653904195,0.00014250709525327778,siqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,195.0,17.0,1954.0,0.5230296827021494,0.5143295803480041,0.8002670812011602,0.007146489275214402,0.007143778560607811,0.0,0.007143778560607811,0.25182239587374905,siqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,206.0,38.0,1954.0,0.5230296827021494,0.503582395087001,0.7896787851598723,0.007345291757629132,0.007332104803766927,0.0,0.007332104803766927,0.009769982885939301,siqa
4,Meta-Llama-3-70B,Qwen1.5-0.5B,423.0,125.0,1954.0,0.5230296827021494,0.45905834186284544,0.573345241814572,0.010525570010851143,0.010425607325334122,0.0,0.010425607325334124,1.2598436920144228e-09,siqa
5,Meta-Llama-3-70B,Qwen1.5-1.8B,423.0,99.0,1954.0,0.5230296827021494,0.47236438075742065,0.5710658111066027,0.010525570010851143,0.010462978663229344,0.0,0.010462978663229344,1.7038933490961467e-06,siqa
6,Meta-Llama-3-70B,Qwen1.5-110B,403.0,-127.0,1954.0,0.5230296827021494,0.5880245649948823,0.5892224969689173,0.010273725639654417,0.01016796674203747,0.0,0.01016796674203747,2.4805535040326687e-10,siqa
7,Meta-Llama-3-70B,Qwen1.5-14B,496.0,-90.0,1954.0,0.5230296827021494,0.5690890481064483,0.4911871003129033,0.011397675256560946,0.01134994702617083,0.0,0.01134994702617083,6.165448190431126e-05,siqa
8,Meta-Llama-3-70B,Qwen1.5-32B,404.0,-90.0,1954.0,0.5230296827021494,0.5690890481064483,0.5863659710212715,0.010286464300021381,0.010233554809472455,0.0,0.010233554809472458,8.780396626859554e-06,siqa
9,Meta-Llama-3-70B,Qwen1.5-4B,413.0,65.0,1954.0,0.5230296827021494,0.4897645854657114,0.5789558876394443,0.010400410149898452,0.01037314912863436,0.0,0.01037314912863436,0.0016052571554274,siqa
10,Meta-Llama-3-70B,Qwen1.5-72B,388.0,-96.0,1954.0,0.5230296827021494,0.5721596724667349,0.6031665462129707,0.01008071422906459,0.010019256946497797,0.0,0.010019256946497797,1.2567903970573155e-06,siqa
11,Meta-Llama-3-70B,Qwen1.5-7B,389.0,-23.0,1954.0,0.5230296827021494,0.5348004094165814,0.6007294259501722,0.010093696480714443,0.010090183487272222,0.0,0.01009018348727222,0.2646353959378977,siqa
12,Meta-Llama-3-70B,dbrx-base,526.0,-272.0,1954.0,0.5230296827021494,0.6622313203684749,0.47272218106093145,0.011737302908065217,0.011306973471733418,0.0,0.011306973471733418,1.000333477994529e-33,siqa
13,Meta-Llama-3-70B,deepseek-llm-67b-base,200.0,30.0,1954.0,0.5230296827021494,0.5076765609007164,0.795522504555266,0.007237531025450845,0.007229192319586641,0.0,0.0072291923195866425,0.040037191613399414,siqa
14,Meta-Llama-3-70B,deepseek-llm-7b-base,220.0,64.0,1954.0,0.5230296827021494,0.49027635619242577,0.7766876337191078,0.007590786578398836,0.007554536602280157,0.0,0.007554536602280156,1.9051766794813942e-05,siqa
15,Meta-Llama-3-70B,deepseek-moe-16b-base,271.0,111.0,1954.0,0.5230296827021494,0.4662231320368475,0.7281661783523891,0.008424809433548786,0.008326219907212135,0.0,0.008326219907212135,1.222381619648269e-11,siqa
16,Meta-Llama-3-70B,falcon-40b,212.0,20.0,1954.0,0.5230296827021494,0.5127942681678608,0.782917613891341,0.007451494257196027,0.007447895787715675,0.0,0.007447895787715675,0.19179617486993653,siqa
17,Meta-Llama-3-70B,falcon-7b,225.0,71.0,1954.0,0.5230296827021494,0.4866939611054248,0.7720213834472522,0.0076765609007164795,0.007632424530938185,0.0,0.007632424530938186,2.552378247420806e-06,siqa
18,Meta-Llama-3-70B,gemma-2b,255.0,91.0,1954.0,0.5230296827021494,0.4764585465711361,0.7427767202531615,0.008172323143639361,0.008104128640345395,0.0,0.008104128640345397,1.2307853767903e-08,siqa
19,Meta-Llama-3-70B,gemma-7b,230.0,14.0,1954.0,0.5230296827021494,0.5158648925281474,0.7643196201301617,0.007761387353174565,0.007759694729552534,0.0,0.007759694729552534,0.3913839030786506,siqa
20,Meta-Llama-3-70B,llama2_07B,325.0,45.0,1954.0,0.5230296827021494,0.5,0.668058034785386,0.009226077982251763,0.009211356523080973,0.0,0.009211356523080973,0.014533392021433054,siqa
21,Meta-Llama-3-70B,llama2_13B,278.0,-24.0,1954.0,0.5230296827021494,0.5353121801432958,0.7147439516049667,0.008532923234663802,0.008528398051695158,0.0,0.00852839805169516,0.16764182176366024,siqa
22,Meta-Llama-3-70B,llama2_70B,260.0,-4.0,1954.0,0.5230296827021494,0.5250767656090072,0.7332692232485624,0.008252055013611617,0.008251925069198005,0.0,0.008251925069198005,0.8524493050180938,siqa
23,Meta-Llama-3-70B,llama_07B,231.0,69.0,1954.0,0.5230296827021494,0.48771750255885365,0.7657368729832708,0.007778241634375979,0.007737111242643771,0.0,0.00773711124264377,6.613226227903767e-06,siqa
24,Meta-Llama-3-70B,llama_13B,203.0,33.0,1954.0,0.5230296827021494,0.5061412487205732,0.7925562186783471,0.007291610465084445,0.0072815943539907115,0.0,0.0072815943539907115,0.02446682535921564,siqa
25,Meta-Llama-3-70B,llama_33B,206.0,42.0,1954.0,0.5230296827021494,0.5015353121801432,0.7898510148098865,0.007345291757629132,0.007329179275549211,0.0,0.007329179275549211,0.00417013208393155,siqa
26,Meta-Llama-3-70B,llama_65B,196.0,4.0,1954.0,0.5230296827021494,0.5209825997952917,0.7990040815618025,0.007164790174002047,0.007164640509995054,0.0,0.007164640509995054,0.8303925586538715,siqa
27,Meta-Llama-3-70B,mpt-30b,222.0,74.0,1954.0,0.5230296827021494,0.4851586489252815,0.7753050506393474,0.007625212090967932,0.0075769301222472826,0.0,0.007576930122247283,7.673326261533734e-07,siqa
28,Meta-Llama-3-70B,pythia-1.4b-deduped-v0,341.0,165.0,1954.0,0.5230296827021494,0.43858751279426816,0.6623422484377453,0.009450453077082595,0.00925537100286368,0.0,0.009255371002863682,1.233205088871097e-19,siqa
29,Meta-Llama-3-70B,pythia-12b-deduped-v0,260.0,110.0,1954.0,0.5230296827021494,0.46673490276356194,0.7393646339135,0.008252055013611617,0.008153193128278662,0.0,0.008153193128278662,6.719840002433466e-12,siqa
