,benchmark_id,model,example_id,pass1,N,date,hyperparams
1916579,swebench-lite,20231010_rag_claude2,django__django-15814,0.0,,,
1916580,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-26020,0.0,,,
1916581,swebench-lite,20231010_rag_claude2,sympy__sympy-16281,0.0,,,
1916582,swebench-lite,20231010_rag_claude2,sympy__sympy-12419,0.0,,,
1916583,swebench-lite,20231010_rag_claude2,astropy__astropy-6938,0.0,,,
1916584,swebench-lite,20231010_rag_claude2,sympy__sympy-18189,0.0,,,
1916585,swebench-lite,20231010_rag_claude2,sympy__sympy-18835,0.0,,,
1916586,swebench-lite,20231010_rag_claude2,django__django-17087,0.0,,,
1916587,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-25638,0.0,,,
1916588,swebench-lite,20231010_rag_claude2,django__django-15851,0.0,,,
1916589,swebench-lite,20231010_rag_claude2,pydata__xarray-4248,0.0,,,
1916590,swebench-lite,20231010_rag_claude2,django__django-13401,0.0,,,
1916591,swebench-lite,20231010_rag_claude2,mwaskom__seaborn-2848,0.0,,,
1916592,swebench-lite,20231010_rag_claude2,sympy__sympy-16988,0.0,,,
1916593,swebench-lite,20231010_rag_claude2,django__django-11910,0.0,,,
1916594,swebench-lite,20231010_rag_claude2,sympy__sympy-18698,0.0,,,
1916595,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-14092,0.0,,,
1916596,swebench-lite,20231010_rag_claude2,sympy__sympy-16503,0.0,,,
1916597,swebench-lite,20231010_rag_claude2,pytest-dev__pytest-8906,0.0,,,
1916598,swebench-lite,20231010_rag_claude2,django__django-14017,0.0,,,
1916599,swebench-lite,20231010_rag_claude2,pallets__flask-4992,0.0,,,
1916600,swebench-lite,20231010_rag_claude2,sympy__sympy-24102,0.0,,,
1916601,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-23476,0.0,,,
1916602,swebench-lite,20231010_rag_claude2,sympy__sympy-13146,0.0,,,
1916603,swebench-lite,20231010_rag_claude2,django__django-11620,0.0,,,
1916604,swebench-lite,20231010_rag_claude2,django__django-13933,0.0,,,
1916605,swebench-lite,20231010_rag_claude2,django__django-12708,0.0,,,
