,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
69,20250425_Refact_Agent,0.6,0.028284271247461898,0.0,0.0282842712474619,,0.32126126126126126,1104.8209984323344
72,20250526_sweagent_claude-4-sonnet-20250514,0.5666666666666667,0.028609762643519398,0.0,0.02860976264351941,,0.29711711711711714,1092.1084674271876
61,20250114_Isoform,0.55,0.028722813232690138,0.0,0.028722813232690145,,0.2753603603603604,1085.8381672990145
55,20241220_blackboxai_agent_v1,0.49,0.02886173937932362,0.0,0.028861739379323625,,0.22783783783783784,1063.6596604671638
53,20241208_gru,0.4866666666666667,0.028857247629334653,0.0,0.02885724762933466,,0.2177927927927928,1062.443097931691
48,20241127_globant_codefixer_agent,0.48333333333333334,0.02885147149466396,0.0,0.028851471494663966,,0.2285135135135135,1061.2279615245827
74,20250613_ExpeRepair-v1.0,0.48333333333333334,0.02885147149466396,0.0,0.028851471494663966,,0.22328828828828828,1061.2279615245827
66,20250226_sweagent_claude-3-7-sonnet-20250219,0.48,0.02884441020371191,0.0,0.028844410203711916,,0.215,1060.0142202518578
47,20241122_devlo,0.47333333333333333,0.02882642820335122,0.0,0.028826428203351226,,0.2114864864864865,1057.5908000738946
63,20250205_dars_agent_claude_3.5_sonnet_deepseek_r1,0.47,0.02881550508551486,0.0,0.02881550508551487,,0.21360360360360361,1056.3810601139717
52,20241207_kodu_sonnet_v1,0.44666666666666666,0.02870281958017107,0.0,0.028702819580171072,,0.23202702702702702,1047.9468529280396
68,20250310_codefuse-cgm,0.44,0.028658913680272898,0.0,0.028658913680272905,,0.18094594594594596,1045.547113664393
24,20240702_codestory_aide_mixed,0.43,0.0285832118559129,0.0,0.028583211855912907,,0.18067567567567566,1041.9549970511562
70,20250509_Lingxi_claude-3-5-sonnet-20241022,0.4266666666666667,0.028555339385260458,0.0,0.028555339385260465,,0.183018018018018,1040.7595088631306
71,20250515_codartai,0.4166666666666667,0.028463752127665543,0.0,0.02846375212766555,,0.21004504504504504,1037.178302168787
40,20241025_OpenHands-CodeAct-2.1-sonnet-20241022,0.4166666666666667,0.028463752127665543,0.0,0.02846375212766555,,0.18130630630630631,1037.178302168787
54,20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022,0.41333333333333333,0.02843055216305684,0.0,0.028430552163056847,,0.16644144144144143,1035.9862262946187
42,20241030_composio_swekit,0.41,0.02839600910926275,0.0,0.028396009109262755,,0.1640990990990991,1034.7949341284896
60,20250113_OrcaLoca,0.41,0.02839600910926275,0.0,0.028396009109262755,,0.1672972972972973,1034.7949341284896
50,20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.4066666666666667,0.028360118058574718,0.0,0.028360118058574725,,0.1636936936936937,1033.6043981779042
59,20250113_OpenCSG-Starship-Agentic-Coder_gpt4o,0.39666666666666667,0.028244304571731636,0.0,0.02824430457173164,,0.1596846846846847,1030.037054493602
37,20240912_marscode-agent-dev,0.3933333333333333,0.02820296806024868,0.0,0.028202968060248686,,0.16103603603603603,1028.849270852742
62,20250114_moatless_claude-3.5-sonnet-20241022,0.39,0.028160255680657446,0.0,0.02816025568065745,,0.16337837837837837,1027.662107711171
33,20240820_honeycomb,0.38333333333333336,0.028070677992577283,0.0,0.02807067799257729,,0.1537837837837838,1025.2895357411544
45,20241117_moatless_claude-3.5-sonnet-20241022,0.38333333333333336,0.028070677992577283,0.0,0.02807067799257729,,0.14382882882882883,1025.2895357411544
22,20240627_abanteai_mentatbot_gpt4o,0.38,0.0280237994093116,0.0,0.028023799409311604,,0.16256756756756757,1024.1040735622712
57,20250104_patched_codes_claude-3.5-sonnet-20241022,0.37,0.027874719729532704,0.0,0.02787471972953271,,0.14743243243243243,1020.5506640447195
73,20250609_KGCompass_deepseek-v3,0.36666666666666664,0.027822186723442024,0.0,0.02782218672344203,,0.16527027027027028,1019.3670986438601
44,20241113_navie-2-gpt4o-sonnet,0.36,0.027712812921102035,0.0,0.027712812921102038,,0.14004504504504506,1017.0011670794462
32,20240811_gru,0.3566666666666667,0.02765595508840459,0.0,0.027655955088404596,,0.13585585585585586,1015.8187486865639
56,20250104_codefuse-aais,0.3566666666666667,0.027655955088404585,0.0,0.027655955088404596,,0.13355855855855855,1015.8187486865639
35,20240829_Isoform,0.35,0.027537852736430505,0.0,0.027537852736430512,,0.12792792792792793,1013.454876572211
30,20240806_SuperCoder2.0,0.34,0.02734958866235468,0.0,0.027349588662354686,,0.14342342342342343,1009.9110913916461
27,20240723_marscode-agent-dev,0.34,0.02734958866235468,0.0,0.027349588662354686,,0.1312162162162162,1009.9110913916461
20,20240622_Lingma_Agent,0.33,0.027147743920996448,0.0,0.027147743920996455,,0.11801801801801802,1006.3691143305857
65,20250214_agentless_lite_o3_mini,0.3233333333333333,0.027005486411029445,0.0,0.027005486411029452,,0.13423423423423422,1004.0084578331786
41,20241028_agentless-1.5_gpt4o,0.32,0.026932013168965537,0.0,0.02693201316896554,,0.11513513513513514,1002.8282510544052
43,20241111_codeshelltester_gpt4o,0.31333333333333335,0.0267803133884797,0.0,0.026780313388479703,,0.11797297297297298,1000.4679522772683
16,20240617_factory_code_droid,0.31333333333333335,0.0267803133884797,0.0,0.026780313388479703,,0.12072072072072072,1000.4679522772683
19,20240621_autocoderover-v20240620,0.30666666666666664,0.026622185123327886,0.0,0.02662218512332789,,0.10675675675675676,998.1076357482441
64,20250207_aegis_o3mini,0.30333333333333334,0.026540674584633436,0.0,0.026540674584633443,,0.12207207207207207,996.9274067811322
51,20241203_KortixAI-AgentPress-sonnet-20241022,0.3,0.026457513110645897,0.0,0.026457513110645904,,0.11518018018018018,995.7470965097762
36,20240908_infant_gpt4o,0.3,0.026457513110645897,0.0,0.026457513110645904,,0.11004504504504505,995.7470965097762
31,20240808_RepoGraph_gpt4o,0.2966666666666667,0.02637268508359584,0.0,0.026372685083595842,,0.10432432432432433,994.566679292416
26,20240721_amazon-q-developer-agent-20240719-dev,0.2966666666666667,0.026372685083595835,0.0,0.026372685083595842,,0.10882882882882883,994.566679292416
12,20240604_CodeR,0.2833333333333333,0.026016376608817986,0.0,0.02601637660881799,,0.09851351351351352,989.843427435094
46,20241117_reproducedRG_gpt4o,0.28,0.025922962793631436,0.0,0.025922962793631443,,0.09157657657657657,988.6620901075304
25,20240706_sima_gpt4o,0.27666666666666667,0.02582777718027771,0.0,0.025827777180277713,,0.09126126126126126,987.4804914700868
14,20240612_MASAI_gpt4o,0.2733333333333333,0.02573080010559473,0.0,0.025730800105594736,,0.09175675675675676,986.2986056693078
23,20240630_agentless_gpt4o,0.2733333333333333,0.025730800105594732,0.0,0.025730800105594736,,0.09198198198198199,986.2986056693078
