,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,8.0,8.0,300.0,0.03,0.0033333333333333335,0.3288437905343839,0.009428090415820635,0.009301533127313934,0.0,0.009301533127313934,0.0078125,swebench-lite
1,20231010_rag_claude2,20231010_rag_swellama13b,12.0,6.0,300.0,0.03,0.01,-0.017674908041006715,0.011547005383792516,0.011489125293076056,0.0,0.011489125293076058,0.14599609375,swebench-lite
2,20231010_rag_claude2,20231010_rag_swellama7b,13.0,5.0,300.0,0.03,0.013333333333333334,-0.02044367180603308,0.012018504251546632,0.011979921473804347,0.0,0.011979921473804347,0.266845703125,swebench-lite
3,20231010_rag_claude2,20240402_rag_claude3opus,12.0,-4.0,300.0,0.03,0.043333333333333335,0.44242718701181766,0.011547005383792516,0.011521316797169534,0.0,0.01152131679716953,0.3876953125,swebench-lite
4,20231010_rag_claude2,20240402_rag_gpt4,15.0,1.0,300.0,0.03,0.02666666666666667,0.09217872114192587,0.012909944487358056,0.012908509969381815,0.0,0.012908509969381813,1.0,swebench-lite
5,20231010_rag_claude2,20240402_sweagent_claude3opus,36.0,-26.0,300.0,0.03,0.11666666666666667,0.17956370689010404,0.02,0.019363960415239516,0.0,0.01936396041523952,1.2913485988974571e-05,swebench-lite
6,20231010_rag_claude2,20240402_sweagent_gpt4,51.0,-45.0,300.0,0.03,0.18,0.22277332273907113,0.02380476142847617,0.02217355782608345,0.0,0.02217355782608345,1.9674928353197174e-11,swebench-lite
7,20231010_rag_claude2,20240509_amazon-q-developer-agent-20240430-dev,56.0,-52.0,300.0,0.03,0.20333333333333334,0.2510037330806372,0.024944382578492942,0.022848940327159027,0.0,0.02284894032715903,4.4325654258159375e-14,swebench-lite
8,20231010_rag_claude2,20240523_aider,72.0,-70.0,300.0,0.03,0.2633333333333333,0.24977686930426538,0.0282842712474619,0.02487003253955488,0.0,0.02487003253955488,3.091670257478196e-20,swebench-lite
9,20231010_rag_claude2,20240524_opencsg_starship_gpt4,68.0,-62.0,300.0,0.03,0.23666666666666666,0.17791704425136698,0.02748737083745107,0.02476257630347023,0.0,0.024762576303470226,3.5550311609441887e-16,swebench-lite
10,20231010_rag_claude2,20240530_autocoderover-v20240408,54.0,-48.0,300.0,0.03,0.19,0.21368312828424302,0.024494897427831782,0.022686266036231407,0.0,0.022686266036231407,2.9187763317395365e-12,swebench-lite
11,20231010_rag_claude2,20240604_CodeR,76.0,-76.0,300.0,0.03,0.2833333333333333,0.2796948870399031,0.029059326290271158,0.025110127807689838,0.0,0.025110127807689838,2.6469779601696886e-23,swebench-lite
12,20231010_rag_claude2,20240612_IBM_Research_Agent101,73.0,-71.0,300.0,0.03,0.26666666666666666,0.24744871257409515,0.028480012484391772,0.024988145337487683,0.0,0.024988145337487683,1.5670109524204556e-20,swebench-lite
13,20231010_rag_claude2,20240612_MASAI_gpt4o,73.0,-73.0,300.0,0.03,0.2733333333333333,0.2867451498991694,0.028480012484391772,0.024773791408275413,0.0,0.024773791408275413,2.117582368135751e-22,swebench-lite
14,20231010_rag_claude2,20240615_appmap-navie_gpt4o,64.0,-56.0,300.0,0.03,0.21666666666666667,0.14466475484443253,0.02666666666666667,0.02439186263824399,0.0,0.024391862638243993,7.363044635805283e-14,swebench-lite
15,20231010_rag_claude2,20240617_factory_code_droid,89.0,-85.0,300.0,0.03,0.31333333333333335,0.17608900939417038,0.031446603773522014,0.026856959922826266,0.0,0.026856959922826266,1.2944084116747769e-23,swebench-lite
16,20231010_rag_claude2,20240617_moatless_gpt4o,71.0,-65.0,300.0,0.03,0.24666666666666667,0.17134649532127172,0.028087165910587863,0.025147711772791723,0.0,0.025147711772791723,5.057803134644878e-17,swebench-lite
17,20231010_rag_claude2,20240620_sweagent_claude3.5sonnet,62.0,-60.0,300.0,0.03,0.23,0.27534529737222874,0.026246692913372706,0.023570226039551587,0.0,0.023570226039551584,2.7321894746634712e-17,swebench-lite
18,20231010_rag_claude2,20240621_autocoderover-v20240620,87.0,-83.0,300.0,0.03,0.30666666666666664,0.17967753503425024,0.03109126351029605,0.026674304461757174,0.0,0.02667430446175717,4.948866508539911e-23,swebench-lite
19,20231010_rag_claude2,20240622_Lingma_Agent,94.0,-90.0,300.0,0.03,0.33,0.16747227718878294,0.03231786571610886,0.027284509239574834,0.0,0.027284509239574834,4.50950758747781e-25,swebench-lite
20,20231010_rag_claude2,20240623_moatless_claude35sonnet,71.0,-71.0,300.0,0.03,0.26666666666666666,0.29163598267661206,0.028087165910587863,0.024539461794937257,0.0,0.024539461794937257,8.470329472543003e-22,swebench-lite
21,20231010_rag_claude2,20240627_abanteai_mentatbot_gpt4o,107.0,-105.0,300.0,0.03,0.38,0.18437841859543053,0.03448026810929534,0.027938424357067018,0.0,0.027938424357067018,1.3312027775604574e-30,swebench-lite
22,20231010_rag_claude2,20240630_agentless_gpt4o,75.0,-73.0,300.0,0.03,0.2733333333333333,0.24290032575556553,0.02886751345948129,0.02521830610812239,0.0,0.02521830610812239,4.0234064994579266e-21,swebench-lite
23,20231010_rag_claude2,20240702_codestory_aide_mixed,120.0,-120.0,300.0,0.03,0.43,0.20247805496583515,0.03651483716701108,0.0282842712474619,0.0,0.0282842712474619,1.504632769052528e-36,swebench-lite
24,20231010_rag_claude2,20240706_sima_gpt4o,76.0,-74.0,300.0,0.03,0.27666666666666667,0.24067788768813997,0.029059326290271158,0.025330409187962786,0.0,0.02533040918796279,2.0381730293306602e-21,swebench-lite
25,20231010_rag_claude2,20240721_amazon-q-developer-agent-20240719-dev,82.0,-80.0,300.0,0.03,0.2966666666666667,0.22800505914897043,0.03018461712712472,0.025962936545662056,0.0,0.025962936545662053,3.432799542095065e-23,swebench-lite
26,20231010_rag_claude2,20240723_marscode-agent-dev,97.0,-93.0,300.0,0.03,0.34,0.16252382927397058,0.032829526005987014,0.027521708603290684,0.0,0.027521708603290684,6.000391589473104e-26,swebench-lite
27,20231010_rag_claude2,20240725_opendevin_codeact_v1.8_claude35sonnet,75.0,-71.0,300.0,0.03,0.26666666666666666,0.20326144247157796,0.02886751345948129,0.025428913260885325,0.0,0.025428913260885325,1.5093068328887564e-19,swebench-lite
28,20231010_rag_claude2,20240728_sweagent_gpt4o,52.0,-46.0,300.0,0.03,0.18333333333333332,0.2196738570810833,0.024037008503093264,0.02234742507331454,0.0,0.02234742507331454,1.042677055806962e-11,swebench-lite
29,20231010_rag_claude2,20240806_SuperCoder2.0,97.0,-93.0,300.0,0.03,0.34,0.16252382927397055,0.032829526005987014,0.027521708603290684,0.0,0.027521708603290684,6.000391589473104e-26,swebench-lite
30,20231010_rag_claude2,20240808_RepoGraph_gpt4o,80.0,-80.0,300.0,0.03,0.2966666666666667,0.2707827437923045,0.029814239699997195,0.02553138954016902,0.0,0.02553138954016902,1.6543612251060553e-24,swebench-lite
31,20231010_rag_claude2,20240811_gru,98.0,-98.0,300.0,0.03,0.3566666666666667,0.2361900107281055,0.03299831645537222,0.02707739251082322,0.0,0.027077392510823216,6.310887241768095e-30,swebench-lite
32,20231010_rag_claude2,20240820_honeycomb,108.0,-106.0,300.0,0.03,0.38333333333333336,0.1828648010322601,0.034641016151377546,0.027997354372366185,0.0,0.027997354372366185,6.717643646022679e-31,swebench-lite
33,20231010_rag_claude2,20240828_autose_mixed,60.0,-56.0,300.0,0.03,0.21666666666666667,0.2395268891686502,0.025819888974716113,0.023463131046783135,0.0,0.02346313104678313,3.1762786845135338e-15,swebench-lite
34,20231010_rag_claude2,20240829_Isoform,98.0,-96.0,300.0,0.03,0.35,0.19869333023289903,0.03299831645537222,0.027341462205879838,0.0,0.027341462205879838,6.2477783693504135e-28,swebench-lite
35,20231010_rag_claude2,20240908_infant_gpt4o,81.0,-81.0,300.0,0.03,0.3,0.268635344758668,0.030000000000000002,0.025632011235952594,0.0,0.025632011235952594,8.271806125530277e-25,swebench-lite
36,20231010_rag_claude2,20240912_marscode-agent-dev,109.0,-109.0,300.0,0.03,0.3933333333333333,0.21840845693918204,0.0348010216963685,0.027768220578101046,0.0,0.027768220578101042,3.0814879110195774e-33,swebench-lite
37,20231010_rag_claude2,20240925_hyperagent_lite1,71.0,-67.0,300.0,0.03,0.25333333333333335,0.21206290130041666,0.028087165910587863,0.02495254755790738,0.0,0.024952547557907382,2.165863246129246e-18,swebench-lite
38,20231010_rag_claude2,20241016_IBM-SWE-1.0,62.0,-62.0,300.0,0.03,0.23666666666666666,0.3158372335935123,0.026246692913372706,0.02337773553016884,0.0,0.02337773553016884,4.336808689942018e-19,swebench-lite
39,20231010_rag_claude2,20241025_OpenHands-CodeAct-2.1-sonnet-20241022,116.0,-116.0,300.0,0.03,0.4166666666666667,0.20808404329060165,0.03590109871423003,0.02811616116255059,0.0,0.028116161162550595,2.407412430484045e-35,swebench-lite
40,20231010_rag_claude2,20241028_agentless-1.5_gpt4o,89.0,-87.0,300.0,0.03,0.32,0.2144730689446051,0.031446603773522014,0.026618706872339904,0.0,0.026618706872339904,2.908056841006738e-25,swebench-lite
41,20231010_rag_claude2,20241030_composio_swekit,114.0,-114.0,300.0,0.03,0.41,0.21096423625016528,0.035590260840104374,0.028023799409311607,0.0,0.028023799409311604,9.62964972193618e-35,swebench-lite
42,20231010_rag_claude2,20241111_codeshelltester_gpt4o,85.0,-85.0,300.0,0.03,0.31333333333333335,0.2603421239368353,0.03073181485764296,0.02601637660881799,0.0,0.02601637660881799,5.169878828456423e-26,swebench-lite
43,20231010_rag_claude2,20241113_navie-2-gpt4o-sonnet,99.0,-99.0,300.0,0.03,0.36,0.2344841527042194,0.033166247903554,0.02714774392099645,0.0,0.027147743920996455,3.1554436208840472e-30,swebench-lite
44,20231010_rag_claude2,20241117_moatless_claude-3.5-sonnet-20241022,106.0,-106.0,300.0,0.03,0.38333333333333336,0.22305486719319642,0.03431876713662334,0.02759763811686844,0.0,0.02759763811686844,2.465190328815662e-32,swebench-lite
