,benchmark_id,model,example_id,pass1,N,date,hyperparams
1939079,swebench-verified,20231010_rag_claude2,matplotlib__matplotlib-26208,0.0,,,
1939080,swebench-verified,20231010_rag_claude2,django__django-15814,0.0,,,
1939081,swebench-verified,20231010_rag_claude2,django__django-12039,0.0,,,
1939082,swebench-verified,20231010_rag_claude2,sympy__sympy-12419,0.0,,,
1939083,swebench-verified,20231010_rag_claude2,sympy__sympy-18189,0.0,,,
1939084,swebench-verified,20231010_rag_claude2,sympy__sympy-20801,0.0,,,
1939085,swebench-verified,20231010_rag_claude2,django__django-13512,0.0,,,
1939086,swebench-verified,20231010_rag_claude2,pydata__xarray-4629,0.0,,,
1939087,swebench-verified,20231010_rag_claude2,sphinx-doc__sphinx-9698,0.0,,,
1939088,swebench-verified,20231010_rag_claude2,django__django-17087,0.0,,,
1939089,swebench-verified,20231010_rag_claude2,django__django-16454,0.0,,,
1939090,swebench-verified,20231010_rag_claude2,django__django-16642,0.0,,,
1939091,swebench-verified,20231010_rag_claude2,django__django-15851,0.0,,,
1939092,swebench-verified,20231010_rag_claude2,django__django-15315,0.0,,,
1939093,swebench-verified,20231010_rag_claude2,matplotlib__matplotlib-25287,0.0,,,
1939094,swebench-verified,20231010_rag_claude2,pydata__xarray-3677,0.0,,,
1939095,swebench-verified,20231010_rag_claude2,sympy__sympy-16766,0.0,,,
1939096,swebench-verified,20231010_rag_claude2,django__django-12774,0.0,,,
1939097,swebench-verified,20231010_rag_claude2,sympy__sympy-23950,0.0,,,
1939098,swebench-verified,20231010_rag_claude2,django__django-13401,0.0,,,
1939099,swebench-verified,20231010_rag_claude2,matplotlib__matplotlib-22719,0.0,,,
1939100,swebench-verified,20231010_rag_claude2,django__django-12273,0.0,,,
1939101,swebench-verified,20231010_rag_claude2,django__django-10999,0.0,,,
1939102,swebench-verified,20231010_rag_claude2,scikit-learn__scikit-learn-26194,0.0,,,
1939103,swebench-verified,20231010_rag_claude2,sphinx-doc__sphinx-7590,0.0,,,
1939104,swebench-verified,20231010_rag_claude2,astropy__astropy-8707,0.0,,,
1939105,swebench-verified,20231010_rag_claude2,sympy__sympy-15017,0.0,,,
1939106,swebench-verified,20231010_rag_claude2,django__django-16145,0.0,,,
1939107,swebench-verified,20231010_rag_claude2,django__django-15572,0.0,,,
1939108,swebench-verified,20231010_rag_claude2,django__django-11477,0.0,,,
1939109,swebench-verified,20231010_rag_claude2,sympy__sympy-18698,0.0,,,
1939110,swebench-verified,20231010_rag_claude2,django__django-13820,0.0,,,
