,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,22.0,20.0,500.0,0.044,0.004,0.14089964040600259,0.00938083151964686,0.009208691546577072,0.0,0.00920869154657707,1.0967254638671875e-05,swebench-verified
1,20231010_rag_claude2,20231010_rag_swellama13b,26.0,16.0,500.0,0.044,0.012,0.06591487461715037,0.010198039027185569,0.010097128304622062,0.0,0.010097128304622062,0.002493917942047119,swebench-verified
2,20231010_rag_claude2,20231010_rag_swellama7b,25.0,15.0,500.0,0.044,0.014,0.1404341062521042,0.01,0.009909591313469995,0.0,0.009909591313469995,0.004077315330505371,swebench-verified
3,20231010_rag_claude2,20240402_rag_claude3opus,35.0,-13.0,500.0,0.044,0.07,0.3615558171635398,0.011832159566199233,0.011774888534504264,0.0,0.011774888534504264,0.040959591511636986,swebench-verified
4,20231010_rag_claude2,20240402_rag_gpt4,30.0,8.0,500.0,0.044,0.028,0.14091876039585516,0.010954451150103323,0.010931056673533442,0.0,0.010931056673533442,0.20048842206597334,swebench-verified
5,20231010_rag_claude2,20240402_sweagent_claude3opus,79.0,-57.0,500.0,0.044,0.158,0.20115874105207768,0.017776388834631177,0.017029621252394312,0.0,0.017029621252394312,3.544560973532992e-11,swebench-verified
6,20231010_rag_claude2,20240402_sweagent_gpt4,106.0,-90.0,500.0,0.044,0.224,0.21218900828771764,0.020591260281974,0.018952572384771414,0.0,0.018952572384771414,8.07995881983345e-21,swebench-verified
7,20231010_rag_claude2,20240509_amazon-q-developer-agent-20240430-dev,116.0,-106.0,500.0,0.044,0.256,0.25401088391964904,0.02154065922853802,0.01934197508012044,0.0,0.01934197508012044,4.0398783181127895e-27,swebench-verified
8,20231010_rag_claude2,20240612_MASAI_gpt4o,149.0,-141.0,500.0,0.044,0.326,0.22526006758530526,0.024413111231467405,0.020903396853143272,0.0,0.02090339685314327,5.681270631187155e-38,swebench-verified
9,20231010_rag_claude2,20240615_appmap-navie_gpt4o,123.0,-109.0,500.0,0.044,0.262,0.20482351222275696,0.022181073012818835,0.019923654283288496,0.0,0.019923654283288496,1.4200088046486058e-26,swebench-verified
10,20231010_rag_claude2,20240617_factory_code_droid,169.0,-163.0,500.0,0.044,0.37,0.21934785902745144,0.026000000000000002,0.02152784243717888,0.0,0.021527842437178882,2.1505332133872815e-45,swebench-verified
11,20231010_rag_claude2,20240620_sweagent_claude3.5sonnet,156.0,-146.0,500.0,0.044,0.336,0.1983599669683651,0.024979991993593593,0.021294882014230555,0.0,0.021294882014230555,1.6334509634623737e-38,swebench-verified
12,20231010_rag_claude2,20240628_autocoderover-v20240620,180.0,-170.0,500.0,0.044,0.384,0.17146932381123206,0.026832815729997475,0.022108821768696767,0.0,0.022108821768696767,1.9995053181483654e-45,swebench-verified
13,20231010_rag_claude2,20240721_amazon-q-developer-agent-20240719-dev,178.0,-172.0,500.0,0.044,0.388,0.20940202077209952,0.026683328128252668,0.0218020182551983,0.0,0.0218020182551983,4.9075927462409255e-48,swebench-verified
14,20231010_rag_claude2,20240728_sweagent_gpt4o,112.0,-94.0,500.0,0.044,0.232,0.18241361431935957,0.021166010488516726,0.019424520586104565,0.0,0.019424520586104565,2.314511484284655e-21,swebench-verified
