,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
13,dbrx-base,0.781843896402369,0.003882887569954819,0.0,0.0038828875699548184,,0.2640603098836989,1087.5143410858284
0,Meta-Llama-3-70B,0.7763634756474852,0.003917554268186079,0.0,0.0039175542681860786,,0.2573676301599929,1085.4324328054643
3,Mixtral-8x22B-v0.1,0.7702642977105985,0.00395498860776649,0.0,0.0039549886077664895,,0.25252111982422243,1083.1216284976606
7,Qwen1.5-110B,0.7459559798461947,0.004092815755626216,0.0,0.004092815755626216,,0.23207182634390272,1073.9722733926408
27,llama_65B,0.733404048439848,0.004157282459945599,0.0,0.004157282459945599,,0.22479827253096943,1069.2827068914107
4,Mixtral-8x7B-v0.1,0.7314593830106957,0.004166882031202226,0.0,0.004166882031202226,,0.22154032655225972,1068.5581178074704
14,deepseek-llm-67b-base,0.7294263236984001,0.004176808786102299,0.0,0.0041768087861022984,,0.21945675644959656,1067.8011371647226
26,llama_33B,0.7071510651462919,0.004278475316110025,0.0,0.004278475316110025,,0.20467477364852066,1059.5417335231089
11,Qwen1.5-72B,0.706885883496862,0.00427960935565945,0.0,0.00427960935565945,,0.2076321804245432,1059.4437676841521
23,llama2_70B,0.686820472023336,0.004360430862732432,0.0,0.004360430862732431,,0.19810837090073366,1052.0532812275437
17,falcon-40b,0.6751524794484222,0.00440303175910773,0.0,0.00440303175910773,,0.1838087661476683,1047.7743797081569
9,Qwen1.5-32B,0.6549102802086095,0.004469593442674562,0.0,0.004469593442674562,,0.17355507570304707,1040.3793428041333
1,Meta-Llama-3-8B,0.6535843719614602,0.004473636304857368,0.0,0.004473636304857367,,0.16996628404742964,1039.8960802619717
2,Mistral-7B-v0.1,0.6422699549191196,0.004506585533760874,0.0,0.004506585533760873,,0.16237198671566214,1035.7772956716597
25,llama_13B,0.6355520198002298,0.004524852553700543,0.0,0.004524852553700542,,0.16148804788422927,1033.3357593889398
28,mpt-30b,0.6078847343763811,0.0045901682032418656,0.0,0.0045901682032418656,,0.14581707517268377,1023.3065078035106
22,llama2_13B,0.6037302218686467,0.004598625472207128,0.0,0.004598625472207127,,0.14937556035408064,1021.803515678008
20,gemma-7b,0.6033766463360736,0.004599329204780173,0.0,0.004599329204780172,,0.14713540680127793,1021.6756314108279
16,deepseek-moe-16b-base,0.5914434721117299,0.0046216154334711695,0.0,0.0046216154334711695,,0.1365230897450468,1017.3620039222432
24,llama_07B,0.5635110050384513,0.00466282328605697,0.0,0.00466282328605697,,0.12522635147933478,1007.278309120497
15,deepseek-llm-7b-base,0.5443295323963582,0.004682389059891015,0.0,0.004682389059891014,,0.11523531714462502,1000.3582754665981
8,Qwen1.5-14B,0.5399098382391938,0.004685901987246184,0.0,0.004685901987246183,,0.11697541387278858,998.763684233939
21,llama2_07B,0.5262087863519844,0.004694438516466134,0.0,0.004694438516466134,,0.11295475495952823,993.8190870400258
18,falcon-7b,0.5216123044285336,0.004696507504139105,0.0,0.004696507504139105,,0.10526701266558068,992.1595664195455
35,stablelm-base-alpha-7b-v2,0.49553610890126404,0.004700713713968268,0.0,0.004700713713968269,,0.09560934954729704,982.734233773269
34,stablelm-3b-4e1t,0.4871386900026518,0.004699345620654698,0.0,0.004699345620654698,,0.09336919599449432,979.6937253060162
12,Qwen1.5-7B,0.4806859365331919,0.004697392568883666,0.0,0.004697392568883667,,0.0938439974239497,977.3551353498978
19,gemma-2b,0.428268363829223,0.004652273256954413,0.0,0.004652273256954413,,0.07497316614261722,958.2622285091986
10,Qwen1.5-4B,0.3935295677539114,0.0045930863138079125,0.0,0.004593086313807912,,0.06684092889343486,945.4797806667142
30,pythia-12b-deduped-v0,0.377972244320693,0.00455875175059419,0.0,0.004558751750594191,,0.060077534063214255,939.711794965843
33,pythia-6.9b-deduped-v0,0.3316538495536109,0.004426437670297693,0.0,0.004426437670297693,,0.04819234508971979,922.3422858450667
6,Qwen1.5-1.8B,0.2619994696367011,0.004134182549638274,0.0,0.004134182549638273,,0.03373868242603326,895.5109691688467
32,pythia-2.8b-deduped,0.2414036948643154,0.00402335565148383,0.0,0.00402335565148383,,0.0302155547978937,887.3722651320732
31,pythia-1b-deduped,0.147175815433572,0.0033308807575695236,0.0,0.003330880757569523,,0.017363084188859845,848.5461288848335
5,Qwen1.5-0.5B,0.133916732962079,0.003201904343564533,0.0,0.0032019043435645325,,0.01510020078039171,842.8296833513912
29,pythia-1.4b-deduped-v0,0.1268452223106161,0.003128915111546844,0.0,0.0031289151115468437,,0.013193418444015103,839.750910036791
