,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
30,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,0,1100,2,0.0018181818
31,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,1,1100,1,0.0009090909
32,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,2,1100,3,0.0027272727
33,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,3,1100,0,0.0
34,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,4,1100,0,0.0
35,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,5,1100,4,0.0036363636
36,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,6,1100,0,0.0
37,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,7,1100,4,0.0036363636
38,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,8,1100,4,0.0036363636
39,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,9,1100,4,0.0036363636
40,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,10,1100,0,0.0
41,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,11,1100,0,0.0
42,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,12,1100,0,0.0
43,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,13,1100,2,0.0018181818
44,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,14,1100,0,0.0
45,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,15,1100,0,0.0
46,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,16,1100,0,0.0
47,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,17,1100,0,0.0
48,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,18,1100,0,0.0
49,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,19,1100,7,0.0063636364
50,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,20,1100,5,0.0045454545
51,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,21,1100,0,0.0
52,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,22,1100,0,0.0
53,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,23,1100,0,0.0
54,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,24,1100,0,0.0
55,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,25,1100,0,0.0
56,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,26,1100,1,0.0009090909
57,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,27,1100,0,0.0
58,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,28,1100,0,0.0
59,llama-3.2-1B-instruct,aime2025_cot,0.7,-1,29,1100,4,0.0036363636
754,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,0,1100,4,0.0036363636
755,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,1,1100,0,0.0
756,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,2,1100,0,0.0
757,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,3,1100,0,0.0
758,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,4,1100,0,0.0
759,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,5,1100,104,0.0945454545
760,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,6,1100,0,0.0
761,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,7,1100,5,0.0045454545
762,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,8,1100,41,0.0372727273
763,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,9,1100,5,0.0045454545
764,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,10,1100,3,0.0027272727
765,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,11,1100,0,0.0
766,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,12,1100,7,0.0063636364
767,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,13,1100,4,0.0036363636
768,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,14,1100,0,0.0
769,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,15,1100,4,0.0036363636
770,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,16,1100,3,0.0027272727
771,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,17,1100,0,0.0
772,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,18,1100,0,0.0
773,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,19,1100,54,0.0490909091
774,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,20,1100,13,0.0118181818
775,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,21,1100,0,0.0
776,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,22,1100,0,0.0
777,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,23,1100,0,0.0
778,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,24,1100,0,0.0
779,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,25,1100,0,0.0
780,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,26,1100,1,0.0009090909
781,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,27,1100,0,0.0
782,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,28,1100,0,0.0
783,llama-3.2-3B-instruct,aime2025_cot,0.7,-1,29,1100,3,0.0027272727
1478,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,0,1100,12,0.0109090909
1479,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,1,1100,0,0.0
1480,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,2,1100,28,0.0254545455
1481,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,3,1100,12,0.0109090909
1482,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,4,1100,17,0.0154545455
1483,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,5,1100,45,0.0409090909
1484,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,6,1100,5,0.0045454545
1485,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,7,1100,0,0.0
1486,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,8,1100,28,0.0254545455
1487,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,9,1100,6,0.0054545455
1488,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,10,1100,0,0.0
1489,llama-3.1-8B-instruct,aime2025_cot,0.7,-1,11,1100,0,0.0
