,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
0,deepseek_r1_distill_llama_70b,0.37457575756999995,0.31507899451469745,1100.0,0.0883683124600028,0.06746591811454461,0.0570728353946976
4,deepseek_r1_distill_qwen_32b,0.36596969697333337,0.3068901897072074,1100.0,0.08794617252815874,0.0676680669050921,0.05617438903700371
3,deepseek_r1_distill_qwen_14b,0.31396969696666666,0.26020551423909916,1100.0,0.08473344997762615,0.06276075059406588,0.05692842637892189
13,google_gemma_3_27b_it,0.27801837270999996,0.22451810577958461,1016.0,0.08179734248855186,0.06102843258104619,0.054464076737700706
5,deepseek_r1_distill_qwen_7b,0.2736969696966666,0.2241367310764078,1100.0,0.08140166633747505,0.06109526700073741,0.05379218932731987
47,qwen3-32b,0.24112121212333332,0.1906076261380204,1100.0,0.07809860715520857,0.06147506804823294,0.04816854210009602
46,qwen3-14b,0.23697868396000005,0.18911033605303423,1079.0,0.07763585668761278,0.06134767802394461,0.047579287980065124
49,qwen3-8b,0.21806060606333336,0.1720550415691028,1100.0,0.07539013599196849,0.05797819059350851,0.048189231373723974
11,google_gemma_3_12b_it,0.2053636363633333,0.1588514750778512,1100.0,0.07375396333372236,0.057755434951008884,0.045868909307414815
1,deepseek_r1_distill_llama_8b,0.20372727272333332,0.16375166219371554,1100.0,0.07353513243614598,0.05054420734612836,0.05341066191457575
16,llama-3.1-70B-instruct,0.19236363635666665,0.15470236974224177,1100.0,0.07196292280619393,0.05265181992462665,0.04905556153419216
37,qwen2-math-72b-instruct,0.16731182796000002,0.12872493628917644,155.0,0.06814655290491793,0.05057645119667135,0.04567247811509137
48,qwen3-4b,0.16469696969,0.12343965176365107,1100.0,0.06771801283384188,0.05211850033956905,0.04323645666007697
2,deepseek_r1_distill_qwen_1.5b,0.14327272727333332,0.10984651322332559,1100.0,0.06396500420620492,0.043555029419446695,0.04684528978852565
41,qwen2.5-coder-32b-instruct,0.13321212120666667,0.09775846107770982,1100.0,0.06203941004723987,0.0472119215259497,0.040248265364325145
45,qwen3-1.7b,0.09263636364000001,0.06781399896914647,1100.0,0.05293230512379552,0.037590181737908415,0.037266703136038276
40,qwen2.5-coder-14b-instruct,0.08041396354666665,0.0588219813506336,1079.0,0.049647946588414586,0.03047332392494514,0.03919560089361348
14,google_gemma_3_4b_it,0.07018181818666666,0.051196112906375574,1100.0,0.04663915757625428,0.027494198404293773,0.03767333371933001
19,llama-3.2-3B-instruct,0.05757575756666666,0.04445553664573522,1100.0,0.04252873135003014,0.020203843351562542,0.03742322412711869
35,qwen2-72b-instruct,0.05090909090666666,0.03555324290439447,1100.0,0.040132013559303424,0.024387294409234896,0.03187221962338698
43,qwen2.5-coder-7b-instruct,0.05015151515,0.035643744927948584,1100.0,0.03984818719346353,0.020961072115122714,0.033889695755346276
17,llama-3.1-8B-instruct,0.048424242420000006,0.035822913084870595,1100.0,0.03919155315713199,0.019610904434265185,0.03393214208001641
8,google_gemma_2_27b_it,0.041181818173333336,0.027059738591832642,1100.0,0.03627941382532333,0.02452558679526829,0.026733713918137576
20,mistralai_mathstral_7b_v0.1,0.02157575757666667,0.015220917574921519,1100.0,0.026526869561295505,0.01065089513663481,0.024294716329078526
36,qwen2-7b-instruct,0.01803030302666667,0.012783085669243497,1100.0,0.024293491034591445,0.00839225268428143,0.02279789028684334
