,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,google_gemma_3_27b_it,0.86525,0.43271753857910217,8.0,0.015270392103675664,0.012727818941201199,0.008437268515343103
3,deepseek_r1_distill_qwen_32b,0.8484825688058,0.4211227763616175,1090.0,0.016034955518398602,0.01208328686811417,0.010541061471212535
45,qwen3-32b,0.823405714286,0.39879421052114844,700.0,0.017053371746793194,0.013187088389165907,0.01081287139249561
44,qwen3-14b,0.822932344761,0.3980491976618281,1079.0,0.017071303448018414,0.013600661433824712,0.010317529257375448
0,deepseek_r1_distill_llama_70b,0.8206296296288,0.40125475282484735,1080.0,0.017157892679702743,0.012593455961673905,0.011653246249418098
35,qwen2-math-72b-instruct,0.8112571428552001,0.387214486533292,35.0,0.01749965662643799,0.014605940306764011,0.00963869751566474
10,google_gemma_3_12b_it,0.8023517305878,0.3826336876352277,1069.0,0.01780917915068308,0.014720763034376408,0.010023272804172395
47,qwen3-8b,0.7971545454536,0.37810689228122807,1100.0,0.017983279796314377,0.01448088766645248,0.010663125462270114
46,qwen3-4b,0.7819309090925999,0.36830054239461374,1100.0,0.018466995559550028,0.014698506621391836,0.011179616634632005
4,deepseek_r1_distill_qwen_7b,0.7810054545448001,0.3723186998950181,1100.0,0.018495185022922606,0.013775476519205163,0.012341317421611354
39,qwen2.5-coder-32b-instruct,0.7697972602752,0.35667525777504977,1095.0,0.01882601595388658,0.015125575170486828,0.011208740003137922
38,qwen2.5-coder-14b-instruct,0.7260129749740001,0.32666183063097665,1079.0,0.019945833406674288,0.015705731265132146,0.01229496952880546
1,deepseek_r1_distill_llama_8b,0.7054929577492,0.328408760690972,71.0,0.020384927977085694,0.014624763709343491,0.01420075966548412
2,deepseek_r1_distill_qwen_1.5b,0.6866818181816,0.3074555825649655,1100.0,0.020743668853913575,0.015260986369208808,0.014049985500335831
43,qwen3-1.7b,0.6792581818196,0.29927743386253597,1100.0,0.020874218751882966,0.01640001865277951,0.012914038744325751
15,llama-3.1-70B-instruct,0.6642602870817998,0.2914985489708607,1045.0,0.021119590814587516,0.016927733873180518,0.012628893146051486
13,google_gemma_3_4b_it,0.6568654545479999,0.2941969249506607,1100.0,0.02123173234427419,0.017077307900152494,0.012615546489244445
33,qwen2-72b-instruct,0.6531069767422,0.2794232536126213,215.0,0.02128653347414104,0.016763084007392234,0.01311928054074756
41,qwen2.5-coder-7b-instruct,0.6242527272734001,0.2648394105364808,1100.0,0.021659236356119393,0.016034444448906157,0.014560876029456013
7,google_gemma_2_27b_it,0.53056284153,0.20783875067091923,1098.0,0.022318867028485657,0.018761079570243616,0.012089405229133971
34,qwen2-7b-instruct,0.5248927272726001,0.20535164039837914,1100.0,0.022332951087079018,0.01690449928256944,0.014594471839140779
20,mistralai_ministral_8b_instruct_2410,0.49311636363579997,0.1898097505766005,1100.0,0.02235856057756874,0.016505992341236515,0.015081692475708832
19,mistralai_mathstral_7b_v0.1,0.4852363636366,0.18637460900395417,1100.0,0.022350929960130488,0.016310616651053454,0.015281618191311953
16,llama-3.1-8B-instruct,0.4841509090918,0.18721870892632209,1100.0,0.022349443228742126,0.01682143033216877,0.014715199428304042
24,mistralai_mixtral_8x22b_instruct_v0.1,0.47787999999999997,0.18429649107122056,100.0,0.022338787147023,0.01638059251675592,0.015188732666025826
40,qwen2.5-coder-3b-instruct,0.4743054545444,0.18721227979501023,1100.0,0.022331134782353993,0.014945960525756787,0.016592101874994023
8,google_gemma_2_9b_it,0.47407454545520006,0.17578866724017547,1100.0,0.02233060101325737,0.01879997404946614,0.012050589917206986
18,llama-3.2-3B-instruct,0.44469636363739995,0.16670681606519902,1100.0,0.022223478926805016,0.016910449722705265,0.014419421132139947
29,qwen1.5-72b-chat,0.4057179487188,0.14863341650831105,390.0,0.021959548939184028,0.016026516940063115,0.015012413009982387
28,qwen1.5-32b-chat,0.39899999999780006,0.1461870704600724,30.0,0.021899726025663226,0.01608264074511784,0.014864274844828006
42,qwen3-0.6b,0.33444727272619995,0.12143335106874233,1100.0,0.021099397834640057,0.014335136071081623,0.015481875300104574
37,qwen2.5-coder-1.5b-instruct,0.33107454545259996,0.1166638887671641,1100.0,0.02104586376492798,0.014233200907060645,0.01550304400919886
27,qwen1.5-14b-chat,0.3087363636358,0.10396707613414848,1100.0,0.020660020397121736,0.014696758393385488,0.014520390336900016
17,llama-3.2-1B-instruct,0.2662054545446,0.0892108860855218,1100.0,0.019765632320535707,0.013689399875890785,0.01425764889694536
6,google_codegemma_1.1_7b_it,0.21948545454360002,0.07041846495411087,1100.0,0.01851008318659802,0.013192084882298479,0.012984301137643508
5,deepseek_v2_lite_chat,0.21423636363579998,0.06976843236603143,1100.0,0.01834879528099375,0.011486607969497608,0.014308603202929787
30,qwen1.5-7b-chat,0.1702236363618,0.05270217762948287,1100.0,0.016807590546271983,0.010720823753656853,0.012944459742073375
11,google_gemma_3_1b_it,0.1447254545452,0.060053943187961714,1100.0,0.01573403936386872,0.01005483599735981,0.012102077002315258
23,mistralai_mistral_7b_instruct_v0.3,0.1393836363604,0.043361691502830965,1100.0,0.015489082495445092,0.009701855860322427,0.01207417365355621
22,mistralai_mistral_7b_instruct_v0.2,0.1044087431634,0.03215825101442291,915.0,0.01367534698020048,0.007893107857406358,0.011167540614666613
36,qwen2.5-coder-0.5b-instruct,0.08659454545240002,0.027710530807262858,1100.0,0.012577434567533416,0.0068110301262225,0.010573633666827785
32,qwen2-1.5b-instruct,0.07182230624260001,0.021676477879892,1058.0,0.01154676253922234,0.005146113874707662,0.010336596979941206
21,mistralai_mistral_7b_instruct_v0.1,0.0604018181778,0.018763699833751826,1100.0,0.010653960628669133,0.004858121025133641,0.00948185304581264
14,google_gemma_7b_it,0.057750909088,0.017154038050678787,1100.0,0.01043223289497599,0.006774081539295021,0.007933681520832655
31,qwen2-0.5b-instruct,0.0333709090876,0.011333840727484503,1100.0,0.008032097050492746,0.0027651355790760048,0.007541127784215188
