,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.37457575756999995,0.31396969696666666,6.2246958677930415,1.8181818180999998,0.08316446802566747,0.6875,0.08061112993855488,0.01719703421988394,0.08242507055459788,0.9676918153237638,aime2024_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.37457575756999995,0.36596969697333337,5.898755372117537,0.2581818178999997,0.0809578448063321,1.0,0.08008040037156963,0.011782754462156902,0.08094259587131096,0.9847991593680893,aime2024_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.37457575756999995,0.27801837270999996,7.4747261991312985,2.8967215457999997,0.09113315166484758,0.453125,0.07889007665657576,0.04208122524896709,0.08941182088143995,0.7899871495057764,aime2024_cot
3,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,30.0,0.20372727272333332,0.14327272727333332,5.132685950287868,1.8136363635,0.075518106366677,1.0,0.07104350766624673,0.023107992964177555,0.07470715708924103,0.8898158593745618,aime2024_cot
4,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,30.0,0.20372727272333332,0.2736969696966666,5.702806611440297,-2.0990909092,0.07960183283373078,0.375,0.07580434313929077,0.020663044351979642,0.07857009507866981,0.9488932429523091,aime2024_cot
5,deepseek_r1_distill_llama_8b,google_gemma_3_12b_it,30.0,0.20372727272333332,0.2053636363633333,6.0049950411480495,-0.04909090919999981,0.08168363797228134,0.6875,0.07040352013361945,0.041418254538102155,0.08168309161746988,0.7150814472255715,aime2024_cot
6,deepseek_r1_distill_llama_8b,google_gemma_3_27b_it,30.0,0.20372727272333332,0.27801837270999996,6.602958124630021,-2.2287329996,0.08565407251542569,0.6875,0.0762825960560026,0.0365186722950544,0.08457332846256459,0.8016467194421203,aime2024_cot
7,deepseek_r1_distill_llama_8b,llama-3.1-70B-instruct,30.0,0.20372727272333332,0.19236363635666665,6.704565289140893,0.34090909100000033,0.08631058444903686,1.0,0.07251997603135307,0.04675538104465094,0.08628564527323493,0.5901121405709386,aime2024_cot
8,deepseek_r1_distill_llama_8b,qwen2-math-72b-instruct,30.0,0.20372727272333332,0.16731182796000002,6.496029325441203,1.0924633428999995,0.08495769748293168,1.0,0.07027570037592376,0.04727508305331338,0.084697151906214,0.5628659262290961,aime2024_cot
9,deepseek_r1_distill_llama_8b,qwen2.5-coder-32b-instruct,30.0,0.20372727272333332,0.13321212120666667,5.7050280988288105,2.1154545454999996,0.07961733548549453,1.0,0.06687766197311511,0.04123775235192779,0.07856954810885176,0.6460093510307998,aime2024_cot
10,deepseek_r1_distill_llama_8b,qwen3-14b,30.0,0.20372727272333332,0.23697868396000005,6.3410287302554345,-0.9975423371000001,0.08393799782018625,0.6875,0.07152962638545712,0.04349994040889611,0.08371817166195518,0.7136953119190059,aime2024_cot
11,deepseek_r1_distill_llama_8b,qwen3-32b,30.0,0.20372727272333332,0.24112121212333332,6.106261157043752,-1.1218181820000002,0.08236950053835158,0.6875,0.07192292579005553,0.03956282524383174,0.0820860791820136,0.7673581631955526,aime2024_cot
12,deepseek_r1_distill_llama_8b,qwen3-4b,30.0,0.20372727272333332,0.16469696969,5.446238016393983,1.1709090909999995,0.07779058795105673,1.0,0.06871746496104048,0.03575621295108685,0.07746351886711124,0.7578039631963246,aime2024_cot
13,deepseek_r1_distill_llama_8b,qwen3-8b,30.0,0.20372727272333332,0.21806060606333336,6.452322314161869,-0.4300000002000002,0.08467140612825211,1.0,0.07193678354321532,0.044581364279679396,0.08463095691046445,0.6703191953088651,aime2024_cot
14,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_8b,30.0,0.14327272727333332,0.20372727272333332,5.132685950287868,-1.8136363635,0.075518106366677,0.375,0.07104350766624673,0.023107992964177555,0.07470715708924103,0.8898158593745619,aime2024_cot
15,deepseek_r1_distill_qwen_1.5b,google_gemma_3_12b_it,30.0,0.14327272727333332,0.2053636363633333,4.931285950259141,-1.8627272727,0.07402166312235253,0.625,0.06556247414811915,0.03243854541419562,0.07314846030513303,0.830929378295021,aime2024_cot
16,deepseek_r1_distill_qwen_1.5b,google_gemma_3_4b_it,30.0,0.14327272727333332,0.07018181818666666,4.374072727284545,2.1927272726000004,0.0697142798004393,0.625,0.06011456769285589,0.03268399495407205,0.06842517647077544,0.6616759720198532,aime2024_cot
17,deepseek_r1_distill_qwen_1.5b,llama-3.1-70B-instruct,30.0,0.14327272727333332,0.19236363635666665,5.848790082569372,-1.4727272724999994,0.08061423973033116,1.0,0.0678301503227426,0.042630925113183275,0.08011444981282527,0.6217937437879487,aime2024_cot
18,deepseek_r1_distill_qwen_1.5b,llama-3.1-8B-instruct,30.0,0.14327272727333332,0.048424242420000006,4.296211570142612,2.8454545456000004,0.0690910154164025,0.625,0.05784350820541028,0.033583068161318556,0.06688567790369725,0.6754088503336129,aime2024_cot
19,deepseek_r1_distill_qwen_1.5b,llama-3.2-3B-instruct,30.0,0.14327272727333332,0.05757575756666666,4.515659504038132,2.5709090912,0.0708336039527233,0.625,0.05995814272840266,0.03431649091804467,0.06908400993260123,0.6407052530720095,aime2024_cot
20,deepseek_r1_distill_qwen_1.5b,qwen2-72b-instruct,30.0,0.14327272727333332,0.05090909090666666,4.207421487585059,2.7709090910000005,0.06837333371997738,0.625,0.05665968195368167,0.034354405260391914,0.06626118562090179,0.6173831369349281,aime2024_cot
21,deepseek_r1_distill_qwen_1.5b,qwen2-math-72b-instruct,30.0,0.14327272727333332,0.16731182796000002,5.148175953001149,-0.7211730206000002,0.07563197408064005,1.0,0.06542519722969466,0.037689208783541414,0.07550452232332723,0.6887734968238243,aime2024_cot
22,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-14b-instruct,30.0,0.14327272727333332,0.08041396354666665,4.53350240118856,1.8857629117999999,0.07097340974061703,0.625,0.06108008108035204,0.0342744965368173,0.07003939903821761,0.6219259361101876,aime2024_cot
23,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-32b-instruct,30.0,0.14327272727333332,0.13321212120666667,4.352406611281934,0.3018181820000003,0.06954140741938442,1.0,0.06176086171847087,0.03190970770543732,0.06951714526686584,0.7556658904534489,aime2024_cot
24,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-7b-instruct,30.0,0.14327272727333332,0.05015151515,4.297862809791009,2.7936363637,0.06910429163221347,0.625,0.057818618573612444,0.03381358400581783,0.06698022929999106,0.6533958341177266,aime2024_cot
