,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,500.0,0.8206296296288,0.8484825688058,67.16392116982068,-13.926469588499998,0.016390719468018563,0.08643723427347082,0.01571343772347281,0.004493549504370572,0.016343320110604437,0.9345085431654597,math500_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,500.0,0.8206296296288,0.7810054545448001,80.59651683537311,19.812087542,0.01795511256833252,0.03299261842647619,0.016973693288455077,0.005580291478836254,0.01786745412305058,0.9142773418273158,math500_cot
2,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.8206296296288,0.8023517305878,85.62175969367789,9.138949520500006,0.018506405344493878,0.3856694201192796,0.015370886306795681,0.010273983148300692,0.01848834431710978,0.7275153296761376,math500_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,500.0,0.8206296296288,0.86525,77.47037037125,-22.310185185600005,0.017603450840247205,0.011672721024383069,0.014386995800012492,0.009945545657795596,0.017489983607221416,0.6915043491861774,math500_cot
4,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,500.0,0.8206296296288,0.8112571428552001,83.64021164129905,4.686243386800001,0.018291004525864515,0.6608836477612154,0.015122917640060685,0.01028020046499556,0.01828620134277629,0.7237337340914958,math500_cot
5,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.8206296296288,0.7260129749740001,103.90572375122876,47.308327327399994,0.020386831411597906,4.027763000797049e-06,0.016940024317096826,0.010523965434424038,0.019942875227227982,0.7445071045291007,math500_cot
6,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,500.0,0.8206296296288,0.7697972602752,91.69405885269623,25.416184676799993,0.019151402961944716,0.011456340539425666,0.01616892082383736,0.010008714965222154,0.019016003151624244,0.7538819285157466,math500_cot
7,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.8206296296288,0.822932344761,81.74053650598299,-1.1513575660999962,0.018082094624902612,1.0,0.015564368221240958,0.009203368019567426,0.018081801376797938,0.7556987184573944,math500_cot
8,deepseek_r1_distill_llama_70b,qwen3-32b,500.0,0.8206296296288,0.823405714286,82.00638095164521,-1.3880423285999939,0.018111474920794852,0.9121566075526022,0.015897054315193962,0.008677198546438015,0.018111049404011162,0.7743694939730973,math500_cot
9,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.8206296296288,0.7819309090925999,91.09648989927763,19.3493602681,0.019088896238313793,0.058573528410188855,0.016148745345905907,0.010030393880995652,0.019010280841030014,0.7402080838173155,math500_cot
10,deepseek_r1_distill_llama_70b,qwen3-8b,500.0,0.8206296296288,0.7971545454536,85.65570538674183,11.737542087600005,0.018510073515439297,0.2779992890805517,0.01579558143196034,0.009592719615375592,0.018480277660059708,0.7574694925717036,math500_cot
11,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,500.0,0.7054929577492,0.6866818181816,112.0063380258729,9.405569783799997,0.021166609367196526,0.5085131799736629,0.01997657797613214,0.006946507505454846,0.021149884968004632,0.8928053508095158,math500_cot
12,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,500.0,0.7054929577492,0.7810054545448001,104.11686299411502,-37.75624839779999,0.020407534196381007,0.000247115841064573,0.018814082246493145,0.007147970820732314,0.020126181397171424,0.8749840520328288,math500_cot
