,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
60,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,0,13,0,0.0
61,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,1,13,0,0.0
62,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,2,13,0,0.0
63,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,3,13,0,0.0
64,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,4,13,0,0.0
65,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,5,13,0,0.0
66,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,6,13,0,0.0
67,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,7,13,1,0.0769230769
68,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,8,13,0,0.0
69,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,9,13,0,0.0
70,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,10,13,1,0.0769230769
71,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,11,13,0,0.0
72,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,12,13,0,0.0
73,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,13,13,0,0.0
74,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,14,13,0,0.0
75,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,15,13,0,0.0
76,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,16,13,0,0.0
77,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,17,13,0,0.0
78,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,18,13,0,0.0
79,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,19,13,0,0.0
80,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,20,13,0,0.0
81,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,21,13,0,0.0
82,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,22,13,0,0.0
83,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,23,13,0,0.0
84,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,24,13,0,0.0
85,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,25,13,0,0.0
86,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,26,13,0,0.0
87,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,27,13,0,0.0
88,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,28,13,0,0.0
89,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,29,13,0,0.0
90,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,30,13,0,0.0
91,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,31,13,0,0.0
92,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,32,13,0,0.0
93,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,33,13,0,0.0
94,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,34,13,0,0.0
95,qwen1.5-0.5b-chat,cruxeval_input_cot,0.7,-1,35,13,0,0.0
