,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
860,qwen1.5-0.5b-chat,ds1000,0.7,-1,0,13,0,0.0
861,qwen1.5-0.5b-chat,ds1000,0.7,-1,1,13,0,0.0
862,qwen1.5-0.5b-chat,ds1000,0.7,-1,2,13,0,0.0
863,qwen1.5-0.5b-chat,ds1000,0.7,-1,3,13,0,0.0
864,qwen1.5-0.5b-chat,ds1000,0.7,-1,4,13,0,0.0
865,qwen1.5-0.5b-chat,ds1000,0.7,-1,5,13,0,0.0
866,qwen1.5-0.5b-chat,ds1000,0.7,-1,6,13,0,0.0
867,qwen1.5-0.5b-chat,ds1000,0.7,-1,7,13,0,0.0
868,qwen1.5-0.5b-chat,ds1000,0.7,-1,8,13,0,0.0
869,qwen1.5-0.5b-chat,ds1000,0.7,-1,9,13,0,0.0
870,qwen1.5-0.5b-chat,ds1000,0.7,-1,10,13,0,0.0
871,qwen1.5-0.5b-chat,ds1000,0.7,-1,11,13,0,0.0
872,qwen1.5-0.5b-chat,ds1000,0.7,-1,12,13,0,0.0
873,qwen1.5-0.5b-chat,ds1000,0.7,-1,13,13,0,0.0
874,qwen1.5-0.5b-chat,ds1000,0.7,-1,14,13,0,0.0
875,qwen1.5-0.5b-chat,ds1000,0.7,-1,15,13,0,0.0
876,qwen1.5-0.5b-chat,ds1000,0.7,-1,16,13,0,0.0
877,qwen1.5-0.5b-chat,ds1000,0.7,-1,17,13,0,0.0
878,qwen1.5-0.5b-chat,ds1000,0.7,-1,18,13,0,0.0
879,qwen1.5-0.5b-chat,ds1000,0.7,-1,19,13,0,0.0
880,qwen1.5-0.5b-chat,ds1000,0.7,-1,20,13,0,0.0
881,qwen1.5-0.5b-chat,ds1000,0.7,-1,21,13,0,0.0
882,qwen1.5-0.5b-chat,ds1000,0.7,-1,22,13,0,0.0
883,qwen1.5-0.5b-chat,ds1000,0.7,-1,23,13,0,0.0
884,qwen1.5-0.5b-chat,ds1000,0.7,-1,24,13,0,0.0
885,qwen1.5-0.5b-chat,ds1000,0.7,-1,25,13,0,0.0
886,qwen1.5-0.5b-chat,ds1000,0.7,-1,26,13,0,0.0
887,qwen1.5-0.5b-chat,ds1000,0.7,-1,27,13,0,0.0
888,qwen1.5-0.5b-chat,ds1000,0.7,-1,28,13,0,0.0
889,qwen1.5-0.5b-chat,ds1000,0.7,-1,29,13,0,0.0
890,qwen1.5-0.5b-chat,ds1000,0.7,-1,30,13,0,0.0
891,qwen1.5-0.5b-chat,ds1000,0.7,-1,31,13,0,0.0
892,qwen1.5-0.5b-chat,ds1000,0.7,-1,32,13,0,0.0
893,qwen1.5-0.5b-chat,ds1000,0.7,-1,33,13,0,0.0
894,qwen1.5-0.5b-chat,ds1000,0.7,-1,34,13,0,0.0
895,qwen1.5-0.5b-chat,ds1000,0.7,-1,35,13,0,0.0
896,qwen1.5-0.5b-chat,ds1000,0.7,-1,36,13,0,0.0
897,qwen1.5-0.5b-chat,ds1000,0.7,-1,37,13,0,0.0
898,qwen1.5-0.5b-chat,ds1000,0.7,-1,38,13,0,0.0
899,qwen1.5-0.5b-chat,ds1000,0.7,-1,39,13,0,0.0
900,qwen1.5-0.5b-chat,ds1000,0.7,-1,40,13,0,0.0
901,qwen1.5-0.5b-chat,ds1000,0.7,-1,41,13,0,0.0
902,qwen1.5-0.5b-chat,ds1000,0.7,-1,42,13,0,0.0
903,qwen1.5-0.5b-chat,ds1000,0.7,-1,43,13,0,0.0
904,qwen1.5-0.5b-chat,ds1000,0.7,-1,44,13,0,0.0
905,qwen1.5-0.5b-chat,ds1000,0.7,-1,45,13,0,0.0
906,qwen1.5-0.5b-chat,ds1000,0.7,-1,46,13,0,0.0
907,qwen1.5-0.5b-chat,ds1000,0.7,-1,47,13,0,0.0
908,qwen1.5-0.5b-chat,ds1000,0.7,-1,48,13,0,0.0
909,qwen1.5-0.5b-chat,ds1000,0.7,-1,49,13,0,0.0
910,qwen1.5-0.5b-chat,ds1000,0.7,-1,50,13,0,0.0
911,qwen1.5-0.5b-chat,ds1000,0.7,-1,51,13,0,0.0
912,qwen1.5-0.5b-chat,ds1000,0.7,-1,52,13,0,0.0
913,qwen1.5-0.5b-chat,ds1000,0.7,-1,53,13,0,0.0
914,qwen1.5-0.5b-chat,ds1000,0.7,-1,54,13,0,0.0
915,qwen1.5-0.5b-chat,ds1000,0.7,-1,55,13,0,0.0
916,qwen1.5-0.5b-chat,ds1000,0.7,-1,56,13,0,0.0
917,qwen1.5-0.5b-chat,ds1000,0.7,-1,57,13,0,0.0
918,qwen1.5-0.5b-chat,ds1000,0.7,-1,58,13,0,0.0
919,qwen1.5-0.5b-chat,ds1000,0.7,-1,59,13,0,0.0
920,qwen1.5-0.5b-chat,ds1000,0.7,-1,60,13,0,0.0
921,qwen1.5-0.5b-chat,ds1000,0.7,-1,61,13,0,0.0
922,qwen1.5-0.5b-chat,ds1000,0.7,-1,62,13,0,0.0
923,qwen1.5-0.5b-chat,ds1000,0.7,-1,63,13,0,0.0
924,qwen1.5-0.5b-chat,ds1000,0.7,-1,64,13,0,0.0
925,qwen1.5-0.5b-chat,ds1000,0.7,-1,65,13,0,0.0
926,qwen1.5-0.5b-chat,ds1000,0.7,-1,66,13,0,0.0
927,qwen1.5-0.5b-chat,ds1000,0.7,-1,67,13,0,0.0
