,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
1860,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,0,13,4,0.3076923077
1861,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,1,13,3,0.2307692308
1862,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,2,13,2,0.1538461538
1863,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,3,13,1,0.0769230769
1864,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,4,13,0,0.0
1865,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,5,13,0,0.0
1866,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,6,13,0,0.0
1867,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,7,13,6,0.4615384615
1868,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,8,13,1,0.0769230769
1869,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,9,13,2,0.1538461538
1870,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,10,13,0,0.0
1871,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,11,13,0,0.0
1872,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,12,13,0,0.0
1873,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,13,13,1,0.0769230769
1874,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,14,13,1,0.0769230769
1875,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,15,13,3,0.2307692308
1876,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,16,13,2,0.1538461538
1877,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,17,13,2,0.1538461538
1878,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,18,13,2,0.1538461538
1879,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,19,13,1,0.0769230769
1880,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,20,13,3,0.2307692308
1881,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,21,13,3,0.2307692308
1882,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,22,13,1,0.0769230769
1883,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,23,13,0,0.0
1884,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,24,13,1,0.0769230769
1885,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,25,13,3,0.2307692308
1886,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,26,13,0,0.0
1887,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,27,13,0,0.0
1888,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,28,13,2,0.1538461538
1889,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,29,13,0,0.0
1890,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,30,13,4,0.3076923077
1891,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,31,13,1,0.0769230769
1892,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,32,13,0,0.0
1893,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,33,13,2,0.1538461538
1894,qwen1.5-0.5b-chat,gmat_cot,0.7,-1,34,13,3,0.2307692308
