,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
4350,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,0,13,0,0.0
4351,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,1,13,2,0.1538461538
4352,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,2,13,4,0.3076923077
4353,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,3,13,1,0.0769230769
4354,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,4,13,0,0.0
4355,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,5,13,0,0.0
4356,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,6,13,2,0.1538461538
4357,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,7,13,0,0.0
4358,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,8,13,0,0.0
4359,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,9,13,0,0.0
4360,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,10,13,0,0.0
4361,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,11,13,2,0.1538461538
4362,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,12,13,0,0.0
4363,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,13,13,2,0.1538461538
4364,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,14,13,3,0.2307692308
4365,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,15,13,1,0.0769230769
4366,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,16,13,0,0.0
4367,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,17,13,0,0.0
4368,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,18,13,0,0.0
4369,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,19,13,2,0.1538461538
4370,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,20,13,3,0.2307692308
4371,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,21,13,0,0.0
4372,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,22,13,3,0.2307692308
4373,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,23,13,2,0.1538461538
4374,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,24,13,1,0.0769230769
4375,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,25,13,1,0.0769230769
4376,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,26,13,0,0.0
4377,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,27,13,1,0.0769230769
4378,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,28,13,0,0.0
4379,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,29,13,0,0.0
4380,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,30,13,1,0.0769230769
4381,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,31,13,0,0.0
4382,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,32,13,2,0.1538461538
4383,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,33,13,0,0.0
4384,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,34,13,0,0.0
4385,qwen1.5-0.5b-chat,gpqa_cot,0.7,-1,35,13,2,0.1538461538
