,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
2870,qwen1.5-0.5b-chat,leetcode,0.7,-1,0,13,0,0.0
2871,qwen1.5-0.5b-chat,leetcode,0.7,-1,1,13,0,0.0
2872,qwen1.5-0.5b-chat,leetcode,0.7,-1,2,13,0,0.0
2873,qwen1.5-0.5b-chat,leetcode,0.7,-1,3,13,0,0.0
2874,qwen1.5-0.5b-chat,leetcode,0.7,-1,4,13,0,0.0
2875,qwen1.5-0.5b-chat,leetcode,0.7,-1,5,13,0,0.0
2876,qwen1.5-0.5b-chat,leetcode,0.7,-1,6,13,0,0.0
2877,qwen1.5-0.5b-chat,leetcode,0.7,-1,7,13,0,0.0
2878,qwen1.5-0.5b-chat,leetcode,0.7,-1,8,13,0,0.0
2879,qwen1.5-0.5b-chat,leetcode,0.7,-1,9,13,0,0.0
2880,qwen1.5-0.5b-chat,leetcode,0.7,-1,10,13,0,0.0
2881,qwen1.5-0.5b-chat,leetcode,0.7,-1,11,13,0,0.0
2882,qwen1.5-0.5b-chat,leetcode,0.7,-1,12,13,0,0.0
2883,qwen1.5-0.5b-chat,leetcode,0.7,-1,13,13,0,0.0
2884,qwen1.5-0.5b-chat,leetcode,0.7,-1,14,13,0,0.0
2885,qwen1.5-0.5b-chat,leetcode,0.7,-1,15,13,0,0.0
2886,qwen1.5-0.5b-chat,leetcode,0.7,-1,16,13,0,0.0
2887,qwen1.5-0.5b-chat,leetcode,0.7,-1,17,13,0,0.0
2888,qwen1.5-0.5b-chat,leetcode,0.7,-1,18,13,0,0.0
2889,qwen1.5-0.5b-chat,leetcode,0.7,-1,19,13,0,0.0
2890,qwen1.5-0.5b-chat,leetcode,0.7,-1,20,13,0,0.0
2891,qwen1.5-0.5b-chat,leetcode,0.7,-1,21,13,0,0.0
2892,qwen1.5-0.5b-chat,leetcode,0.7,-1,22,13,0,0.0
2893,qwen1.5-0.5b-chat,leetcode,0.7,-1,23,13,0,0.0
2894,qwen1.5-0.5b-chat,leetcode,0.7,-1,24,13,0,0.0
2895,qwen1.5-0.5b-chat,leetcode,0.7,-1,25,13,0,0.0
2896,qwen1.5-0.5b-chat,leetcode,0.7,-1,26,13,0,0.0
2897,qwen1.5-0.5b-chat,leetcode,0.7,-1,27,13,0,0.0
2898,qwen1.5-0.5b-chat,leetcode,0.7,-1,28,13,0,0.0
2899,qwen1.5-0.5b-chat,leetcode,0.7,-1,29,13,0,0.0
2900,qwen1.5-0.5b-chat,leetcode,0.7,-1,30,13,0,0.0
2901,qwen1.5-0.5b-chat,leetcode,0.7,-1,31,13,0,0.0
2902,qwen1.5-0.5b-chat,leetcode,0.7,-1,32,13,0,0.0
2903,qwen1.5-0.5b-chat,leetcode,0.7,-1,33,13,0,0.0
2904,qwen1.5-0.5b-chat,leetcode,0.7,-1,34,13,0,0.0
2905,qwen1.5-0.5b-chat,leetcode,0.7,-1,35,13,0,0.0
2906,qwen1.5-0.5b-chat,leetcode,0.7,-1,36,13,0,0.0
2907,qwen1.5-0.5b-chat,leetcode,0.7,-1,37,13,0,0.0
2908,qwen1.5-0.5b-chat,leetcode,0.7,-1,38,13,0,0.0
2909,qwen1.5-0.5b-chat,leetcode,0.7,-1,39,13,0,0.0
2910,qwen1.5-0.5b-chat,leetcode,0.7,-1,40,13,0,0.0
2911,qwen1.5-0.5b-chat,leetcode,0.7,-1,41,13,0,0.0
2912,qwen1.5-0.5b-chat,leetcode,0.7,-1,42,13,0,0.0
2913,qwen1.5-0.5b-chat,leetcode,0.7,-1,43,13,0,0.0
2914,qwen1.5-0.5b-chat,leetcode,0.7,-1,44,13,0,0.0
2915,qwen1.5-0.5b-chat,leetcode,0.7,-1,45,13,0,0.0
2916,qwen1.5-0.5b-chat,leetcode,0.7,-1,46,13,0,0.0
2917,qwen1.5-0.5b-chat,leetcode,0.7,-1,47,13,0,0.0
2918,qwen1.5-0.5b-chat,leetcode,0.7,-1,48,13,0,0.0
2919,qwen1.5-0.5b-chat,leetcode,0.7,-1,49,13,0,0.0
2920,qwen1.5-0.5b-chat,leetcode,0.7,-1,50,13,0,0.0
2921,qwen1.5-0.5b-chat,leetcode,0.7,-1,51,13,0,0.0
2922,qwen1.5-0.5b-chat,leetcode,0.7,-1,52,13,0,0.0
2923,qwen1.5-0.5b-chat,leetcode,0.7,-1,53,13,0,0.0
2924,qwen1.5-0.5b-chat,leetcode,0.7,-1,54,13,0,0.0
2925,qwen1.5-0.5b-chat,leetcode,0.7,-1,55,13,0,0.0
2926,qwen1.5-0.5b-chat,leetcode,0.7,-1,56,13,0,0.0
2927,qwen1.5-0.5b-chat,leetcode,0.7,-1,57,13,0,0.0
2928,qwen1.5-0.5b-chat,leetcode,0.7,-1,58,13,0,0.0
2929,qwen1.5-0.5b-chat,leetcode,0.7,-1,59,13,0,0.0
2930,qwen1.5-0.5b-chat,leetcode,0.7,-1,60,13,0,0.0
2931,qwen1.5-0.5b-chat,leetcode,0.7,-1,61,13,0,0.0
2932,qwen1.5-0.5b-chat,leetcode,0.7,-1,62,13,0,0.0
2933,qwen1.5-0.5b-chat,leetcode,0.7,-1,63,13,0,0.0
2934,qwen1.5-0.5b-chat,leetcode,0.7,-1,64,13,0,0.0
2935,qwen1.5-0.5b-chat,leetcode,0.7,-1,65,13,0,0.0
2936,qwen1.5-0.5b-chat,leetcode,0.7,-1,66,13,0,0.0
2937,qwen1.5-0.5b-chat,leetcode,0.7,-1,67,13,0,0.0
2938,qwen1.5-0.5b-chat,leetcode,0.7,-1,68,13,0,0.0
2939,qwen1.5-0.5b-chat,leetcode,0.7,-1,69,13,0,0.0
2940,qwen1.5-0.5b-chat,leetcode,0.7,-1,70,13,0,0.0
2941,qwen1.5-0.5b-chat,leetcode,0.7,-1,71,13,0,0.0
2942,qwen1.5-0.5b-chat,leetcode,0.7,-1,72,13,0,0.0
2943,qwen1.5-0.5b-chat,leetcode,0.7,-1,73,13,0,0.0
2944,qwen1.5-0.5b-chat,leetcode,0.7,-1,74,13,0,0.0
2945,qwen1.5-0.5b-chat,leetcode,0.7,-1,75,13,0,0.0
2946,qwen1.5-0.5b-chat,leetcode,0.7,-1,76,13,0,0.0
2947,qwen1.5-0.5b-chat,leetcode,0.7,-1,77,13,0,0.0
2948,qwen1.5-0.5b-chat,leetcode,0.7,-1,78,13,0,0.0
2949,qwen1.5-0.5b-chat,leetcode,0.7,-1,79,13,0,0.0
2950,qwen1.5-0.5b-chat,leetcode,0.7,-1,80,13,0,0.0
