,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
7231,qwen1.5-0.5b-chat,math500_cot,0.7,-1,0,12,0,0.0
7232,qwen1.5-0.5b-chat,math500_cot,0.7,-1,1,12,0,0.0
7233,qwen1.5-0.5b-chat,math500_cot,0.7,-1,2,12,0,0.0
7234,qwen1.5-0.5b-chat,math500_cot,0.7,-1,3,12,0,0.0
7235,qwen1.5-0.5b-chat,math500_cot,0.7,-1,4,12,0,0.0
7236,qwen1.5-0.5b-chat,math500_cot,0.7,-1,5,12,0,0.0
7237,qwen1.5-0.5b-chat,math500_cot,0.7,-1,6,12,0,0.0
7238,qwen1.5-0.5b-chat,math500_cot,0.7,-1,7,12,0,0.0
7239,qwen1.5-0.5b-chat,math500_cot,0.7,-1,8,12,0,0.0
7240,qwen1.5-0.5b-chat,math500_cot,0.7,-1,9,12,0,0.0
7241,qwen1.5-0.5b-chat,math500_cot,0.7,-1,10,12,0,0.0
7242,qwen1.5-0.5b-chat,math500_cot,0.7,-1,11,12,0,0.0
7243,qwen1.5-0.5b-chat,math500_cot,0.7,-1,12,12,0,0.0
7244,qwen1.5-0.5b-chat,math500_cot,0.7,-1,13,12,0,0.0
7245,qwen1.5-0.5b-chat,math500_cot,0.7,-1,14,12,0,0.0
7246,qwen1.5-0.5b-chat,math500_cot,0.7,-1,15,12,0,0.0
7247,qwen1.5-0.5b-chat,math500_cot,0.7,-1,16,12,0,0.0
7248,qwen1.5-0.5b-chat,math500_cot,0.7,-1,17,12,0,0.0
7249,qwen1.5-0.5b-chat,math500_cot,0.7,-1,18,12,0,0.0
7250,qwen1.5-0.5b-chat,math500_cot,0.7,-1,19,12,0,0.0
7251,qwen1.5-0.5b-chat,math500_cot,0.7,-1,20,12,0,0.0
7252,qwen1.5-0.5b-chat,math500_cot,0.7,-1,21,12,0,0.0
7253,qwen1.5-0.5b-chat,math500_cot,0.7,-1,22,12,0,0.0
7254,qwen1.5-0.5b-chat,math500_cot,0.7,-1,23,12,0,0.0
7255,qwen1.5-0.5b-chat,math500_cot,0.7,-1,24,12,0,0.0
7256,qwen1.5-0.5b-chat,math500_cot,0.7,-1,25,12,0,0.0
7257,qwen1.5-0.5b-chat,math500_cot,0.7,-1,26,12,0,0.0
7258,qwen1.5-0.5b-chat,math500_cot,0.7,-1,27,12,0,0.0
7259,qwen1.5-0.5b-chat,math500_cot,0.7,-1,28,12,0,0.0
7260,qwen1.5-0.5b-chat,math500_cot,0.7,-1,29,12,0,0.0
7261,qwen1.5-0.5b-chat,math500_cot,0.7,-1,30,12,0,0.0
7262,qwen1.5-0.5b-chat,math500_cot,0.7,-1,31,12,0,0.0
7263,qwen1.5-0.5b-chat,math500_cot,0.7,-1,32,12,0,0.0
7264,qwen1.5-0.5b-chat,math500_cot,0.7,-1,33,12,0,0.0
7265,qwen1.5-0.5b-chat,math500_cot,0.7,-1,34,12,0,0.0
7266,qwen1.5-0.5b-chat,math500_cot,0.7,-1,35,12,0,0.0
7267,qwen1.5-0.5b-chat,math500_cot,0.7,-1,36,12,0,0.0
7268,qwen1.5-0.5b-chat,math500_cot,0.7,-1,37,12,0,0.0
7269,qwen1.5-0.5b-chat,math500_cot,0.7,-1,38,12,0,0.0
7270,qwen1.5-0.5b-chat,math500_cot,0.7,-1,39,12,0,0.0
7271,qwen1.5-0.5b-chat,math500_cot,0.7,-1,40,12,0,0.0
7272,qwen1.5-0.5b-chat,math500_cot,0.7,-1,41,12,0,0.0
7273,qwen1.5-0.5b-chat,math500_cot,0.7,-1,42,12,0,0.0
7274,qwen1.5-0.5b-chat,math500_cot,0.7,-1,43,12,0,0.0
7275,qwen1.5-0.5b-chat,math500_cot,0.7,-1,44,12,0,0.0
7276,qwen1.5-0.5b-chat,math500_cot,0.7,-1,45,12,0,0.0
7277,qwen1.5-0.5b-chat,math500_cot,0.7,-1,46,12,0,0.0
7278,qwen1.5-0.5b-chat,math500_cot,0.7,-1,47,12,0,0.0
7279,qwen1.5-0.5b-chat,math500_cot,0.7,-1,48,12,0,0.0
7280,qwen1.5-0.5b-chat,math500_cot,0.7,-1,49,12,0,0.0
7281,qwen1.5-0.5b-chat,math500_cot,0.7,-1,50,12,0,0.0
7282,qwen1.5-0.5b-chat,math500_cot,0.7,-1,51,12,0,0.0
7283,qwen1.5-0.5b-chat,math500_cot,0.7,-1,52,12,0,0.0
7284,qwen1.5-0.5b-chat,math500_cot,0.7,-1,53,12,0,0.0
7285,qwen1.5-0.5b-chat,math500_cot,0.7,-1,54,12,0,0.0
7286,qwen1.5-0.5b-chat,math500_cot,0.7,-1,55,12,3,0.25
7287,qwen1.5-0.5b-chat,math500_cot,0.7,-1,56,12,0,0.0
7288,qwen1.5-0.5b-chat,math500_cot,0.7,-1,57,12,0,0.0
7289,qwen1.5-0.5b-chat,math500_cot,0.7,-1,58,12,0,0.0
7290,qwen1.5-0.5b-chat,math500_cot,0.7,-1,59,12,0,0.0
7291,qwen1.5-0.5b-chat,math500_cot,0.7,-1,60,12,0,0.0
7292,qwen1.5-0.5b-chat,math500_cot,0.7,-1,61,12,0,0.0
7293,qwen1.5-0.5b-chat,math500_cot,0.7,-1,62,12,0,0.0
7294,qwen1.5-0.5b-chat,math500_cot,0.7,-1,63,12,0,0.0
7295,qwen1.5-0.5b-chat,math500_cot,0.7,-1,64,12,0,0.0
