,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
0,deepseek_r1_distill_llama_70b,0.2575757575766667,0.21249458107812166,11.0,0.07983952377226727,0.06790628952353153,0.041989110485085794
4,deepseek_r1_distill_qwen_32b,0.2545454545433333,0.2091789899523541,11.0,0.07953030158680843,0.06888859267144821,0.03974205166113089
3,deepseek_r1_distill_qwen_14b,0.24545454545333334,0.20160229748375627,11.0,0.0785719652228942,0.07412173244952032,0.02606765232370229
13,google_gemma_3_27b_it,0.24444444444333335,0.19869567977367883,12.0,0.07846259364056299,0.06607764481206221,0.04230985058937294
1,deepseek_r1_distill_llama_8b,0.21538461538666667,0.17011919871853007,13.0,0.07505422103195447,0.06826486684085939,0.031193654000665184
11,google_gemma_3_12b_it,0.20909090909000003,0.16647360067071573,11.0,0.0742455163238646,0.06285961737752069,0.03951031760627778
49,qwen3-32b,0.19090909091000002,0.15443949296996135,11.0,0.07175486276620732,0.05510654177073409,0.045956820872070606
5,deepseek_r1_distill_qwen_7b,0.18787878787666668,0.14586205535237207,11.0,0.07131627886690414,0.06651958062608311,0.02571297386052547
48,qwen3-14b,0.18055555555666664,0.14466813052654964,12.0,0.07022707144548795,0.05486843598684952,0.04383259399313103
51,qwen3-8b,0.17500000000666666,0.13817821884606107,12.0,0.06937218462859912,0.053913224746821024,0.04365620457097948
2,deepseek_r1_distill_qwen_1.5b,0.17179487179666666,0.13215130771843547,13.0,0.06886735893997811,0.06370990852018102,0.026148818017607385
50,qwen3-4b,0.16388888888333333,0.12826537115304018,12.0,0.06758434754288396,0.05672156019355561,0.036746545987428166
38,qwen2-math-72b-instruct,0.12000000000000001,0.09477223974294119,10.0,0.059329587896765304,0.040933550488023336,0.04294699575575042
43,qwen2.5-coder-32b-instruct,0.11515151515000001,0.08951049643452413,11.0,0.05827853913424716,0.03949482032651642,0.04285495643444482
39,qwen2-math-7b-instruct,0.1,0.0787162347455811,6.0,0.05477225575051661,0.04052129450816304,0.03685138655983945
14,google_gemma_3_4b_it,0.09230769230333333,0.06971289645153739,13.0,0.05284788934447192,0.042505365712262745,0.03140371465021848
47,qwen3-1.7b,0.08055555555,0.06467459917996098,12.0,0.04968781138939102,0.030297733823412634,0.039381796884262826
42,qwen2.5-coder-14b-instruct,0.07777777777666667,0.05834561045240135,12.0,0.048897305672463566,0.034901389598981834,0.034246744459677035
35,qwen2-72b-instruct,0.03636363636,0.02994362242731461,11.0,0.03417665982834762,0.011814296174344586,0.032069712860071826
