,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.9253292417855135,0.31917090494537975,11.0,0.009857995682584898,0.00826293508149163,0.0053762424347231115
48,qwen3-14b,0.9028257256111112,0.3030328156583713,11.0,0.011108177623117367,0.009740635972362988,0.005339627417773048
35,qwen2-72b-instruct,0.8895139865613222,0.2964038484378673,9.0,0.011756965453340217,0.009834091590583705,0.0064433593147554865
16,llama-3.1-70B-instruct,0.8874824191279888,0.30004030071445903,11.0,0.011851007474173397,0.011851007474173399,0.0
13,google_gemma_3_27b_it,0.8864978902953587,0.2939375811302234,10.0,0.011896138720265912,0.010324903974267621,0.005908847127313644
0,deepseek_r1_distill_llama_70b,0.8863884982047819,0.2979420842211277,9.0,0.011901135667484998,0.009771388290180752,0.006793894395587999
4,deepseek_r1_distill_qwen_32b,0.8718549773419129,0.2886213869515431,9.0,0.012535399990422929,0.009982363747791552,0.007582128126500648
51,qwen3-8b,0.8684311469130802,0.2829840658632921,11.0,0.012676794196051572,0.01067908043314459,0.006830691926260127
43,qwen2.5-coder-32b-instruct,0.8640412564464136,0.27949482975957407,9.0,0.012853932375090464,0.010628318447648335,0.007229275515484034
3,deepseek_r1_distill_qwen_14b,0.8525550867341771,0.27635619877609785,12.0,0.013296621971837983,0.010643276309247296,0.007969995311603376
11,google_gemma_3_12b_it,0.8518092315565401,0.2718918744113341,11.0,0.013324378036460261,0.011559724484667857,0.006626599421805652
50,qwen3-4b,0.8331415420030941,0.26706860708765284,11.0,0.013982946866905465,0.012206360560937412,0.006821111708445548
8,google_gemma_2_27b_it,0.8308016877637131,0.26125797113603044,10.0,0.014060860449703859,0.012096902678173744,0.007167478090712184
31,qwen1.5-72b-chat,0.8154399124880449,0.2540183476030396,9.0,0.014548897213878182,0.011777028038482006,0.008542366224928601
9,google_gemma_2_9b_it,0.808602906704782,0.24998327222997252,12.0,0.014753685371121402,0.012553821913659663,0.007750663674173979
38,qwen2-math-72b-instruct,0.8051258009081573,0.2532444253155427,9.0,0.014855054291487181,0.011583220579042354,0.009300625732727948
