,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
9,llama-3.1-70B-instruct,0.8336661035171249,0.3695927048793179,12.0,0.004614903294380035,0.004614903294380034,0.0
41,qwen3-14b,0.8251909356197205,0.3618226612977777,11.0,0.004706904110435382,0.004228765950197388,0.0020669989945049975
7,google_gemma_3_12b_it,0.818499462448779,0.3604416766048579,12.0,0.004776659778464567,0.004074594687348033,0.002492821047134423
28,qwen2-72b-instruct,0.7900783289817234,0.3424845195074077,10.0,0.005047076233464292,0.004073537497041815,0.0029798105252841866
31,qwen2-math-72b-instruct,0.7851942865919213,0.33962777476966255,10.0,0.005089646645775621,0.004105359669114023,0.0030084090423456414
36,qwen2.5-coder-32b-instruct,0.782567961910613,0.3387152982591732,10.0,0.005112095433453041,0.004048072535466783,0.0031219590753773473
18,mistralai_mixtral_8x22b_instruct_v0.1,0.7742111640153894,0.32990655824815324,9.0,0.005181519052477567,0.004186154827064566,0.0030535630753321698
42,qwen3-32b,0.7624191539125633,0.33112775129427274,9.0,0.005274469238723482,0.004337956480108511,0.003000359866236857
43,qwen3-4b,0.7515742589465674,0.3187974989317317,12.0,0.005355011378569751,0.004789006556575794,0.002396155893443822
44,qwen3-8b,0.7294787841555522,0.30565951460805285,11.0,0.0055053273876853265,0.004889350757186764,0.0025303910406882495
35,qwen2.5-coder-14b-instruct,0.7135477024921824,0.2991340483930855,11.0,0.0056029121533734275,0.004256824033990434,0.0036430857445386954
24,qwen1.5-72b-chat,0.6829519275072955,0.2817294547880115,10.0,0.005766785243482068,0.004602125632107318,0.003475090173037723
10,llama-3.1-8B-instruct,0.6628782061127323,0.27104967223336246,15.0,0.00585850004068388,0.005858500040683881,0.0
23,qwen1.5-32b-chat,0.661734841893964,0.268280272698894,9.0,0.005863363062626046,0.004574481070938988,0.003667853505224598
8,google_gemma_3_4b_it,0.6440150235269083,0.2707488144017133,11.0,0.005933896768166071,0.004996581124291926,0.003200829255618202
13,mistralai_mathstral_7b_v0.1,0.6221138585991092,0.24822758605722517,12.0,0.006008852905919374,0.004377693160611887,0.004116080154286067
19,mistralai_mixtral_8x7b_instruct_v0.1,0.6187849932289817,0.24594212086090372,11.0,0.006019092713837492,0.004905817825196633,0.0034874673566579173
14,mistralai_ministral_8b_instruct_2410,0.6015972968855783,0.2384814411907237,11.0,0.00606722678527893,0.004278001726438954,0.0043023182230736284
38,qwen2.5-coder-7b-instruct,0.5987943480273844,0.23634296954401912,12.0,0.006074331925356207,0.00432252494578099,0.004267702711354515
32,qwen2-math-7b-instruct,0.5691766381369068,0.2214546906631232,11.0,0.006136903695355585,0.004890098139396158,0.0037079006395996207
12,llama-3.2-3B-instruct,0.5676547381354631,0.2200546963850819,18.0,0.006139508964757689,0.0061395089647576905,0.0
37,qwen2.5-coder-3b-instruct,0.542492192699954,0.2089631005447474,12.0,0.006174078590224294,0.004513825678705149,0.004212436845880068
17,mistralai_mistral_7b_instruct_v0.3,0.5128756463418522,0.19091179412669626,12.0,0.006194440878171514,0.0048194194435185345,0.003891567039201274
40,qwen3-1.7b,0.49301182614023953,0.18261077768817224,12.0,0.006195890521122215,0.005397660682013565,0.0030420911412344254
6,deepseek_v2_lite_chat,0.46121947473472585,0.17548614772430957,9.0,0.006177829460937987,0.004654704887001476,0.004061932946684118
22,qwen1.5-14b-chat,0.42250178020225776,0.15899683181678834,11.0,0.0061216112830688105,0.00412517150489205,0.004522950890317297
15,mistralai_mistral_7b_instruct_v0.1,0.42172221368924895,0.15388341587551,12.0,0.006120087706277402,0.00438421978786215,0.004270139386980916
30,qwen2-math-1.5b-instruct,0.4150412123071572,0.15548549654557062,12.0,0.006106388038139515,0.004583428612679823,0.004034867658895551
16,mistralai_mistral_7b_instruct_v0.2,0.40521169303173094,0.14291172166272167,12.0,0.006084128078645265,0.004642508987749563,0.003932394280336633
29,qwen2-7b-instruct,0.38475912558080166,0.1393425463430962,12.0,0.006029665322517193,0.004071774752021213,0.004447191728537117
34,qwen2.5-coder-1.5b-instruct,0.3589694363375057,0.13559277201481443,12.0,0.00594489594199759,0.003892005013308352,0.004493782898356581
0,deepseek_r1_distill_llama_70b,0.3559617058301183,0.12882421065008226,9.0,0.005933810018709747,0.004035677856978103,0.004350104087586502
11,llama-3.2-1B-instruct,0.34864076178774384,0.13273143892760572,21.0,0.005905756298545573,0.005905756298545573,0.0
5,deepseek_r1_distill_qwen_7b,0.3312599191092766,0.115161311695918,12.0,0.005832963714012513,0.0038813241318468926,0.004354169113910211
39,qwen3-0.6b,0.33113193057799106,0.12157622484882628,12.0,0.0058323948110549076,0.0043769730811354735,0.0038547290279649566
1,deepseek_r1_distill_llama_8b,0.2906875543937951,0.10072952115882051,12.0,0.005627404861296698,0.003386714202653511,0.004494202085186057
33,qwen2.5-coder-0.5b-instruct,0.2697102339614959,0.10457207395126791,12.0,0.00550012389603588,0.0036289151442515126,0.004133078483112428
25,qwen1.5-7b-chat,0.2663743873941176,0.0936735000612627,11.0,0.005478474277360321,0.0034194221992554286,0.004280330855312223
3,deepseek_r1_distill_qwen_14b,0.23359187016659505,0.0778661682301826,12.0,0.005243666537721345,0.0032873768503665704,0.004085240776562934
27,qwen2-1.5b-instruct,0.22351917267994165,0.08294128792399565,12.0,0.005162961794655828,0.002836022968701858,0.004314295795847942
20,qwen1.5-0.5b-chat,0.21654379767313775,0.08474058487304655,12.0,0.0051045373789035675,0.0031184201889822606,0.00404125690566333
4,deepseek_r1_distill_qwen_32b,0.21534984751747813,0.07256407425591252,7.0,0.0050943228931601215,0.0030835648244508813,0.004055089852664737
21,qwen1.5-1.8b-chat,0.19826587173644605,0.07079490531318193,11.0,0.004941005300603491,0.003153610226002606,0.0038037186966235546
26,qwen2-0.5b-instruct,0.1820124916780218,0.07014278401262646,12.0,0.004781895549091116,0.0027230054064308912,0.003930873516022306
2,deepseek_r1_distill_qwen_1.5b,0.13975067833629243,0.04810900937368065,12.0,0.0042969993109141895,0.0023478046988007904,0.003598890964489748
