,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.7607499999999999,0.4458446267927544,10.0,0.015083494186527206,0.01195352654554295,0.00919918474648705
13,google_gemma_3_27b_it,0.6897222222237499,0.3870754725497107,9.0,0.01635563658171404,0.013305493939930137,0.0095116075932297
42,qwen2.5-coder-14b-instruct,0.6611458333341251,0.37007953791665255,12.0,0.01673439647847549,0.012726885685512156,0.010865836656545079
11,google_gemma_3_12b_it,0.625454545456125,0.3374759360894561,11.0,0.01711217245940726,0.013595810913124229,0.010391360444863244
16,llama-3.1-70B-instruct,0.61375,0.3294143166204828,13.0,0.01721412710174408,0.01721412710174408,0.0
8,google_gemma_2_27b_it,0.5798749999999999,0.3062977913564615,10.0,0.017450644127617466,0.013872521597343073,0.010586695660119827
35,qwen2-72b-instruct,0.569125,0.29827330240586863,10.0,0.017507917293863084,0.013444758940522139,0.011214527408678442
38,qwen2-math-72b-instruct,0.565625,0.2978991784361576,10.0,0.017524745339626193,0.013380529668841588,0.011317160642139883
25,mistralai_mixtral_8x22b_instruct_v0.1,0.5605681818193751,0.2958974661946819,11.0,0.017547488971042805,0.012871990115257309,0.011925864315075325
45,qwen2.5-coder-7b-instruct,0.549318181819875,0.2878644182987409,11.0,0.01759146515152951,0.0131722903460852,0.011659777580035897
9,google_gemma_2_9b_it,0.47937500000012506,0.2342276875717927,12.0,0.01766262329663282,0.014172408073802715,0.010540925533764484
3,deepseek_r1_distill_qwen_14b,0.47045454545550003,0.23800327559093368,11.0,0.01764677966782321,0.013188428985221051,0.011724938104164128
31,qwen1.5-72b-chat,0.47025,0.23277649096546327,10.0,0.01764635010065821,0.013166716442416461,0.011748670137509182
0,deepseek_r1_distill_llama_70b,0.468125,0.23640860699768654,10.0,0.0176417113815171,0.013439516563803553,0.011428445869845998
7,google_codegemma_1.1_7b_it,0.44673076922987504,0.22201831379194595,13.0,0.017577058522871482,0.012595917129607863,0.012259521115463693
20,mistralai_mathstral_7b_v0.1,0.4397727272715,0.21240710867189502,11.0,0.017548955653388855,0.012970920173674948,0.01182036693054665
14,google_gemma_3_4b_it,0.43701923076775,0.21605229087564112,13.0,0.017536869115769856,0.012990280970520589,0.01178110260928803
21,mistralai_ministral_8b_instruct_2410,0.4330681818155,0.20844233772698129,11.0,0.01751856628389282,0.012874728568983026,0.011880300034854279
44,qwen2.5-coder-3b-instruct,0.43302083333175,0.21672996628120614,12.0,0.017518340076632076,0.01189243454718811,0.0128632126462008
17,llama-3.1-8B-instruct,0.419,0.20482854811317694,15.0,0.01744416091418558,0.01743699372024891,0.0005
30,qwen1.5-32b-chat,0.41443181817999997,0.19811973758332152,11.0,0.017416877097373808,0.012895218393621137,0.011707303293493312
36,qwen2-7b-instruct,0.40374999999687505,0.18970897555007266,11.0,0.017347043606166675,0.0127835801668275,0.01172603939924059
29,qwen1.5-14b-chat,0.39562499999825,0.18721259588564004,12.0,0.01728821344784629,0.012896066822815024,0.0115140689905777
47,qwen3-1.7b,0.38624999999924997,0.184397953182823,12.0,0.017214127101737885,0.012655894199476268,0.01166852663734585
50,qwen3-4b,0.378854166665,0.18098242019737337,12.0,0.01715093609200269,0.013733532101150527,0.010273495260067456
1,deepseek_r1_distill_llama_8b,0.36041666666525,0.167386109951064,12.0,0.01697485246825286,0.012431889089017501,0.011558276255450797
26,mistralai_mixtral_8x7b_instruct_v0.1,0.34479166666675,0.16129223862499986,12.0,0.016804403190232416,0.011694013243928035,0.012068057873192735
