,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.824375,0.44424327008814773,10.0,0.01345273482302948,0.011586272015568683,0.006836254456937658
48,qwen3-14b,0.7865625000015,0.41253911737210935,12.0,0.014486283753644786,0.011877283566112113,0.008293524707943905
42,qwen2.5-coder-14b-instruct,0.7654166666669999,0.3945008216755204,12.0,0.0149814048513223,0.01293623349952463,0.007556212951273938
13,google_gemma_3_27b_it,0.7595833333335,0.3893642968780163,9.0,0.015108627214917188,0.013234259190534729,0.007288689868356544
16,llama-3.1-70B-instruct,0.7025,0.3457753858344044,13.0,0.016162988198349958,0.016162988198349958,0.0
11,google_gemma_3_12b_it,0.69727272727375,0.34251799584418385,11.0,0.016243593778547616,0.01407021941489413,0.008116850649063782
49,qwen3-32b,0.6946590909114999,0.34385660821329755,11.0,0.016282960354520475,0.013872965727499255,0.008524999696804484
0,deepseek_r1_distill_llama_70b,0.6651250000000001,0.32337212452598557,10.0,0.01668583734694636,0.013380080080804824,0.009969484690795206
35,qwen2-72b-instruct,0.6409999999999999,0.3048647718704037,10.0,0.016960210788784437,0.013412633969508002,0.010380269746013346
8,google_gemma_2_27b_it,0.627375,0.2915844105649713,10.0,0.017094429259812978,0.014389149965121287,0.00922886098064111
25,mistralai_mixtral_8x22b_instruct_v0.1,0.623295454546625,0.28827110566476166,11.0,0.01713177715854886,0.014117674703314822,0.009705104305547737
38,qwen2-math-72b-instruct,0.5945,0.27318510262886764,10.0,0.0173590664351514,0.013822298560659148,0.010501487989804112
50,qwen3-4b,0.5738541666679999,0.26099481015545223,12.0,0.017483762540775345,0.014601420610198071,0.009616676595700934
45,qwen2.5-coder-7b-instruct,0.561590909091125,0.25054525388878296,11.0,0.017543038502399206,0.014219898521155006,0.010273883683627853
14,google_gemma_3_4b_it,0.545288461538625,0.2399355336927358,13.0,0.01760500480159919,0.015023618840442671,0.009177530768209203
3,deepseek_r1_distill_qwen_14b,0.544772727281375,0.2670842257271233,11.0,0.017606653674526983,0.010920895010923647,0.013810441910928032
1,deepseek_r1_distill_llama_8b,0.5232291666681249,0.2278160527631533,12.0,0.017658581689079127,0.013699734016931895,0.011141938571684896
44,qwen2.5-coder-3b-instruct,0.501041666666875,0.2130405793252313,12.0,0.017677631166623936,0.013790925128090643,0.011059341199845134
9,google_gemma_2_9b_it,0.486041666666875,0.19912676427996456,12.0,0.017670779727086233,0.01496435108476351,0.009398119640392907
30,qwen1.5-32b-chat,0.483181818181875,0.2005298953115015,11.0,0.017667666397982944,0.013937313538989304,0.010858071986606141
31,qwen1.5-72b-chat,0.46575000000000005,0.19626673113094067,10.0,0.017636146741139346,0.013314791469452308,0.011565033506220377
26,mistralai_mixtral_8x7b_instruct_v0.1,0.45693181818175005,0.18531045292728357,11.0,0.017611967937842372,0.013904767947542883,0.01080920177296047
17,llama-3.1-8B-instruct,0.4425,0.17919682781797058,15.0,0.017560386883551285,0.017560386883551285,0.0
21,mistralai_ministral_8b_instruct_2410,0.4423863636355,0.17683735225018624,11.0,0.017559921301961292,0.013596859801739735,0.01111198630591795
20,mistralai_mathstral_7b_v0.1,0.4086363636345,0.15783281195446813,11.0,0.017380041928533742,0.013624985783820792,0.010790070427400936
36,qwen2-7b-instruct,0.39340909090687504,0.15108282069730883,11.0,0.01727130489058011,0.013384123037743442,0.01091619087108327
7,google_codegemma_1.1_7b_it,0.38211538461475003,0.14778764307847078,13.0,0.017179319597101034,0.013516082834852772,0.010603986355175008
29,qwen1.5-14b-chat,0.37760416666712504,0.14318282156921153,12.0,0.01713983882591779,0.013252202200995794,0.01086983034837072
24,mistralai_mistral_7b_instruct_v0.3,0.34170454545287504,0.1243091368899783,11.0,0.01676836862479916,0.01301344204837171,0.010574900112569386
47,qwen3-1.7b,0.339374999999875,0.1482881746065598,12.0,0.01674065445909149,0.010202908316157205,0.013272157835513785
46,qwen3-0.6b,0.313653846151625,0.1198159326300765,13.0,0.016404081464147794,0.011794120786975908,0.01140142989035235
4,deepseek_r1_distill_qwen_32b,0.305,0.13366836083305295,10.0,0.016277860731680933,0.0093924836970846,0.013294735800308332
19,llama-3.2-3B-instruct,0.30125,0.10476249009675734,18.0,0.016221067994278304,0.016221067994278304,0.0
51,qwen3-8b,0.29520833333262503,0.1131648599329191,12.0,0.01612685544610289,0.011534103173884357,0.011271199162187192
41,qwen2.5-coder-1.5b-instruct,0.28979166666600004,0.10725382485506452,12.0,0.01603950032719777,0.010885090206527536,0.011780508560411802
6,deepseek_v2_lite_chat,0.28056818181550003,0.09994989954842257,11.0,0.015884334939187908,0.011851487570066946,0.010576121162167836
12,google_gemma_3_1b_it,0.275104166666375,0.10344705491903837,12.0,0.015788518935811173,0.012471494733296748,0.00968189802176306
39,qwen2-math-7b-instruct,0.26302083333125,0.09525447632292487,12.0,0.015566023679997116,0.011000053636871997,0.011013623980877964
32,qwen1.5-7b-chat,0.261874999998,0.09226819587768428,12.0,0.015544150200881339,0.011483757305795437,0.010475873405551887
15,google_gemma_7b_it,0.255312499999375,0.09255983397863074,12.0,0.015416226327454628,0.012448569870506614,0.009093576983696797
22,mistralai_mistral_7b_instruct_v0.1,0.23613636363337498,0.08259000059660794,11.0,0.015015657719668056,0.010653004537968582,0.010582224296821896
23,mistralai_mistral_7b_instruct_v0.2,0.22727272726887499,0.08240388839418114,11.0,0.014816369102644656,0.009414688717127716,0.011440648134847574
37,qwen2-math-1.5b-instruct,0.216249999998,0.07644741001197462,12.0,0.014555322802108556,0.010727032554793212,0.009838099127473144
40,qwen2.5-coder-0.5b-instruct,0.20480769230524998,0.07572477552639957,13.0,0.014268036895358452,0.009526936954741324,0.01062140993972524
5,deepseek_r1_distill_qwen_7b,0.19329545453912503,0.074490826782218,11.0,0.01396121062952807,0.007975822801192103,0.0114586933324019
2,deepseek_r1_distill_qwen_1.5b,0.14114583333075,0.04941911677251796,12.0,0.012309736342836415,0.0067007338797740795,0.010326169391531184
10,google_gemma_2b_it,0.125384615380875,0.04607802389951918,13.0,0.011708080201652675,0.007718992177524755,0.00880319838306754
34,qwen2-1.5b-instruct,0.12510416666500002,0.04117048041239459,12.0,0.011696853965279292,0.006976833215387836,0.009388300749855158
18,llama-3.2-1B-instruct,0.11375,0.03767474804597794,21.0,0.011225581137518004,0.011225581137518004,0.0
27,qwen1.5-0.5b-chat,0.062307692303250006,0.02320649806240964,13.0,0.00854586477361226,0.004750739587368093,0.007103680602468029
33,qwen2-0.5b-instruct,0.01836538461175,0.006655958293681796,13.0,0.004747117185699719,0.0017184356219451626,0.004425166729965726
28,qwen1.5-1.8b-chat,0.011666666664500001,0.00377698649306936,12.0,0.003796471314497096,0.001459523323920062,0.0035047091332566583
