,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,qwen2.5-coder-14b-instruct,0.4322500000016,0.30902865652115674,12.0,0.01566556534250254,0.013235587287138669,0.008380284402378597
36,qwen3-14b,0.38016666666699994,0.2617722864515987,12.0,0.015350569117211978,0.013466046809233126,0.007369230323028616
33,qwen2.5-coder-7b-instruct,0.3569,0.24450164030805713,10.0,0.015149996369636529,0.012350400398367656,0.00877439456600853
8,google_gemma_3_12b_it,0.3275454545455,0.2149478362127795,11.0,0.014841139772675203,0.013826968199447252,0.005392066409416356
38,qwen3-8b,0.3115833333329,0.20345408883117613,12.0,0.0146457898292328,0.012521891663577213,0.007596143027069359
37,qwen3-4b,0.2889999999991,0.18531295154092095,12.0,0.014334538708993053,0.012198866067559455,0.007527726527004464
16,mistralai_ministral_8b_instruct_2410,0.24745454545270001,0.15267890606713824,11.0,0.013646273974513982,0.010605127404981993,0.008587902311484307
32,qwen2.5-coder-3b-instruct,0.23824999999879998,0.14574997245509388,12.0,0.013471708781716291,0.010422704583506071,0.00853546522834774
26,qwen2-7b-instruct,0.2355454545443,0.1436589232995292,11.0,0.013418785093585005,0.011088568680152008,0.007556946341834847
15,mistralai_mathstral_7b_v0.1,0.22572727272510001,0.1365074293706314,11.0,0.013220229614994904,0.010105931079227595,0.0085231818058217
12,llama-3.1-8B-instruct,0.2232666666664,0.13633899220842663,15.0,0.013168851970543015,0.013091676575412128,0.0014236104336791016
5,google_codegemma_1.1_7b_it,0.20930769230569998,0.12679023197991127,13.0,0.01286460190784629,0.010023982779875705,0.008063358572959395
22,qwen1.5-14b-chat,0.2049166666656,0.12290315835391728,12.0,0.01276424014143652,0.010401762337370658,0.007397916373217304
28,qwen2-math-7b-instruct,0.2018333333338,0.12182744370434558,6.0,0.012692385074885144,0.010464860512883126,0.007182153808925751
10,google_gemma_3_4b_it,0.19546153846099998,0.11188285147773785,13.0,0.01254018841339551,0.011337824582930481,0.0053581768513325705
19,mistralai_mistral_7b_instruct_v0.3,0.1816363636348,0.10475125260901304,11.0,0.012191988969824683,0.010004955796883834,0.006967456820298729
4,deepseek_v2_lite_chat,0.17372727272460003,0.10169725583774737,11.0,0.011981072883355334,0.009123160518856003,0.007766212048576803
2,deepseek_r1_distill_qwen_14b,0.16090909090629998,0.09817509940825153,11.0,0.011619696870831359,0.008542117336847854,0.00787715600794674
35,qwen3-1.7b,0.15233333333229998,0.0808262762770406,12.0,0.011363445291291298,0.0098919215075568,0.005592653911740432
3,deepseek_r1_distill_qwen_7b,0.1476363636342,0.08417571719301122,11.0,0.011217837036036415,0.008419096749899371,0.007413412013567312
30,qwen2.5-coder-1.5b-instruct,0.14118181817930003,0.0813997424918149,11.0,0.011011335631742732,0.007489491812194,0.008071990138123689
18,mistralai_mistral_7b_instruct_v0.2,0.1357,0.07553291806499027,10.0,0.010829843489173794,0.00876216354560904,0.006364746656387825
6,google_gemma_2_9b_it,0.10616666666579999,0.05598782201583531,12.0,0.009741422152584956,0.00843559093633244,0.004871971993940327
14,llama-3.2-3B-instruct,0.101411764706,0.05183243845954218,17.0,0.009546068231749388,0.009520661196552847,0.0006960093861923272
17,mistralai_mistral_7b_instruct_v0.1,0.09227272727100001,0.04575782853847648,11.0,0.009151965421316433,0.006770606745574427,0.006157706989598784
23,qwen1.5-7b-chat,0.0866666666647,0.045442551751337594,12.0,0.008896940797483694,0.006451959220123828,0.006125991983000703
34,qwen3-0.6b,0.07415384615229999,0.03475320647327848,13.0,0.008285834493466607,0.0064910972259140855,0.005149826216179676
0,deepseek_r1_distill_llama_8b,0.0684615384591,0.037121864927942984,13.0,0.007985897332855787,0.005631641378482025,0.0056620819134910304
25,qwen2-1.5b-instruct,0.05776923076630001,0.026845819376565945,13.0,0.007377800942216453,0.004935680381493569,0.0054837036676601576
11,google_gemma_7b_it,0.0475384615378,0.019391599356369464,13.0,0.006728934255320014,0.006088147375157475,0.0028658363091394893
13,llama-3.2-1B-instruct,0.0458333333333,0.021589749784084348,12.0,0.00661306577079486,0.006602556323118154,0.0003726779962797792
29,qwen2.5-coder-0.5b-instruct,0.0454615384592,0.02074210016833342,13.0,0.006587471971866194,0.004120750635325953,0.005139474796278646
27,qwen2-math-1.5b-instruct,0.04075,0.022103868164895395,4.0,0.006252154628606046,0.0043187888927337026,0.004520785330006281
9,google_gemma_3_1b_it,0.038307692307099996,0.016515531322726738,13.0,0.006069613910060882,0.0051233287071400305,0.003254491661657686
24,qwen2-0.5b-instruct,0.0219999999982,0.009059605238577503,13.0,0.00463853425106242,0.0029273288912291286,0.003598158634753954
1,deepseek_r1_distill_qwen_1.5b,0.0177692307678,0.0097079103074563,13.0,0.004177736852139046,0.0024198867888585752,0.0034055297876877254
21,qwen1.5-1.8b-chat,0.0136666666657,0.005998350662000014,12.0,0.0036714968184581942,0.00197044834152134,0.0030979383824318468
7,google_gemma_2b_it,0.0038461538459,0.0016989425552711688,13.0,0.0019573862537817285,0.0010700329033400584,0.0016390212116575286
20,qwen1.5-0.5b-chat,0.0035384615381,0.0012965669618696803,13.0,0.0018777488724649489,0.0008561783809893616,0.0016711969985521821
