,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.9416996047423912,0.40738714677900545,11.0,0.024428569155453533,0.018882647966018722,0.015498406265619189
47,qwen3-14b,0.9094202898565217,0.38209678938318015,12.0,0.029922912962310658,0.02462876057065153,0.016994259998703656
50,qwen3-8b,0.8704710144945651,0.3628115878695644,12.0,0.03500795366449939,0.026697641781376586,0.022644927535521737
42,qwen2.5-coder-32b-instruct,0.8695652173934783,0.35460168882624704,11.0,0.035111863177457736,0.02972007263989836,0.018696529572936185
34,qwen2-72b-instruct,0.8478260869586955,0.3480440725293881,11.0,0.037448081919738065,0.029349945214995572,0.023258107303565576
13,google_gemma_3_27b_it,0.8396739130423913,0.3327258918607563,12.0,0.03825282495940233,0.034138667111995875,0.01725775261124707
4,deepseek_r1_distill_qwen_32b,0.835968379447826,0.34560295106837785,11.0,0.03860688832590258,0.03190457700982959,0.021739130434140313
0,deepseek_r1_distill_llama_70b,0.8310276679858697,0.34374942185706564,11.0,0.03906804028924032,0.03302765715628087,0.0208682925705213
3,deepseek_r1_distill_qwen_14b,0.8063241106728263,0.3271789551036469,11.0,0.04120013972386898,0.033661220318884626,0.02375655193646243
49,qwen3-4b,0.7998188405804347,0.31289481140836817,12.0,0.04171704151222436,0.033650326540967807,0.024656988385017498
11,google_gemma_3_12b_it,0.7845849802391305,0.30652287699214903,11.0,0.04286117491926364,0.03823784829774384,0.01936355527836876
41,qwen2.5-coder-14b-instruct,0.7817028985565218,0.3065045416572684,12.0,0.043067625910589734,0.03171175837113789,0.02914077525710437
8,google_gemma_2_27b_it,0.75,0.2941347040640065,10.0,0.04514469490716345,0.035605085552520004,0.027754663771312398
37,qwen2-math-72b-instruct,0.7460474308336956,0.29920035563983555,11.0,0.04538011700457948,0.028894944729080642,0.03499195891133701
24,mistralai_mixtral_8x22b_instruct_v0.1,0.7401185770793479,0.29716356173624725,11.0,0.04572401482778631,0.03438909863794314,0.03013428988447281
30,qwen1.5-72b-chat,0.7055335968434783,0.2707845204880057,11.0,0.047520698072636515,0.034722188731865715,0.03244358727051276
29,qwen1.5-32b-chat,0.7025691699652173,0.2683965398911451,11.0,0.04765885694632705,0.03471469916024938,0.032653580318915215
9,google_gemma_2_9b_it,0.6986166007902175,0.2634521338337321,11.0,0.04783934231073055,0.03723420197900441,0.03003692520398782
5,deepseek_r1_distill_qwen_7b,0.6729249011858697,0.2584809419823971,11.0,0.0489117415606769,0.03713258831695337,0.03183597567818688
1,deepseek_r1_distill_llama_8b,0.6680602006684783,0.2550007620570906,13.0,0.049095710535123085,0.03564912554841851,0.033756905080023124
14,google_gemma_3_4b_it,0.6605351170597826,0.24826424912965386,13.0,0.049368674739656726,0.038555073374258696,0.030834596846003176
16,llama-3.1-8B-instruct,0.6521739130434783,0.2422916033240652,15.0,0.04965567310610093,0.04965567310610094,0.0
44,qwen2.5-coder-7b-instruct,0.6250000000000001,0.23337253217782172,10.0,0.050473303317953015,0.034599552266080455,0.03674813370516732
46,qwen3-1.7b,0.6032608695684782,0.22082069018079228,12.0,0.051004815716365975,0.03711269849945884,0.03498769549925686
19,mistralai_mathstral_7b_v0.1,0.5830039525684783,0.21584293604797147,11.0,0.051405289004022366,0.03477228146721474,0.03786016612683914
28,qwen1.5-14b-chat,0.575181159422826,0.21023016958919763,12.0,0.051535951283064825,0.03625587481602018,0.03662602648357455
18,llama-3.2-3B-instruct,0.5652173913043478,0.2013228438227174,17.0,0.051683263192787585,0.05168326319278758,0.0
38,qwen2-math-7b-instruct,0.5543478260902174,0.20499006368230216,6.0,0.0518197454601743,0.03695906992914571,0.03632235082603786
35,qwen2-7b-instruct,0.5533596838,0.199444551168154,11.0,0.051830906524377315,0.03317722656170491,0.03982103098630223
25,mistralai_mixtral_8x7b_instruct_v0.1,0.5389492753630435,0.20732424580201475,12.0,0.051970199858720645,0.03452622635080578,0.03884380732276758
20,mistralai_ministral_8b_instruct_2410,0.5375494071206522,0.1969454080181059,11.0,0.05198139738582986,0.031825305893387015,0.041100067870697074
45,qwen3-0.6b,0.47240802675543475,0.17151585705131772,13.0,0.052049170211452694,0.038326459062696064,0.035216454327718125
23,mistralai_mistral_7b_instruct_v0.3,0.4584980237141304,0.165997710456615,11.0,0.05194871906655798,0.03465303985160678,0.038701889381516204
22,mistralai_mistral_7b_instruct_v0.2,0.42717391304347824,0.15637657089277174,10.0,0.05157269679767382,0.03637987655193123,0.03655472113217443
43,qwen2.5-coder-3b-instruct,0.42210144927717386,0.14221167570342821,12.0,0.05149206521769654,0.03295419691333454,0.03956581461540615
6,deepseek_v2_lite_chat,0.4169960474271739,0.14782284381973843,11.0,0.05140528900394606,0.0361760546193702,0.03652118302787523
31,qwen1.5-7b-chat,0.36865942028913046,0.13336290581294122,12.0,0.050297987266456894,0.0311476662947974,0.03949316912384472
7,google_codegemma_1.1_7b_it,0.362040133776087,0.12035969548577646,13.0,0.050105006617784824,0.03462665310900437,0.03621472880799936
15,google_gemma_7b_it,0.35702341137282606,0.1268447330262307,13.0,0.04995190024506356,0.037459342168066304,0.03304527231584739
12,google_gemma_3_1b_it,0.3478260869532609,0.11924354101526961,13.0,0.04965567310599231,0.033932033533091696,0.03625331670231441
21,mistralai_mistral_7b_instruct_v0.1,0.33893280631739137,0.11840867860347415,11.0,0.049349833610486546,0.030968551626989728,0.03842336382344964
10,google_gemma_2b_it,0.33277591973152176,0.10806343210773492,13.0,0.049126733510553834,0.04595025463268688,0.017378436195705636
33,qwen2-1.5b-instruct,0.28595317725,0.10037468133566937,13.0,0.047110411208627544,0.02889944877896692,0.03720500913207584
2,deepseek_r1_distill_qwen_1.5b,0.28260869564456526,0.10211867452160868,13.0,0.04694365503158417,0.025692408470909242,0.03928876295696174
40,qwen2.5-coder-1.5b-instruct,0.28260869564239127,0.09775494761733183,11.0,0.04694365503147474,0.026568223614256474,0.03870188938148845
17,llama-3.2-1B-instruct,0.25,0.0994788942942174,12.0,0.04514469490716345,0.04514469490716345,0.0
27,qwen1.5-1.8b-chat,0.19367588931956525,0.07202955443432107,11.0,0.0412001397232541,0.02174889249521301,0.03499195891126028
32,qwen2-0.5b-instruct,0.15886287624130435,0.06199893973946881,13.0,0.03811103098237586,0.015767215609415852,0.03469647812769771
39,qwen2.5-coder-0.5b-instruct,0.1337792641978261,0.0535465654681867,13.0,0.03549071719853602,0.011333646134076523,0.03363241698977331
36,qwen2-math-1.5b-instruct,0.12228260869565218,0.04408159141575,4.0,0.034155904115355684,0.023843328843951555,0.024456521739130432
26,qwen1.5-0.5b-chat,0.09949832775,0.044559886875972794,13.0,0.031207303096800632,0.01149706861400063,0.029012293598758166
