,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.49411525973794646,0.319232840954633,11.0,0.02362114338476609,0.017709090969564602,0.015631586990301538
15,llama-3.1-70B-instruct,0.4375,0.27587030752119196,13.0,0.0234375,0.0234375,0.0
12,google_gemma_3_27b_it,0.43399234694084815,0.27480657363800143,7.0,0.02341602538754283,0.0182468046113977,0.014675297830828712
47,qwen3-14b,0.41680194805022325,0.25741459217147855,11.0,0.023293454215022005,0.0190452686615685,0.013411291916739537
37,qwen2-math-72b-instruct,0.40647321428571426,0.2542201685231723,10.0,0.023205830757532013,0.016218208034058337,0.016597599504483307
50,qwen3-8b,0.40137987012857146,0.24780063003820804,11.0,0.023158714322512524,0.018847492594631757,0.013457268369436937
42,qwen2.5-coder-32b-instruct,0.3950892857142857,0.243134126291525,10.0,0.023096929972829278,0.017582882211795114,0.014976996604657367
34,qwen2-72b-instruct,0.3899553571428571,0.23532043774775266,10.0,0.02304354266240385,0.018137420850059958,0.01421403613833301
10,google_gemma_3_12b_it,0.37388392856874997,0.23365083799992073,12.0,0.02285897841183895,0.016639406545126453,0.015673641691034093
49,qwen3-4b,0.36737351190379464,0.22452985562313743,12.0,0.022776584479894973,0.018795716268307453,0.012864441322151345
41,qwen2.5-coder-14b-instruct,0.3461850649290179,0.21342716786281435,11.0,0.022477218911059502,0.014267444042602974,0.0173685177970627
29,qwen1.5-32b-chat,0.3252840909026786,0.19741934688247234,11.0,0.022133641931513386,0.015192435451968399,0.016096211050747978
24,mistralai_mixtral_8x22b_instruct_v0.1,0.32224025973392856,0.19553983421439533,11.0,0.022079476710999284,0.014882791523440827,0.01630968449423096
16,llama-3.1-8B-instruct,0.3169642857142857,0.19927643933539732,15.0,0.021983045785327785,0.021983045785327785,0.0
46,qwen3-1.7b,0.31640624999754463,0.20154136005284617,12.0,0.021972656249954203,0.01642445685849164,0.014595713054941799
30,qwen1.5-72b-chat,0.31540178571428573,0.18990157037986877,10.0,0.021953862908672364,0.015913116551228557,0.015124312157575825
4,deepseek_r1_distill_qwen_32b,0.3145089285714286,0.19002747669091297,10.0,0.021937058014487344,0.01822660373866425,0.012207597244531531
44,qwen2.5-coder-7b-instruct,0.30905032466607146,0.19486299150668096,11.0,0.021832265476253183,0.012099806229163512,0.01817257563039132
19,mistralai_mathstral_7b_v0.1,0.3084415584334822,0.1903427886313173,11.0,0.02182035846286177,0.013054778847227933,0.017484301321406968
20,mistralai_ministral_8b_instruct_2410,0.3082217261883929,0.19259664312542152,12.0,0.02181604779241404,0.012695662301853046,0.017741479645119816
8,google_gemma_2_9b_it,0.3065476190482143,0.18055794069589123,12.0,0.021783029943878433,0.016718025520837135,0.013964527067557374
13,google_gemma_3_4b_it,0.3044299450506696,0.1921392313014022,13.0,0.021740779737334914,0.015398056599260433,0.01534800822756114
25,mistralai_mixtral_8x7b_instruct_v0.1,0.29768668830625,0.1804240908538743,11.0,0.02160260627833498,0.014284373771088366,0.016205840428209845
18,llama-3.2-3B-instruct,0.296875,0.1871233602715268,17.0,0.02158559758631857,0.021585597586318568,0.0
3,deepseek_r1_distill_qwen_14b,0.28632305194709823,0.16965157542660061,11.0,0.02135698707760601,0.017428844744290954,0.012343268121224285
28,qwen1.5-14b-chat,0.28632305194263397,0.17601731824367825,11.0,0.02135698707750631,0.014735244933658303,0.015459413112206713
38,qwen2-math-7b-instruct,0.28459821428392856,0.18309236931147393,12.0,0.021318276380503955,0.0118330136353737,0.017732701321023055
7,google_codegemma_1.1_7b_it,0.2807348901053571,0.18231695221849398,13.0,0.021230180441271604,0.01308101922627565,0.016721468164331683
35,qwen2-7b-instruct,0.2767857142796875,0.1706633459163708,11.0,0.02113811842522563,0.013205702275322001,0.016505437830436925
23,mistralai_mistral_7b_instruct_v0.3,0.27374188310959824,0.1677755229702817,11.0,0.02106575931443656,0.013644067964246406,0.016050097348016167
43,qwen2.5-coder-3b-instruct,0.26953125,0.17749680633141576,12.0,0.020963624707531107,0.009401223895245824,0.018737410444073312
14,google_gemma_7b_it,0.26711309523794646,0.1709131943209741,12.0,0.02090388771035263,0.015378479685907394,0.014158915352426018
0,deepseek_r1_distill_llama_70b,0.26316964285714284,0.15334995220618483,10.0,0.02080475681439753,0.017689263753817984,0.010951157653603643
21,mistralai_mistral_7b_instruct_v0.1,0.2518262986888393,0.1666779706276454,11.0,0.020507501566147276,0.010197352704781617,0.017792459591068795
11,google_gemma_3_1b_it,0.2455357142854911,0.1674882751799511,12.0,0.02033469541728742,0.011581708694677704,0.016714181446468645
6,deepseek_v2_lite_chat,0.24472402596272325,0.1579675942893822,11.0,0.020311974008536966,0.011220491978099956,0.01693153412697372
5,deepseek_r1_distill_qwen_7b,0.24350649350513393,0.14269278516324818,11.0,0.020277708177747628,0.015796300056537895,0.012714651134251144
22,mistralai_mistral_7b_instruct_v0.2,0.2408685064854911,0.14778579509780473,11.0,0.020202704306963422,0.012548363819450781,0.015833124352739
1,deepseek_r1_distill_llama_8b,0.2380952380924107,0.13642039576097345,12.0,0.020122720350596823,0.015339901328271415,0.013023490374980911
45,qwen3-0.6b,0.23609203296138395,0.15585865679306826,13.0,0.02006421526565797,0.012886735543308873,0.015378711950728582
36,qwen2-math-1.5b-instruct,0.2309253246636161,0.15272832456264726,11.0,0.019910447897387874,0.009598185940457409,0.017444218587457653
31,qwen1.5-7b-chat,0.20386904761763391,0.12917916972613902,12.0,0.019033948702693555,0.0098405647264385,0.016292774137068984
40,qwen2.5-coder-1.5b-instruct,0.19140624999866068,0.13087418502821924,12.0,0.018586783506468217,0.006295659753038467,0.017488087070640132
39,qwen2.5-coder-0.5b-instruct,0.1804601648234375,0.12993565322409664,13.0,0.018169237501158824,0.006117489354134494,0.017108404816801807
17,llama-3.2-1B-instruct,0.15401785714285715,0.10817581154021874,12.0,0.01705403419125173,0.01705403419125173,0.0
33,qwen2-1.5b-instruct,0.12481398809174106,0.08353314455629504,12.0,0.01561502942368744,0.005654265549090797,0.014555357261262584
9,google_gemma_2b_it,0.12053571428191964,0.08337632884023595,12.0,0.015382537051021284,0.008177575610528289,0.013028802832959574
32,qwen2-0.5b-instruct,0.11950549449129465,0.08481735256659571,13.0,0.01532562711937026,0.005019831218319969,0.014480198242481262
2,deepseek_r1_distill_qwen_1.5b,0.10918898809352677,0.06076231630351129,12.0,0.01473476460230545,0.008834826817288867,0.011792333229427802
26,qwen1.5-0.5b-chat,0.08602335163526785,0.061819340963716767,13.0,0.013247585242283554,0.004137764137862776,0.012584809203598824
27,qwen1.5-1.8b-chat,0.0792410714236607,0.05374405888900448,12.0,0.01276171765680423,0.004597616942910924,0.011904761904307339
