,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
37,qwen2-math-72b-instruct,0.7830303030319999,0.4365575022982132,11.0,0.047594656221837096,0.038364865061255415,0.02816715160797271
34,qwen2-72b-instruct,0.7733333333346667,0.43157677191761423,11.0,0.04834444316749824,0.04584874187941735,0.015332255321707487
13,google_gemma_3_27b_it,0.7444444444466668,0.4216257679390526,12.0,0.0503649234526253,0.04034827801951913,0.030143688812890753
50,qwen3-8b,0.7200000000013334,0.39166154882390025,12.0,0.051845925587187446,0.044043749293842416,0.027352296944376235
49,qwen3-4b,0.7188888888839999,0.3972479124561227,12.0,0.05190859329284224,0.04206911812277359,0.030408738185163604
47,qwen3-14b,0.7111111111133332,0.38694577829888754,12.0,0.05233636068923069,0.04638362134657433,0.024241582476621948
48,qwen3-32b,0.6787878787906667,0.3758583711267552,11.0,0.053917825672966935,0.04248768704826911,0.033195306514457686
42,qwen2.5-coder-32b-instruct,0.6242424242413334,0.3322084678959656,11.0,0.055924213005177706,0.044083011546615425,0.03441228985739627
30,qwen1.5-72b-chat,0.601212121212,0.3234570092545052,11.0,0.05653979206656346,0.05127984285735502,0.023814403277327915
8,google_gemma_2_27b_it,0.5920000000000001,0.323170759907984,10.0,0.05674927312309824,0.03890775415432421,0.04131182235954579
29,qwen1.5-32b-chat,0.5842424242453333,0.29880678675157535,11.0,0.0569096610377382,0.051630482901447346,0.023937475948679485
24,mistralai_mixtral_8x22b_instruct_v0.1,0.5806060606053333,0.29839028325174943,11.0,0.05697984005987724,0.04615280511861454,0.03341587576186472
41,qwen2.5-coder-14b-instruct,0.5622222222213333,0.28572477337509694,12.0,0.05728622813694277,0.047896321499938874,0.03142696805185549
44,qwen2.5-coder-7b-instruct,0.5519999999999999,0.2853025672116533,10.0,0.05742194702376435,0.044516563708853846,0.03627058802329452
11,google_gemma_3_12b_it,0.5430303030346666,0.2858413618739121,11.0,0.057520824405397714,0.045352558987712,0.03538065337925092
28,qwen1.5-14b-chat,0.5266666666653333,0.26539053872007834,12.0,0.057652856406710674,0.047039778281643005,0.033333333332666665
38,qwen2-math-7b-instruct,0.5177777777773334,0.2677873297083405,6.0,0.057698521138448575,0.04894676708636597,0.030550504633426876
46,qwen3-1.7b,0.48222222222133343,0.2420086583781455,12.0,0.05769852113844309,0.04459123905923044,0.036616126784873436
31,qwen1.5-7b-chat,0.46333333333066673,0.24101559440492543,12.0,0.05757957456776491,0.04871788274137465,0.030691616259207806
35,qwen2-7b-instruct,0.4606060606026666,0.23157596383276824,11.0,0.05755555201006638,0.04704945980835703,0.0331510165594549
19,mistralai_mathstral_7b_v0.1,0.4557575757573334,0.2328225867063352,11.0,0.05750856259690169,0.042974554868707576,0.03821547338184103
23,mistralai_mistral_7b_instruct_v0.3,0.40969696969600006,0.19501148548416525,11.0,0.05678560412850132,0.05001739519912945,0.026886149105682017
45,qwen3-0.6b,0.39794871794666664,0.19922686031852493,13.0,0.05651967631793032,0.0461965234788837,0.03256309305868471
6,deepseek_v2_lite_chat,0.3915151515106666,0.19892924771953363,11.0,0.05635968271122498,0.03882472996997797,0.04085405950536919
9,google_gemma_2_9b_it,0.38787878787200003,0.20026330154382732,11.0,0.05626471171062113,0.04006728347974503,0.03950101996699652
20,mistralai_ministral_8b_instruct_2410,0.38303030303066665,0.18908387935194482,11.0,0.05613294813694863,0.03576449171396685,0.04326440799302541
36,qwen2-math-1.5b-instruct,0.37333333333333335,0.19638689199739334,4.0,0.05585165536855114,0.04456539098980366,0.033665016461206926
18,llama-3.2-3B-instruct,0.37333333333333335,0.17470079254103998,17.0,0.05585165536855114,0.05585165536855114,0.0
16,llama-3.1-8B-instruct,0.37333333333333335,0.17945706293786667,15.0,0.05585165536855114,0.05585165536855114,0.0
14,google_gemma_3_4b_it,0.3702564102586667,0.19236902516430357,13.0,0.055757403206035644,0.044980956353135655,0.03294846852036887
43,qwen2.5-coder-3b-instruct,0.353333333336,0.1761271147384791,12.0,0.05519527623383135,0.03438489476030993,0.0431763538392412
25,mistralai_mixtral_8x7b_instruct_v0.1,0.2977777777733333,0.15216568505301292,12.0,0.05280229450036032,0.0361469337991559,0.038490017945205256
40,qwen2.5-coder-1.5b-instruct,0.25575757574133334,0.13761965104610427,11.0,0.05037798966377407,0.019370693139077008,0.0465050329520907
15,google_gemma_7b_it,0.244102564104,0.11281386408541187,13.0,0.04960060514440694,0.0414433436660155,0.027251959497839786
33,qwen2-1.5b-instruct,0.24307692306800002,0.12323273444008144,13.0,0.04952986069565088,0.031076753829492317,0.03856737574624071
22,mistralai_mistral_7b_instruct_v0.2,0.24,0.107715055167464,10.0,0.04931531202375181,0.03714236873915765,0.0324414001615905
7,google_codegemma_1.1_7b_it,0.23384615384533333,0.11423907237991156,13.0,0.04887564221942296,0.034703667101136024,0.034416331764070524
21,mistralai_mistral_7b_instruct_v0.1,0.19999999998800003,0.10221192907442271,11.0,0.04618802153413084,0.025655770288926776,0.03840722307221853
26,qwen1.5-0.5b-chat,0.19487179486533332,0.11449687167082095,13.0,0.04573791693716083,0.01693602198546524,0.042486800362682785
17,llama-3.2-1B-instruct,0.18666666666666668,0.09571785547794666,12.0,0.04499218039055561,0.044992180390555594,0.0
27,qwen1.5-1.8b-chat,0.18303030302133336,0.09786327893728551,11.0,0.04465127265035899,0.01987977331904339,0.039981630307932
39,qwen2.5-coder-0.5b-instruct,0.182564102552,0.1114488625837583,13.0,0.04460709226291006,0.01613704186392627,0.04158591780920149
0,deepseek_r1_distill_llama_70b,0.18181818181333337,0.0864376774714046,11.0,0.04453617714105048,0.027319824653941872,0.035172407583458035
32,qwen2-0.5b-instruct,0.181538461532,0.10602879923098643,13.0,0.04450951186980068,0.016892902392244804,0.04117919979375531
12,google_gemma_3_1b_it,0.17948717948266665,0.11230172972105958,13.0,0.04431275691175528,0.033054719905553705,0.02951280937297747
10,google_gemma_2b_it,0.171282051276,0.09378015659176747,13.0,0.04350394774219702,0.03312592937662001,0.028200465813368984
3,deepseek_r1_distill_qwen_14b,0.14666666666133335,0.06689387016691424,11.0,0.04085022326365535,0.02194530865107669,0.034454958553152656
