,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.9416913639811221,0.28033735201330184,11.0,0.006452059105855711,0.005916678756248591,0.0025733206564305653
49,qwen3-32b,0.9390033772147839,0.2800613443126965,11.0,0.00658967619027344,0.005501398011302187,0.003627458092645179
16,llama-3.1-70B-instruct,0.9378316906747536,0.28008505275971846,11.0,0.0066485139247653684,0.0066485139247653684,0.0
48,qwen3-14b,0.9345923220075055,0.2773041539174108,11.0,0.006807741749446761,0.006098088631595225,0.00302632826513738
0,deepseek_r1_distill_llama_70b,0.9264594389689158,0.2764973542705954,10.0,0.0071871097501897,0.005556085176482905,0.0045589981435550896
38,qwen2-math-72b-instruct,0.9247746609413192,0.2734511529569558,9.0,0.007262357767998445,0.005254248415369403,0.005013453294885222
51,qwen3-8b,0.9217037700744505,0.2679319386318336,11.0,0.007396797162801155,0.006453616267556276,0.0036143388522323554
43,qwen2.5-coder-32b-instruct,0.9214051048794543,0.2700520000836516,9.0,0.007409690680653885,0.005834441699572234,0.004567582077780517
11,google_gemma_3_12b_it,0.9213419257017438,0.2694920381334479,12.0,0.007412414112585492,0.006545023682814566,0.0034794465030882505
35,qwen2-72b-instruct,0.9164518574677786,0.267826334290388,10.0,0.007619050104643707,0.005721547225709606,0.005031284313278865
8,google_gemma_2_27b_it,0.9020301575275209,0.2560761017083707,9.0,0.008185294995357749,0.007027538993300492,0.0041967546817356085
50,qwen3-4b,0.8920669929012889,0.2529443074315552,11.0,0.008543847263568372,0.007883973719129968,0.0032924587255199977
9,google_gemma_2_9b_it,0.8758701495630024,0.2427521995470977,11.0,0.009078949094176714,0.00760085735576111,0.0049653080581193035
42,qwen2.5-coder-14b-instruct,0.864291129647536,0.24031724051365058,11.0,0.009430001196322299,0.006675793026759175,0.006660233481381379
5,deepseek_r1_distill_qwen_7b,0.8641532841718725,0.24245179408879522,11.0,0.009434036808977687,0.006835421790453118,0.006502158061731854
4,deepseek_r1_distill_qwen_32b,0.8592873388931009,0.25073723892906435,10.0,0.009574440327764713,0.006231778573029971,0.007268758037426464
25,mistralai_mixtral_8x22b_instruct_v0.1,0.8480253635707354,0.2332146047115474,11.0,0.009884793013128872,0.007020265566751023,0.006958807676943753
3,deepseek_r1_distill_qwen_14b,0.8474050589329795,0.24055156942127376,11.0,0.009901322272062129,0.007301811185114418,0.006687281671364792
31,qwen1.5-72b-chat,0.8422289613343442,0.22997414386580237,10.0,0.010037055605817895,0.007582935681326521,0.006575832395001071
14,google_gemma_3_4b_it,0.8344899982506444,0.22541755589596718,13.0,0.01023293679763464,0.008696740906179314,0.005392559050689428
30,qwen1.5-32b-chat,0.8318974429702805,0.2255405138146991,11.0,0.010296737868260242,0.00747517103496727,0.0070812872223664815
39,qwen2-math-7b-instruct,0.8303122200038665,0.2219391266739187,11.0,0.010335312224795928,0.007877876609951578,0.006690122487846836
17,llama-3.1-8B-instruct,0.810260298205686,0.21322771036332877,15.0,0.010796151960883368,0.010790944975895306,0.0003352665949443833
37,qwen2-math-1.5b-instruct,0.8041905024498861,0.2112409504623662,11.0,0.010926320830848076,0.00839097388493832,0.0069982886594443655
21,mistralai_ministral_8b_instruct_2410,0.7975739196385899,0.20765687452827447,12.0,0.011063595965454809,0.008089185500258275,0.007547730362780539
1,deepseek_r1_distill_llama_8b,0.797068486230705,0.2144778378399196,12.0,0.011073889078556956,0.007582082293214647,0.008071124297339492
36,qwen2-7b-instruct,0.7796942127899923,0.20409555045992966,12.0,0.011411762128779286,0.0078052559218210445,0.008325040232858858
45,qwen2.5-coder-7b-instruct,0.7712282031874905,0.19988569249040417,12.0,0.01156565665213441,0.00806281345820648,0.008291890793614287
20,mistralai_mathstral_7b_v0.1,0.7485698532001516,0.18866111786444992,11.0,0.011945448030231141,0.008277219369680561,0.00861286062520101
19,llama-3.2-3B-instruct,0.7338893100833965,0.18043228382530885,17.0,0.012168135677854987,0.012168135677854987,0.0
47,qwen3-1.7b,0.7337514646087188,0.18067523356156093,11.0,0.012170143707947088,0.010510051057624313,0.006136059373752357
29,qwen1.5-14b-chat,0.7277482941622442,0.1788258502256167,10.0,0.012256134126827673,0.009406086248943115,0.007857376484058352
2,deepseek_r1_distill_qwen_1.5b,0.6857467778636088,0.1725286121086233,12.0,0.012782016084649517,0.008381868144598605,0.009650089201390941
6,deepseek_v2_lite_chat,0.676890206081577,0.1601748941054049,11.0,0.012876913505756584,0.009592369925438332,0.008590770666726154
44,qwen2.5-coder-3b-instruct,0.6623475084463988,0.15519627973245056,11.0,0.013021335687793225,0.009335722802275086,0.009077414987389223
26,mistralai_mixtral_8x7b_instruct_v0.1,0.6566269212247158,0.15735853938289643,11.0,0.013074348762483461,0.009158809738468252,0.00933031616493203
